# s/c    M_iso
1.28119503 0.81844683
1.27992372 0.81933799
1.27865242 0.82019755
1.27738111 0.82102619
1.27610981 0.82182460
1.27483850 0.82259347
1.27356719 0.82333347
1.27229589 0.82404528
1.27102458 0.82472956
1.26975328 0.82538696
1.26848197 0.82601813
1.26721067 0.82662373
1.26593936 0.82720438
1.26466806 0.82776072
1.26339675 0.82829338
1.26212545 0.82880296
1.26085414 0.82929009
1.25958283 0.82975536
1.25831153 0.83019938
1.25704022 0.83062274
1.25576892 0.83102602
1.25449761 0.83140981
1.25322631 0.83177467
1.25195500 0.83212117
1.25068370 0.83244988
1.24941239 0.83276133
1.24814109 0.83305609
1.24686978 0.83333469
1.24559847 0.83359766
1.24432717 0.83384553
1.24305586 0.83407882
1.24178456 0.83429805
1.24051325 0.83450372
1.23924195 0.83469633
1.23797064 0.83487637
1.23669934 0.83504434
1.23542803 0.83520071
1.23415673 0.83534596
1.23288542 0.83548055
1.23161411 0.83560495
1.23034281 0.83571961
1.22907150 0.83582498
1.22780020 0.83592149
1.22652889 0.83600959
1.22525759 0.83608970
1.22398628 0.83616223
1.22271498 0.83622761
1.22144367 0.83628625
1.22017237 0.83633854
1.21890106 0.83638487
1.21762975 0.83642564
1.21635845 0.83646123
1.21508714 0.83649201
1.21381584 0.83651834
1.21254453 0.83654059
1.21127323 0.83655912
1.21000192 0.83657427
1.20873062 0.83658637
1.20744453 0.83659577
1.20617322 0.83660280
1.20490192 0.83660776
1.20363061 0.83661099
1.20235931 0.83661277
1.20108800 0.83661343
1.19981670 0.83661324
1.19854539 0.83661249
1.19727408 0.83661147
1.19600278 0.83661045
1.19473147 0.83660970
1.19346017 0.83660948
1.19218886 0.83661003
1.19091756 0.83661162
1.18964625 0.83661447
1.18837495 0.83661882
1.18710364 0.83662490
1.18583234 0.83663294
1.18456103 0.83664313
1.18328972 0.83665569
1.18201842 0.83667082
1.18074711 0.83668871
1.17946103 0.83670955
1.17818972 0.83673352
1.17691841 0.83676080
1.17564711 0.83679154
1.17437580 0.83682591
1.17310450 0.83686406
1.17183319 0.83690614
1.17056189 0.83695229
1.16929058 0.83700264
1.16801928 0.83705732
1.16674797 0.83711644
1.16547667 0.83718013
1.16420536 0.83724849
1.16293405 0.83732161
1.16166275 0.83739959
1.16039144 0.83748251
1.15912014 0.83757046
1.15783405 0.83766351
1.15656274 0.83776173
1.15529144 0.83786517
1.15402013 0.83814714
1.15274883 0.83842199
1.15147752 0.83873656
1.15020622 0.83907500
1.14893491 0.83942872
1.14766361 0.83979125
1.14639230 0.84016890
1.14512100 0.84057646
1.14384969 0.84101535
1.14257838 0.84147723
1.14130708 0.84194541
1.14002099 0.84239173
1.13874969 0.84277532
1.13747838 0.84307183
1.13620707 0.84328611
1.13493577 0.84343428
1.13366446 0.84353107
1.13239316 0.84358954
1.13112185 0.84362708
1.12985055 0.84365702
1.12857924 0.84369069
1.12730794 0.84373901
1.12603663 0.84381088
1.12475054 0.84391431
1.12347924 0.84405304
1.12220793 0.84422417
1.12093663 0.84441874
1.11966532 0.84462568
1.11839402 0.84483624
1.11712271 0.84504519
1.11585141 0.84524932
1.11458010 0.84544741
1.11330879 0.84563871
1.11203749 0.84582273
1.11075140 0.84599937
1.10948010 0.84616862
1.10820879 0.84633070
1.10693748 0.84648586
1.10566618 0.84663437
1.10439487 0.84677652
1.10312357 0.84691287
1.10185226 0.84704415
1.10058096 0.84717153
1.09930965 0.84729673
1.09802356 0.84742136
1.09675226 0.84754720
1.09548095 0.84767600
1.09420965 0.84780948
1.09293834 0.84794934
1.09166704 0.84809683
1.09039573 0.84825292
1.08912443 0.84841826
1.08783834 0.84859266
1.08656703 0.84877568
1.08529573 0.84896616
1.08402442 0.84916309
1.08275312 0.84936445
1.08148181 0.84956510
1.08021050 0.84975978
1.07893920 0.84994637
1.07766789 0.85012917
1.07638181 0.85031635
1.07511050 0.85051433
1.07383919 0.85072560
1.07256789 0.85095003
1.07129658 0.85118669
1.07002528 0.85143377
1.06875397 0.85168891
1.06746788 0.85194954
1.06619658 0.85221383
1.06492527 0.85248126
1.06365397 0.85275264
1.06238266 0.85302835
1.06111136 0.85330788
1.05984005 0.85358891
1.05856875 0.85386795
1.05728266 0.85414487
1.05601135 0.85442180
1.05474005 0.85470094
1.05346874 0.85498450
1.05219744 0.85527303
1.05092613 0.85556604
1.04965483 0.85586377
1.04836874 0.85616582
1.04709743 0.85647151
1.04582613 0.85678010
1.04455482 0.85709076
1.04328352 0.85740372
1.04201221 0.85771963
1.04072612 0.85803901
1.03945482 0.85836188
1.03818351 0.85868774
1.03691221 0.85901592
1.03564090 0.85934526
1.03436960 0.85967473
1.03309829 0.86000460
1.03181220 0.86033622
1.03054090 0.86067116
1.02926959 0.86101056
1.02799829 0.86135550
1.02672698 0.86170703
1.02545567 0.86206657
1.02416959 0.86243481
1.02289828 0.86280988
1.02162698 0.86318742
1.02035567 0.86356245
1.01908436 0.86393205
1.01779828 0.86429580
1.01652697 0.86465456
1.01525567 0.86500937
1.01398436 0.86536110
1.01271305 0.86571043
1.01144175 0.86605780
1.01015566 0.86640326
1.00888436 0.86674693
1.00761305 0.86708852
1.00634174 0.86742727
1.00507044 0.86776250
1.00378435 0.86809332
1.00251305 0.86841915
1.00124174 0.86874072
0.99997043 0.86905981
0.99869913 0.86937873
0.99742782 0.86969954
0.99614174 0.87002246
0.99487043 0.87034753
0.99359912 0.87067598
0.99232782 0.87100943
0.99105651 0.87134916
0.98977043 0.87169567
0.98849912 0.87204872
0.98722781 0.87240683
0.98595651 0.87276805
0.98468520 0.87312991
0.98339912 0.87349012
0.98212781 0.87384617
0.98085651 0.87419473
0.97958520 0.87453425
0.97829911 0.87486450
0.97702781 0.87518750
0.97575650 0.87550685
0.97448520 0.87582634
0.97321389 0.87615026
0.97192780 0.87648081
0.97065650 0.87681951
0.96938519 0.87716727
0.96811389 0.87752347
0.96682780 0.87788553
0.96555649 0.87824897
0.96428519 0.87860963
0.96301388 0.87896433
0.96174258 0.87931028
0.96045649 0.87964278
0.95918518 0.87995507
0.95791388 0.88024326
0.95664257 0.88051364
0.95535648 0.88077987
0.95408518 0.88105396
0.95281387 0.88134229
0.95154257 0.88164473
0.95025648 0.88195977
0.94898517 0.88228653
0.94771387 0.88262411
0.94644256 0.88297112
0.94515647 0.88332519
0.94388517 0.88368372
0.94261386 0.88404319
0.94134256 0.88439699
0.94005647 0.88473476
0.93878516 0.88504786
0.93751386 0.88533615
0.93624255 0.88560616
0.93495647 0.88586716
0.93368516 0.88612910
0.93241385 0.88639820
0.93114255 0.88667762
0.92985646 0.88696902
0.92858516 0.88727369
0.92731385 0.88759353
0.92604254 0.88792997
0.92475646 0.88828388
0.92348515 0.88865229
0.92221385 0.88902888
0.92094254 0.88940530
0.91965645 0.88977276
0.91838515 0.89012854
0.91711384 0.89047223
0.91582775 0.89080458
0.91455645 0.89112813
0.91328514 0.89144628
0.91201384 0.89176274
0.91072775 0.89208178
0.90945644 0.89240925
0.90818514 0.89274813
0.90691383 0.89309977
0.90562774 0.89346421
0.90435644 0.89384002
0.90308513 0.89422532
0.90179905 0.89461763
0.90052774 0.89501432
0.89925643 0.89541259
0.89797035 0.89580938
0.89669904 0.89620065
0.89542774 0.89658178
0.89415643 0.89694857
0.89287034 0.89729790
0.89159904 0.89762821
0.89032773 0.89793891
0.88904164 0.89823155
0.88777034 0.89851164
0.88649903 0.89878688
0.88521294 0.89906411
0.88394164 0.89934745
0.88267033 0.89964060
0.88138424 0.89994836
0.88011294 0.90027491
0.87884163 0.90062313
0.87757033 0.90099390
0.87628424 0.90138543
0.87501293 0.90179354
0.87374163 0.90221137
0.87245554 0.90263050
0.87118424 0.90304084
0.86991293 0.90343046
0.86862684 0.90378942
0.86735554 0.90411262
0.86608423 0.90440090
0.86479814 0.90466106
0.86352684 0.90490161
0.86225553 0.90513263
0.86096944 0.90536539
0.85969814 0.90560488
0.85842683 0.90585332
0.85714075 0.90611142
0.85586944 0.90637806
0.85459813 0.90665050
0.85331205 0.90692564
0.85204074 0.90719856
0.85076944 0.90745946
0.84948335 0.90770351
0.84821204 0.90793131
0.84692595 0.90814792
0.84565465 0.90835959
0.84438334 0.90856957
0.84309725 0.90878024
0.84182595 0.90899138
0.84055464 0.90920172
0.83926856 0.90940994
0.83799725 0.90961443
0.83672594 0.90981367
0.83543986 0.91000605
0.83416855 0.91019012
0.83288246 0.91036516
0.83161116 0.91053072
0.83033985 0.91068728
0.82905376 0.91083548
0.82778246 0.91097737
0.82651115 0.91111923
0.82522507 0.91126915
0.82395376 0.91143339
0.82266767 0.91161175
0.82139637 0.91179847
0.82012506 0.91198691
0.81883897 0.91217279
0.81756767 0.91235330
0.81628158 0.91252562
0.81501027 0.91268643
0.81373897 0.91283140
0.81245288 0.91295810
0.81118157 0.91306681
0.80989549 0.91315949
0.80862418 0.91323791
0.80735288 0.91330433
0.80606679 0.91336237
0.80479548 0.91341751
0.80350939 0.91347695
0.80223809 0.91354479
0.80096678 0.91362230
0.79968070 0.91370973
0.79840939 0.91380524
0.79712330 0.91390684
0.79585200 0.91401124
0.79458069 0.91411295
0.79329460 0.91420856
0.79202330 0.91429570
0.79073721 0.91437266
0.78946590 0.91443914
0.78817982 0.91449521
0.78690851 0.91454174
0.78563720 0.91457971
0.78435112 0.91461098
0.78307981 0.91463890
0.78179372 0.91466943
0.78052242 0.91471012
0.77923633 0.91476594
0.77796502 0.91483913
0.77669372 0.91492990
0.77540763 0.91503682
0.77413633 0.91515791
0.77285024 0.91529005
0.77157893 0.91542862
0.77029284 0.91556633
0.76902154 0.91569556
0.76773545 0.91581392
0.76646414 0.91592421
0.76517806 0.91603061
0.76390675 0.91613637
0.76263545 0.91624332
0.76134936 0.91635262
0.76007805 0.91646486
0.75879196 0.91658026
0.75752066 0.91669897
0.75623457 0.91682114
0.75496327 0.91694710
0.75367718 0.91707723
0.75240587 0.91721214
0.75111978 0.91735308
0.74984848 0.91750148
0.74856239 0.91765913
0.74729108 0.91782775
0.74600500 0.91800759
0.74473369 0.91819748
0.74344760 0.91839468
0.74217630 0.91859551
0.74089021 0.91879687
0.73961890 0.91899592
0.73833282 0.91918990
0.73706151 0.91937624
0.73577542 0.91955227
0.73450412 0.91971493
0.73321803 0.91986387
0.73194672 0.92000335
0.73066064 0.92014303
0.72938933 0.92029716
0.72810324 0.92047387
0.72683194 0.92067367
0.72554585 0.92089219
0.72427454 0.92112286
0.72298845 0.92136281
0.72171715 0.92160995
0.72043106 0.92186193
0.71915976 0.92211440
0.71787367 0.92235868
0.71660236 0.92258301
0.71531627 0.92277464
0.71404497 0.92293430
0.71275888 0.92307501
0.71148758 0.92321140
0.71020149 0.92335579
0.70893018 0.92351086
0.70764409 0.92367782
0.70635801 0.92385836
0.70508670 0.92405456
0.70380061 0.92427118
0.70252931 0.92451166
0.70124322 0.92477019
0.69997191 0.92502972
0.69868582 0.92527424
0.69741452 0.92549495
0.69612843 0.92569463
0.69484234 0.92587956
0.69357104 0.92605404
0.69228495 0.92622256
0.69101364 0.92638511
0.68972756 0.92654098
0.68845625 0.92668867
0.68717016 0.92682108
0.68589886 0.92693054
0.68461277 0.92702214
0.68332668 0.92711251
0.68205538 0.92721384
0.68076929 0.92732791
0.67949798 0.92745284
0.67821189 0.92758830
0.67692581 0.92773675
0.67565450 0.92790141
0.67436841 0.92808104
0.67309711 0.92825928
0.67181102 0.92841020
0.67053971 0.92851996
0.66925363 0.92858405
0.66796754 0.92860507
0.66669623 0.92859395
0.66541014 0.92856661
0.66413884 0.92854451
0.66285275 0.92854187
0.66156666 0.92856127
0.66029536 0.92859708
0.65900927 0.92864049
0.65772318 0.92868910
0.65645188 0.92874445
0.65516579 0.92880667
0.65389448 0.92887249
0.65260839 0.92893786
0.65132231 0.92899899
0.65005100 0.92905237
0.64876491 0.92909552
0.64749361 0.92912604
0.64620752 0.92914230
0.64492143 0.92914239
0.64365012 0.92912505
0.64236404 0.92908749
0.64107795 0.92902312
0.63980664 0.92892710
0.63852056 0.92880062
0.63723447 0.92865074
0.63596316 0.92848804
0.63467707 0.92832132
0.63339099 0.92816120
0.63211968 0.92802129
0.63083359 0.92790925
0.62954750 0.92782881
0.62827620 0.92777994
0.62699011 0.92774623
0.62571880 0.92769895
0.62443272 0.92761837
0.62314663 0.92749864
0.62187532 0.92734444
0.62058924 0.92716632
0.61930315 0.92697364
0.61801706 0.92677126
0.61674575 0.92656205
0.61545967 0.92634853
0.61417358 0.92612760
0.61290227 0.92589032
0.61161618 0.92562907
0.61033010 0.92534755
0.60905879 0.92505877
0.60777270 0.92478425
0.60648661 0.92454183
0.60521531 0.92432654
0.60392922 0.92412649
0.60264313 0.92392336
0.60137183 0.92369445
0.60008574 0.92342899
0.59879965 0.92312530
0.59751356 0.92279002
0.59624226 0.92243722
0.59495617 0.92209028
0.59367008 0.92177005
0.59239878 0.92148060
0.59111269 0.92120809
0.58982660 0.92093029
0.58854051 0.92063826
0.58726921 0.92033611
0.58598312 0.92003544
0.58469703 0.91975425
0.58341094 0.91950808
0.58213964 0.91930065
0.58085355 0.91912578
0.57956746 0.91896256
0.57829616 0.91877860
0.57701007 0.91855764
0.57572398 0.91829382
0.57443789 0.91798777
0.57316659 0.91764842
0.57188050 0.91728775
0.57059441 0.91692257
0.56930832 0.91657148
0.56803702 0.91624717
0.56675093 0.91595207
0.56546484 0.91568284
0.56417875 0.91543402
0.56289266 0.91519283
0.56162136 0.91493945
0.56033527 0.91466118
0.55904918 0.91435535
0.55776309 0.91403715
0.55649179 0.91373147
0.55520570 0.91345053
0.55391961 0.91318978
0.55263352 0.91292700
0.55134744 0.91263286
0.55007613 0.91229629
0.54879004 0.91192379
0.54750395 0.91153343
0.54621787 0.91115630
0.54494656 0.91080596
0.54366047 0.91047212
0.54237438 0.91013506
0.54108830 0.90976837
0.53980221 0.90935089
0.53853090 0.90888852
0.53724481 0.90842033
0.53595873 0.90798487
0.53467264 0.90759463
0.53338655 0.90723392
0.53210046 0.90685833
0.53082916 0.90643340
0.52954307 0.90596048
0.52825698 0.90546878
0.52697089 0.90500060
0.52568480 0.90457923
0.52439872 0.90420433
0.52312741 0.90385163
0.52184132 0.90347847
0.52055524 0.90306000
0.51926915 0.90259198
0.51798306 0.90208069
0.51669697 0.90154525
0.51542567 0.90100776
0.51413958 0.90048591
0.51285349 0.89998521
0.51156740 0.89950163
0.51028131 0.89902282
0.50899523 0.89853130
0.50770914 0.89801863
0.50643783 0.89748646
0.50515174 0.89694408
0.50386566 0.89640408
0.50257957 0.89587155
0.50129348 0.89534408
0.50000739 0.89481656
0.49872130 0.89428184
0.49743522 0.89373142
0.49616391 0.89315930
0.49487782 0.89256229
0.49359173 0.89194038
0.49230565 0.89129817
0.49101956 0.89064163
0.48973347 0.88997905
0.48844738 0.88932215
0.48716129 0.88868389
0.48587521 0.88806994
0.48460390 0.88747535
0.48331781 0.88687990
0.48203172 0.88625525
0.48074564 0.88559658
0.47945955 0.88491721
0.47817346 0.88423472
0.47688737 0.88356367
0.47560128 0.88290889
0.47431520 0.88226122
0.47302911 0.88159572
0.47174302 0.88088993
0.47045693 0.88012843
0.46917084 0.87931414
0.46789954 0.87848696
0.46661345 0.87769030
0.46532736 0.87694206
0.46404127 0.87620564
0.46275519 0.87539705
0.46146910 0.87450567
0.46018301 0.87358543
0.45889692 0.87269054
0.45761083 0.87185890
0.45632474 0.87107908
0.45503866 0.87032181
0.45375257 0.86958363
0.45246648 0.86888432
0.45118039 0.86825620
0.44989430 0.86766876
0.44860822 0.86702382
0.44732213 0.86627924
0.44603604 0.86545882
0.44474995 0.86461904
0.44346386 0.86381133
0.44217778 0.86304597
0.44089169 0.86230903
0.43960560 0.86157887
0.43831951 0.86084422
0.43703342 0.86010124
0.43574734 0.85934526
0.43446125 0.85857702
0.43317516 0.85779612
0.43188907 0.85700268
0.43060298 0.85620388
0.42931690 0.85541423
0.42803081 0.85464291
0.42674472 0.85388994
0.42545863 0.85314976
0.42417254 0.85243518
0.42288645 0.85177944
0.42160037 0.85120791
0.42031428 0.85068696
0.41902819 0.85011425
0.41774210 0.84944175
0.41645601 0.84870501
0.41516993 0.84795820
0.41388384 0.84722404
0.41259775 0.84649053
0.41131166 0.84576482
0.41002557 0.84507170
0.40873949 0.84441665
0.40745340 0.84376949
0.40616731 0.84309800
0.40488122 0.84239917
0.40359513 0.84168852
0.40230905 0.84100961
0.40102296 0.84041442
0.39973687 0.83990394
0.39843600 0.83943870
0.39714991 0.83897860
0.39586382 0.83850584
0.39457773 0.83802068
0.39329165 0.83752728
0.39200556 0.83702907
0.39071947 0.83652282
0.38943338 0.83600394
0.38814729 0.83547630
0.38686121 0.83495098
0.38557512 0.83444278
0.38428903 0.83397093
0.38298816 0.83355335
0.38170207 0.83319296
0.38041598 0.83286574
0.37912989 0.83254065
0.37784381 0.83220804
0.37655772 0.83187352
0.37527163 0.83154046
0.37398554 0.83120965
0.37269945 0.83087825
0.37139858 0.83053566
0.37011250 0.83017823
0.36882641 0.82982549
0.36754032 0.82950415
0.36625423 0.82922909
0.36496814 0.82899663
0.36368206 0.82878851
0.36238118 0.82858571
0.36109510 0.82837907
0.35980901 0.82816977
0.35852292 0.82795867
0.35723683 0.82773963
0.35595074 0.82751108
0.35466466 0.82728568
0.35336379 0.82707792
0.35207770 0.82689471
0.35079161 0.82672837
0.34950552 0.82656621
0.34821943 0.82641015
0.34693335 0.82625491
0.34563247 0.82608662
0.34434639 0.82590166
0.34306030 0.82569595
0.34177421 0.82546778
0.34048812 0.82521629
0.33918725 0.82494026
0.33790116 0.82463838
0.33661508 0.82430652
0.33532899 0.82394489
0.33404290 0.82356019
0.33275681 0.82316528
0.33145594 0.82276475
0.33016985 0.82235115
0.32888376 0.82190971
0.32759768 0.82141639
0.32629681 0.82084494
0.32501072 0.82017784
0.32372463 0.81940682
0.32243854 0.81854145
0.32115245 0.81760967
0.31985158 0.81663196
0.31856549 0.81562647
0.31727941 0.81460974
0.31599332 0.81357978
0.31469245 0.81251805
0.31340636 0.81141057
0.31212027 0.81025603
0.31083418 0.80904992
0.30953331 0.80777024
0.30824722 0.80638733
0.30696114 0.80488410
0.30567505 0.80326842
0.30437418 0.80157295
0.30308809 0.79983299
0.30180200 0.79807215
