# s/c    M_iso
1.28119503 0.87835459
1.27992372 0.88215249
1.27865242 0.88592192
1.27738111 0.88966267
1.27610981 0.89337451
1.27483850 0.89705724
1.27356719 0.90071063
1.27229589 0.90433446
1.27102458 0.90792853
1.26975328 0.91149261
1.26848197 0.91502650
1.26721067 0.91852997
1.26593936 0.92200283
1.26466806 0.92544486
1.26339675 0.92885586
1.26212545 0.93223561
1.26085414 0.93558393
1.25958283 0.93890060
1.25831153 0.94218544
1.25704022 0.94543824
1.25576892 0.94865881
1.25449761 0.95184698
1.25322631 0.95500254
1.25195500 0.95812532
1.25068370 0.96121514
1.24941239 0.96427183
1.24814109 0.96729521
1.24686978 0.97028511
1.24559847 0.97324139
1.24432717 0.97616387
1.24305586 0.97905240
1.24178456 0.98190683
1.24051325 0.98472703
1.23924195 0.98751285
1.23797064 0.99026416
1.23669934 0.99298083
1.23542803 0.99566274
1.23415673 0.99830977
1.23288542 1.00092182
1.23161411 1.00349877
1.23034281 1.00604054
1.22907150 1.00854703
1.22780020 1.01101815
1.22652889 1.01345383
1.22525759 1.01585399
1.22398628 1.01821859
1.22271498 1.02054755
1.22144367 1.02284083
1.22017237 1.02509838
1.21890106 1.02732019
1.21762975 1.02950621
1.21635845 1.03165644
1.21508714 1.03377086
1.21381584 1.03584947
1.21254453 1.03789229
1.21127323 1.03989933
1.21000192 1.04187060
1.20873062 1.04380616
1.20744453 1.04570604
1.20617322 1.04757029
1.20490192 1.04939897
1.20363061 1.05119217
1.20235931 1.05294994
1.20108800 1.05467240
1.19981670 1.05635963
1.19854539 1.05801174
1.19727408 1.05962887
1.19600278 1.06121112
1.19473147 1.06275864
1.19346017 1.06427159
1.19218886 1.06575012
1.19091756 1.06719440
1.18964625 1.06860461
1.18837495 1.06998093
1.18710364 1.07132358
1.18583234 1.07263276
1.18456103 1.07390869
1.18328972 1.07515161
1.18201842 1.07636175
1.18074711 1.07753937
1.17946103 1.07868473
1.17818972 1.07979811
1.17691841 1.08087978
1.17564711 1.08193005
1.17437580 1.08294923
1.17310450 1.08393762
1.17183319 1.08489555
1.17056189 1.08582337
1.16929058 1.08672141
1.16801928 1.08759004
1.16674797 1.08842963
1.16547667 1.08924056
1.16420536 1.09002322
1.16293405 1.09077800
1.16166275 1.09150532
1.16039144 1.09220561
1.15912014 1.09287928
1.15783405 1.09352679
1.15656274 1.09414859
1.15529144 1.09474514
1.15402013 1.09515352
1.15274883 1.09529539
1.15147752 1.09544293
1.15020622 1.09558900
1.14893491 1.09571169
1.14766361 1.09580131
1.14639230 1.09586608
1.14512100 1.09592135
1.14384969 1.09598274
1.14257838 1.09605006
1.14130708 1.09611870
1.14002099 1.09618472
1.13874969 1.09623998
1.13747838 1.09627403
1.13620707 1.09628502
1.13493577 1.09627770
1.13366446 1.09625947
1.13239316 1.09623813
1.13112185 1.09622142
1.12985055 1.09621606
1.12857924 1.09622796
1.12730794 1.09626162
1.12603663 1.09632064
1.12475054 1.09640726
1.12347924 1.09652241
1.12220793 1.09666475
1.12093663 1.09683128
1.11966532 1.09701739
1.11839402 1.09721755
1.11712271 1.09742916
1.11585141 1.09765144
1.11458010 1.09788455
1.11330879 1.09813003
1.11203749 1.09838976
1.11075140 1.09866606
1.10948010 1.09896134
1.10820879 1.09927804
1.10693748 1.09961847
1.10566618 1.09998471
1.10439487 1.10037858
1.10312357 1.10080159
1.10185226 1.10125502
1.10058096 1.10173970
1.09930965 1.10225595
1.09802356 1.10280382
1.09675226 1.10338255
1.09548095 1.10399079
1.09420965 1.10462671
1.09293834 1.10528794
1.09166704 1.10597177
1.09039573 1.10667507
1.08912443 1.10739423
1.08783834 1.10812516
1.08656703 1.10886316
1.08529573 1.10960296
1.08402442 1.11033922
1.08275312 1.11106639
1.08148181 1.11177882
1.08021050 1.11247219
1.07893920 1.11314611
1.07766789 1.11380412
1.07638181 1.11445109
1.07511050 1.11509172
1.07383919 1.11572931
1.07256789 1.11636653
1.07129658 1.11700624
1.07002528 1.11765062
1.06875397 1.11830056
1.06746788 1.11895519
1.06619658 1.11961295
1.06492527 1.12027181
1.06365397 1.12092977
1.06238266 1.12158414
1.06111136 1.12223047
1.05984005 1.12286528
1.05856875 1.12348600
1.05728266 1.12409172
1.05601135 1.12468373
1.05474005 1.12526391
1.05346874 1.12583426
1.05219744 1.12639666
1.05092613 1.12695292
1.04965483 1.12750460
1.04836874 1.12805290
1.04709743 1.12859824
1.04582613 1.12914031
1.04455482 1.12967841
1.04328352 1.13021136
1.04201221 1.13073776
1.04072612 1.13125599
1.03945482 1.13176401
1.03818351 1.13226003
1.03691221 1.13274229
1.03564090 1.13320917
1.03436960 1.13365990
1.03309829 1.13409472
1.03181220 1.13451471
1.03054090 1.13492120
1.02926959 1.13531549
1.02799829 1.13569872
1.02672698 1.13607199
1.02545567 1.13643624
1.02416959 1.13679155
1.02289828 1.13713677
1.02162698 1.13746979
1.02035567 1.13778823
1.01908436 1.13809042
1.01779828 1.13837542
1.01652697 1.13864272
1.01525567 1.13889222
1.01398436 1.13912396
1.01271305 1.13933800
1.01144175 1.13953441
1.01015566 1.13971319
1.00888436 1.13987439
1.00761305 1.14001807
1.00634174 1.14014444
1.00507044 1.14025390
1.00378435 1.14034730
1.00251305 1.14042623
1.00124174 1.14049309
0.99997043 1.14055087
0.99869913 1.14060239
0.99742782 1.14064982
0.99614174 1.14069464
0.99487043 1.14073717
0.99359912 1.14077717
0.99232782 1.14081397
0.99105651 1.14084659
0.98977043 1.14087355
0.98849912 1.14089310
0.98722781 1.14090293
0.98595651 1.14089960
0.98468520 1.14088036
0.98339912 1.14084255
0.98212781 1.14078363
0.98085651 1.14070226
0.97958520 1.14059855
0.97829911 1.14047465
0.97702781 1.14033457
0.97575650 1.14018299
0.97448520 1.14002444
0.97321389 1.13986225
0.97192780 1.13969851
0.97065650 1.13953492
0.96938519 1.13937147
0.96811389 1.13920744
0.96682780 1.13904136
0.96555649 1.13887053
0.96428519 1.13869227
0.96301388 1.13850356
0.96174258 1.13830095
0.96045649 1.13808064
0.95918518 1.13783930
0.95791388 1.13757716
0.95664257 1.13729998
0.95535648 1.13701615
0.95408518 1.13673295
0.95281387 1.13645470
0.95154257 1.13618321
0.95025648 1.13591928
0.94898517 1.13566219
