# s/c    M_iso_mean    M_iso_std
0.00000000 0.03498790 0.00004096
0.00130087 0.03968033 0.00003127
0.00260174 0.04426874 0.00002710
0.00390261 0.04875581 0.00002966
0.00520348 0.05314424 0.00003679
0.00650435 0.05743669 0.00004581
0.00780522 0.06163585 0.00005537
0.00910609 0.06574440 0.00006487
0.01040697 0.06976500 0.00007405
0.01170784 0.07370031 0.00008280
0.01300871 0.07755299 0.00009106
0.01430958 0.08132569 0.00009880
0.01561045 0.08502104 0.00010601
0.01691132 0.08864165 0.00011269
0.01821219 0.09219013 0.00011886
0.01951306 0.09566908 0.00012451
0.02081393 0.09908106 0.00012966
0.02211480 0.10242864 0.00013432
0.02341567 0.10571433 0.00013852
0.02470176 0.10894067 0.00014225
0.02600263 0.11211015 0.00014554
0.02730350 0.11522523 0.00014841
0.02860437 0.11828835 0.00015088
0.02990524 0.12130195 0.00015295
0.03120611 0.12426842 0.00015465
0.03250698 0.12719012 0.00015599
0.03380786 0.13006939 0.00015700
0.03510873 0.13290854 0.00015768
0.03640960 0.13570984 0.00015807
0.03771047 0.13847556 0.00015817
0.03901134 0.14120789 0.00015801
0.04029743 0.14390904 0.00015761
0.04159830 0.14658113 0.00015697
0.04289917 0.14922629 0.00015613
0.04420004 0.15184659 0.00015510
0.04550091 0.15444407 0.00015390
0.04680178 0.15702075 0.00015254
0.04810265 0.15957859 0.00015105
0.04940352 0.16211950 0.00014945
0.05068961 0.16464540 0.00014776
0.05199048 0.16715812 0.00014598
0.05329135 0.16965947 0.00014415
0.05459222 0.17215123 0.00014228
0.05589309 0.17463511 0.00014039
0.05719396 0.17711281 0.00013849
0.05849483 0.17958597 0.00013661
0.05978092 0.18205620 0.00013476
0.06108179 0.18452504 0.00013297
0.06238266 0.18699401 0.00013124
0.06368353 0.18946458 0.00012959
0.06498440 0.19193819 0.00012804
0.06628528 0.19441620 0.00012660
0.06757136 0.19689996 0.00012529
0.06887223 0.19939076 0.00012412
0.07017310 0.20188985 0.00012309
0.07147398 0.20439843 0.00012223
0.07277485 0.20691765 0.00012154
0.07407572 0.20944862 0.00012102
0.07536180 0.21199242 0.00012069
0.07666268 0.21455006 0.00012054
0.07796355 0.21712251 0.00012059
0.07926442 0.21971071 0.00012082
0.08056529 0.22231552 0.00012126
0.08185138 0.22493781 0.00012189
0.08315225 0.22757834 0.00012271
0.08445312 0.23023787 0.00012373
0.08575399 0.23291711 0.00012493
0.08704008 0.23561670 0.00012633
0.08834095 0.23833726 0.00012790
0.08964182 0.24107935 0.00012966
0.09094269 0.24384349 0.00013160
0.09224356 0.24663017 0.00013371
0.09352965 0.24943982 0.00013599
0.09483052 0.25227283 0.00013844
0.09613139 0.25512954 0.00014105
0.09743226 0.25801027 0.00014382
0.09871835 0.26091527 0.00014676
0.10001922 0.26384477 0.00014985
0.10132009 0.26679895 0.00015310
0.10260618 0.26977796 0.00015650
0.10390705 0.27278188 0.00016005
0.10520792 0.27581079 0.00016375
0.10650879 0.27886469 0.00016760
0.10779488 0.28194359 0.00017159
0.10909575 0.28504742 0.00017572
0.11039662 0.28817610 0.00018000
0.11169749 0.29132950 0.00018441
0.11298358 0.29450745 0.00018896
0.11428445 0.29770977 0.00019364
0.11558532 0.30093622 0.00019844
0.11687141 0.30418654 0.00020337
0.11817228 0.30746045 0.00020841
0.11947315 0.31075760 0.00021357
0.12075924 0.31407766 0.00021884
0.12206011 0.31742023 0.00022421
0.12336098 0.32078490 0.00022967
0.12466185 0.32417125 0.00023522
0.12594794 0.32757879 0.00024085
0.12724881 0.33100705 0.00024655
0.12854968 0.33445551 0.00025232
0.12983577 0.33791226 0.00025813
0.13113664 0.34161476 0.00027157
0.13243751 0.34535108 0.00028065
0.13372359 0.34908018 0.00028881
0.13502447 0.35281549 0.00029505
0.13632534 0.35655277 0.00030062
0.13761142 0.36029063 0.00030539
0.13891229 0.36402960 0.00030996
0.14019838 0.36778994 0.00031507
0.14149925 0.37160252 0.00032213
0.14280012 0.37548213 0.00032968
0.14408621 0.37939590 0.00033951
0.14538708 0.38327745 0.00035428
