# s/c    M_iso
1.28119503 0.90726144
1.27992372 0.90932368
1.27865242 0.91130396
1.27738111 0.91320459
1.27610981 0.91502788
1.27483850 0.91677609
1.27356719 0.91845148
1.27229589 0.92005630
1.27102458 0.92159274
1.26975328 0.92306302
1.26848197 0.92446930
1.26721067 0.92581375
1.26593936 0.92709848
1.26466806 0.92832563
1.26339675 0.92949727
1.26212545 0.93061549
1.26085414 0.93168232
1.25958283 0.93269979
1.25831153 0.93366992
1.25704022 0.93459467
1.25576892 0.93547601
1.25449761 0.93631587
1.25322631 0.93711616
1.25195500 0.93787878
1.25068370 0.93860558
1.24941239 0.93929841
1.24814109 0.93995909
1.24686978 0.94058939
1.24559847 0.94119110
1.24432717 0.94176595
1.24305586 0.94231566
1.24178456 0.94284192
1.24051325 0.94334639
1.23924195 0.94383072
1.23797064 0.94429652
1.23669934 0.94474538
1.23542803 0.94517886
1.23415673 0.94559850
1.23288542 0.94600581
1.23161411 0.94640227
1.23034281 0.94678934
1.22907150 0.94716845
1.22780020 0.94754100
1.22652889 0.94790838
1.22525759 0.94827194
1.22398628 0.94863299
1.22271498 0.94899285
1.22144367 0.94935277
1.22017237 0.94971401
1.21890106 0.95007778
1.21762975 0.95044527
1.21635845 0.95081766
1.21508714 0.95119607
1.21381584 0.95158161
1.21254453 0.95197538
1.21127323 0.95237843
1.21000192 0.95279179
1.20873062 0.95321647
1.20744453 0.95365343
1.20617322 0.95410364
1.20490192 0.95456802
1.20363061 0.95504747
1.20235931 0.95554285
1.20108800 0.95605502
1.19981670 0.95658478
1.19854539 0.95713295
1.19727408 0.95770027
1.19600278 0.95828749
1.19473147 0.95889532
1.19346017 0.95952445
1.19218886 0.96017555
1.19091756 0.96084923
1.18964625 0.96154613
1.18837495 0.96226680
1.18710364 0.96301183
1.18583234 0.96378172
1.18456103 0.96457699
1.18328972 0.96539812
1.18201842 0.96624556
1.18074711 0.96711973
1.17946103 0.96802105
1.17818972 0.96894987
1.17691841 0.96990655
1.17564711 0.97089142
1.17437580 0.97190477
1.17310450 0.97294687
1.17183319 0.97401798
1.17056189 0.97511830
1.16929058 0.97624804
1.16801928 0.97740736
1.16674797 0.97859641
1.16547667 0.97981530
1.16420536 0.98106413
1.16293405 0.98234295
1.16166275 0.98365181
1.16039144 0.98499073
1.15912014 0.98635968
1.15783405 0.98775864
1.15656274 0.98918753
1.15529144 0.99064626
1.15402013 0.99298732
1.15274883 0.99466610
1.15147752 0.99641130
1.15020622 0.99820580
1.14893491 1.00004144
1.14766361 1.00191271
1.14639230 1.00382683
1.14512100 1.00580236
1.14384969 1.00783886
1.14257838 1.00992153
1.14130708 1.01202847
1.14002099 1.01412439
1.13874969 1.01617066
1.13747838 1.01815241
1.13620707 1.02007885
1.13493577 1.02196873
1.13366446 1.02383466
1.13239316 1.02568941
1.13112185 1.02754570
1.12985055 1.02941530
1.12857924 1.03130882
1.12730794 1.03323547
1.12603663 1.03520413
1.12475054 1.03722382
1.12347924 1.03929960
1.12220793 1.04142767
1.12093663 1.04359332
1.11966532 1.04577731
1.11839402 1.04796247
1.11712271 1.05013744
1.11585141 1.05229721
1.11458010 1.05443936
1.11330879 1.05656293
1.11203749 1.05866805
1.11075140 1.06075530
1.10948010 1.06282580
1.10820879 1.06488092
1.10693748 1.06692206
1.10566618 1.06895044
1.10439487 1.07096719
1.10312357 1.07297359
1.10185226 1.07497114
1.10058096 1.07696193
1.09930965 1.07894796
1.09802356 1.08093122
1.09675226 1.08291384
1.09548095 1.08489654
1.09420965 1.08687961
1.09293834 1.08886292
1.09166704 1.09084549
1.09039573 1.09282600
1.08912443 1.09480223
1.08783834 1.09677080
1.08656703 1.09872748
1.08529573 1.10066775
1.08402442 1.10258607
1.08275312 1.10447554
1.08148181 1.10632646
1.08021050 1.10812728
1.07893920 1.10987314
1.07766789 1.11157370
1.07638181 1.11324420
1.07511050 1.11489646
1.07383919 1.11653800
1.07256789 1.11816903
1.07129658 1.11978795
1.07002528 1.12139260
1.06875397 1.12297900
1.06746788 1.12454310
1.06619658 1.12608072
1.06492527 1.12758930
1.06365397 1.12906624
1.06238266 1.13050961
1.06111136 1.13191412
1.05984005 1.13326921
1.05856875 1.13456855
1.05728266 1.13581026
1.05601135 1.13699634
1.05474005 1.13813153
1.05346874 1.13921968
1.05219744 1.14026377
1.05092613 1.14126670
1.04965483 1.14223168
1.04836874 1.14316165
1.04709743 1.14405886
1.04582613 1.14492366
1.04455482 1.14575601
1.04328352 1.14655603
1.04201221 1.14732377
1.04072612 1.14805841
1.03945482 1.14875896
1.03818351 1.14942374
1.03691221 1.15004969
1.03564090 1.15063465
1.03436960 1.15117704
1.03309829 1.15167769
1.03181220 1.15214011
1.03054090 1.15256814
1.02926959 1.15296566
1.02799829 1.15333606
1.02672698 1.15368339
1.02545567 1.15401268
1.02416959 1.15432696
1.02289828 1.15462507
1.02162698 1.15490210
1.02035567 1.15515202
1.01908436 1.15537113
1.01779828 1.15555929
1.01652697 1.15571773
1.01525567 1.15584806
1.01398436 1.15595203
1.01271305 1.15603109
1.01144175 1.15608643
