# s/c    M_is
1.28119503 0.82128693
1.27992372 0.82190838
1.27865242 0.82251741
1.27738111 0.82311420
1.27610981 0.82369897
1.27483850 0.82427193
1.27356719 0.82483326
1.27229589 0.82538318
1.27102458 0.82592187
1.26975328 0.82644955
1.26848197 0.82696640
1.26721067 0.82747262
1.26593936 0.82796839
1.26466806 0.82845392
1.26339675 0.82892939
1.26212545 0.82939499
1.26085414 0.82985090
1.25958283 0.83029731
1.25831153 0.83073440
1.25704022 0.83116236
1.25576892 0.83158136
1.25449761 0.83199158
1.25322631 0.83239320
1.25195500 0.83278640
1.25068370 0.83317135
1.24941239 0.83354822
1.24814109 0.83391718
1.24686978 0.83427840
1.24559847 0.83463205
1.24432717 0.83497830
1.24305586 0.83531730
1.24178456 0.83564923
1.24051325 0.83597425
1.23924195 0.83629251
1.23797064 0.83660417
1.23669934 0.83690939
1.23542803 0.83720833
1.23415673 0.83750114
1.23288542 0.83778797
1.23161411 0.83806897
1.23034281 0.83834429
1.22907150 0.83861408
1.22780020 0.83887849
1.22652889 0.83913765
1.22525759 0.83939172
1.22398628 0.83964083
1.22271498 0.83988513
1.22144367 0.84012475
1.22017237 0.84035982
1.21890106 0.84059049
1.21762975 0.84081689
1.21635845 0.84103915
1.21508714 0.84125740
1.21381584 0.84147176
1.21254453 0.84168237
1.21127323 0.84188936
1.21000192 0.84209284
1.20873062 0.84229294
1.20744453 0.84248978
1.20617322 0.84268348
1.20490192 0.84287415
1.20363061 0.84306192
1.20235931 0.84324690
1.20108800 0.84342920
1.19981670 0.84360894
1.19854539 0.84378622
1.19727408 0.84396115
1.19600278 0.84413384
1.19473147 0.84430439
1.19346017 0.84447292
1.19218886 0.84463951
1.19091756 0.84480428
1.18964625 0.84496732
1.18837495 0.84512872
1.18710364 0.84528860
1.18583234 0.84544702
1.18456103 0.84560411
1.18328972 0.84575993
1.18201842 0.84591459
1.18074711 0.84606816
1.17946103 0.84622075
1.17818972 0.84637243
1.17691841 0.84652328
1.17564711 0.84667339
1.17437580 0.84682284
1.17310450 0.84697171
1.17183319 0.84712007
1.17056189 0.84726800
1.16929058 0.84741557
1.16801928 0.84756286
1.16674797 0.84770993
1.16547667 0.84785686
1.16420536 0.84800371
1.16293405 0.84815056
1.16166275 0.84829746
1.16039144 0.84844447
1.15912014 0.84859166
1.15783405 0.84873909
1.15656274 0.84888682
1.15529144 0.84903490
1.15402013 0.84925957
1.15274883 0.84945789
1.15147752 0.84968388
1.15020622 0.84992849
1.14893491 0.85016918
1.14766361 0.85039307
1.14639230 0.85060534
1.14512100 0.85081963
1.14384969 0.85104453
1.14257838 0.85127903
1.14130708 0.85151795
1.14002099 0.85175906
1.13874969 0.85198813
1.13747838 0.85218614
1.13620707 0.85233939
1.13493577 0.85244005
1.13366446 0.85249517
1.13239316 0.85251488
1.13112185 0.85251466
1.12985055 0.85250987
1.12857924 0.85251269
1.12730794 0.85253267
1.12603663 0.85257650
1.12475054 0.85264724
1.12347924 0.85274441
1.12220793 0.85286482
1.12093663 0.85300495
1.11966532 0.85316150
1.11839402 0.85333210
1.11712271 0.85351498
1.11585141 0.85370787
1.11458010 0.85390951
1.11330879 0.85411879
1.11203749 0.85433436
1.11075140 0.85455515
1.10948010 0.85478001
1.10820879 0.85500782
1.10693748 0.85523736
1.10566618 0.85546728
1.10439487 0.85569611
1.10312357 0.85592229
1.10185226 0.85614433
1.10058096 0.85636113
1.09930965 0.85657231
1.09802356 0.85677821
1.09675226 0.85697968
1.09548095 0.85717790
1.09420965 0.85737407
1.09293834 0.85756938
1.09166704 0.85776474
1.09039573 0.85796080
1.08912443 0.85815797
1.08783834 0.85835645
1.08656703 0.85855633
1.08529573 0.85875755
1.08402442 0.85895998
1.08275312 0.85916345
1.08148181 0.85936773
1.08021050 0.85957272
1.07893920 0.85977853
1.07766789 0.85998551
1.07638181 0.86019400
1.07511050 0.86040420
1.07383919 0.86061618
1.07256789 0.86082993
1.07129658 0.86104536
1.07002528 0.86126236
1.06875397 0.86148082
1.06746788 0.86170062
1.06619658 0.86192167
1.06492527 0.86214388
1.06365397 0.86236720
1.06238266 0.86259153
1.06111136 0.86281670
1.05984005 0.86304246
1.05856875 0.86326864
1.05728266 0.86349520
1.05601135 0.86372224
1.05474005 0.86394993
1.05346874 0.86417840
1.05219744 0.86440777
1.05092613 0.86463817
1.04965483 0.86486970
1.04836874 0.86510245
1.04709743 0.86533645
1.04582613 0.86557169
1.04455482 0.86580815
1.04328352 0.86604580
1.04201221 0.86628457
1.04072612 0.86652440
1.03945482 0.86676517
1.03818351 0.86700676
1.03691221 0.86724901
1.03564090 0.86749180
1.03436960 0.86773505
1.03309829 0.86797880
1.03181220 0.86822316
1.03054090 0.86846830
1.02926959 0.86871433
1.02799829 0.86896138
1.02672698 0.86920956
1.02545567 0.86945896
1.02416959 0.86970957
1.02289828 0.86996121
1.02162698 0.87021359
1.02035567 0.87046639
1.01908436 0.87071938
1.01779828 0.87097244
1.01652697 0.87122549
1.01525567 0.87147856
1.01398436 0.87173162
1.01271305 0.87198468
1.01144175 0.87223772
1.01015566 0.87249071
1.00888436 0.87274362
1.00761305 0.87299643
1.00634174 0.87324912
1.00507044 0.87350174
1.00378435 0.87375444
1.00251305 0.87400747
1.00124174 0.87426126
0.99997043 0.87451638
0.99869913 0.87477331
0.99742782 0.87503249
0.99614174 0.87529418
0.99487043 0.87555851
0.99359912 0.87582553
0.99232782 0.87609519
0.99105651 0.87636738
0.98977043 0.87664189
0.98849912 0.87691838
0.98722781 0.87719639
0.98595651 0.87747532
0.98468520 0.87775450
0.98339912 0.87803327
0.98212781 0.87831100
0.98085651 0.87858721
0.97958520 0.87886176
0.97829911 0.87913490
0.97702781 0.87940740
0.97575650 0.87968012
0.97448520 0.87995397
0.97321389 0.88022970
0.97192780 0.88050779
0.97065650 0.88078854
0.96938519 0.88107198
0.96811389 0.88135802
0.96682780 0.88164617
0.96555649 0.88193591
0.96428519 0.88222640
0.96301388 0.88251687
0.96174258 0.88280642
0.96045649 0.88309349
0.95918518 0.88337707
0.95791388 0.88365720
0.95664257 0.88393503
0.95535648 0.88421267
0.95408518 0.88449235
0.95281387 0.88477518
0.95154257 0.88506168
0.95025648 0.88535217
0.94898517 0.88564655
0.94771387 0.88594455
0.94644256 0.88624559
0.94515647 0.88654885
0.94388517 0.88685333
0.94261386 0.88715778
0.94134256 0.88746064
0.94005647 0.88776042
0.93878516 0.88805713
0.93751386 0.88835233
0.93624255 0.88864827
0.93495647 0.88894753
0.93368516 0.88925108
0.93241385 0.88955932
0.93114255 0.88987262
0.92985646 0.89019089
0.92858516 0.89051410
0.92731385 0.89084207
0.92604254 0.89117448
0.92475646 0.89151074
0.92348515 0.89184951
0.92221385 0.89218876
0.92094254 0.89252613
0.91965645 0.89285944
0.91838515 0.89318788
0.91711384 0.89351159
0.91582775 0.89383132
0.91455645 0.89414837
0.91328514 0.89446418
0.91201384 0.89478028
0.91072775 0.89509804
0.90945644 0.89541848
0.90818514 0.89574212
0.90691383 0.89606905
0.90562774 0.89639892
0.90435644 0.89673102
0.90308513 0.89706444
0.90179905 0.89739801
0.90052774 0.89773052
0.89925643 0.89806064
0.89797035 0.89838664
0.89669904 0.89870715
0.89542774 0.89902094
0.89415643 0.89932724
0.89287034 0.89962622
0.89159904 0.89991892
0.89032773 0.90020697
0.88904164 0.90049225
0.88777034 0.90077639
0.88649903 0.90106070
0.88521294 0.90134657
0.88394164 0.90163469
0.88267033 0.90192574
0.88138424 0.90222035
0.88011294 0.90251873
0.87884163 0.90282085
0.87757033 0.90312615
0.87628424 0.90343361
0.87501293 0.90374160
0.87374163 0.90404806
0.87245554 0.90435064
0.87118424 0.90464687
0.86991293 0.90493488
0.86862684 0.90521391
0.86735554 0.90548404
0.86608423 0.90574630
0.86479814 0.90600214
0.86352684 0.90625352
0.86225553 0.90650291
0.86096944 0.90675187
0.85969814 0.90700123
0.85842683 0.90725121
0.85714075 0.90750128
0.85586944 0.90775051
0.85459813 0.90799747
0.85331205 0.90824039
0.85204074 0.90847695
0.85076944 0.90870483
0.84948335 0.90892291
0.84821204 0.90913198
0.84692595 0.90933397
0.84565465 0.90953091
0.84438334 0.90972461
0.84309725 0.90991595
0.84182595 0.91010532
0.84055464 0.91029290
0.83926856 0.91047860
0.83799725 0.91066227
0.83672594 0.91084372
0.83543986 0.91102273
0.83416855 0.91119911
0.83288246 0.91137271
0.83161116 0.91154340
0.83033985 0.91171112
0.82905376 0.91187589
0.82778246 0.91203777
0.82651115 0.91219690
0.82522507 0.91235334
0.82395376 0.91250689
0.82266767 0.91265705
0.82139637 0.91280317
0.82012506 0.91294461
0.81883897 0.91308073
0.81756767 0.91321091
0.81628158 0.91333444
0.81501027 0.91345051
0.81373897 0.91355855
0.81245288 0.91365857
0.81118157 0.91375153
0.80989549 0.91383884
0.80862418 0.91392194
0.80735288 0.91400242
0.80606679 0.91408146
0.80479548 0.91416017
0.80350939 0.91423949
0.80223809 0.91431991
0.80096678 0.91440146
0.79968070 0.91448360
0.79840939 0.91456536
0.79712330 0.91464532
0.79585200 0.91472180
0.79458069 0.91479347
0.79329460 0.91485943
0.79202330 0.91491936
0.79073721 0.91497355
0.78946590 0.91502275
0.78817982 0.91506806
0.78690851 0.91511087
0.78563720 0.91515268
0.78435112 0.91519532
0.78307981 0.91524082
0.78179372 0.91529134
0.78052242 0.91534917
0.77923633 0.91541522
0.77796502 0.91548961
0.77669372 0.91557206
0.77540763 0.91566163
0.77413633 0.91575704
0.77285024 0.91585670
0.77157893 0.91595865
0.77029284 0.91606052
0.76902154 0.91616073
0.76773545 0.91625905
0.76646414 0.91635629
0.76517806 0.91645380
0.76390675 0.91655273
0.76263545 0.91665386
0.76134936 0.91675777
0.76007805 0.91686482
0.75879196 0.91697520
0.75752066 0.91708899
0.75623457 0.91720624
0.75496327 0.91732688
0.75367718 0.91745081
0.75240587 0.91757794
0.75111978 0.91770810
0.74984848 0.91784106
0.74856239 0.91797651
0.74729108 0.91811397
0.74600500 0.91825269
0.74473369 0.91839174
0.74344760 0.91853011
0.74217630 0.91866678
0.74089021 0.91880087
0.73961890 0.91893168
0.73833282 0.91905870
0.73706151 0.91918177
0.73577542 0.91930105
0.73450412 0.91941749
0.73321803 0.91953291
0.73194672 0.91965046
0.73066064 0.91977476
0.72938933 0.91990890
0.72810324 0.92005430
0.72683194 0.92021002
0.72554585 0.92037298
0.72427454 0.92053957
0.72298845 0.92070601
0.72171715 0.92087004
0.72043106 0.92102949
0.71915976 0.92118136
0.71787367 0.92132237
0.71660236 0.92144888
0.71531627 0.92155979
0.71404497 0.92165952
0.71275888 0.92175535
0.71148758 0.92185379
0.71020149 0.92195866
0.70893018 0.92207124
0.70764409 0.92219184
0.70635801 0.92232028
0.70508670 0.92245654
0.70380061 0.92259958
0.70252931 0.92274672
0.70124322 0.92289295
0.69997191 0.92303083
0.69868582 0.92315439
0.69741452 0.92326221
0.69612843 0.92335649
0.69484234 0.92344084
0.69357104 0.92351823
0.69228495 0.92359026
0.69101364 0.92365750
0.68972756 0.92371925
0.68845625 0.92377388
0.68717016 0.92381834
0.68589886 0.92384979
0.68461277 0.92386993
0.68332668 0.92388358
0.68205538 0.92389570
0.68076929 0.92390895
0.67949798 0.92392341
0.67821189 0.92394023
0.67692581 0.92395923
0.67565450 0.92398025
0.67436841 0.92400024
0.67309711 0.92400926
0.67181102 0.92399895
0.67053971 0.92396458
0.66925363 0.92390632
0.66796754 0.92382915
0.66669623 0.92373982
0.66541014 0.92364602
0.66413884 0.92355488
0.66285275 0.92347059
0.66156666 0.92339318
0.66029536 0.92332012
0.65900927 0.92324825
0.65772318 0.92317596
0.65645188 0.92310282
0.65516579 0.92302848
0.65389448 0.92295188
0.65260839 0.92287141
0.65132231 0.92278559
0.65005100 0.92269282
0.64876491 0.92259169
0.64749361 0.92248076
0.64620752 0.92235880
0.64492143 0.92222447
0.64365012 0.92207600
0.64236404 0.92191144
0.64107795 0.92172789
0.63980664 0.92152344
0.63852056 0.92129985
0.63723447 0.92106209
0.63596316 0.92081670
0.63467707 0.92056975
0.63339099 0.92032667
0.63211968 0.92009187
0.63083359 0.91986737
0.62954750 0.91965197
0.62827620 0.91944267
