# s/c    M_is
1.28119503 0.85941508
1.27992372 0.85971052
1.27865242 0.85999398
1.27738111 0.86026578
1.27610981 0.86052627
1.27483850 0.86077575
1.27356719 0.86101456
1.27229589 0.86124302
1.27102458 0.86146143
1.26975328 0.86167012
1.26848197 0.86186938
1.26721067 0.86205953
1.26593936 0.86224087
1.26466806 0.86241369
1.26339675 0.86257829
1.26212545 0.86273497
1.26085414 0.86288400
1.25958283 0.86302567
1.25831153 0.86316027
1.25704022 0.86328807
1.25576892 0.86340935
1.25449761 0.86352437
1.25322631 0.86363340
1.25195500 0.86373671
1.25068370 0.86383456
1.24941239 0.86392720
1.24814109 0.86401489
1.24686978 0.86409787
1.24559847 0.86417640
1.24432717 0.86425071
1.24305586 0.86432104
1.24178456 0.86438763
1.24051325 0.86445071
1.23924195 0.86451052
1.23797064 0.86456726
1.23669934 0.86462117
1.23542803 0.86467247
1.23415673 0.86472136
1.23288542 0.86476806
1.23161411 0.86481278
1.23034281 0.86485572
1.22907150 0.86489708
1.22780020 0.86493706
1.22652889 0.86497585
1.22525759 0.86501363
1.22398628 0.86505061
1.22271498 0.86508695
1.22144367 0.86512285
1.22017237 0.86515846
1.21890106 0.86519398
1.21762975 0.86522956
1.21635845 0.86526537
1.21508714 0.86530157
1.21381584 0.86533832
1.21254453 0.86537577
1.21127323 0.86541408
1.21000192 0.86545339
1.20873062 0.86549385
1.20744453 0.86553560
1.20617322 0.86557877
1.20490192 0.86562349
1.20363061 0.86566991
1.20235931 0.86571813
1.20108800 0.86576830
1.19981670 0.86582051
1.19854539 0.86587490
1.19727408 0.86593157
1.19600278 0.86599064
1.19473147 0.86605220
1.19346017 0.86611636
1.19218886 0.86618321
1.19091756 0.86625286
1.18964625 0.86632539
1.18837495 0.86640088
1.18710364 0.86647944
1.18583234 0.86656112
1.18456103 0.86664602
1.18328972 0.86673420
1.18201842 0.86682574
1.18074711 0.86692070
1.17946103 0.86701914
1.17818972 0.86712112
1.17691841 0.86722670
1.17564711 0.86733594
1.17437580 0.86744887
1.17310450 0.86756555
1.17183319 0.86768602
1.17056189 0.86781031
1.16929058 0.86793846
1.16801928 0.86807050
1.16674797 0.86820646
1.16547667 0.86834637
1.16420536 0.86849024
1.16293405 0.86863809
1.16166275 0.86878993
1.16039144 0.86894578
1.15912014 0.86910564
1.15783405 0.86926951
1.15656274 0.86943739
1.15529144 0.86960929
1.15402013 0.86998081
1.15274883 0.87032376
1.15147752 0.87070581
1.15020622 0.87111287
1.14893491 0.87152080
1.14766361 0.87191597
1.14639230 0.87230828
1.14512100 0.87271591
1.14384969 0.87314648
1.14257838 0.87359285
1.14130708 0.87404092
1.14002099 0.87448214
1.13874969 0.87489852
1.13747838 0.87526601
1.13620707 0.87556495
1.13493577 0.87578120
1.13366446 0.87592371
1.13239316 0.87600650
1.13112185 0.87604918
1.12985055 0.87607527
1.12857924 0.87610232
1.12730794 0.87614589
1.12603663 0.87622089
1.12475054 0.87633789
1.12347924 0.87650156
1.12220793 0.87670715
1.12093663 0.87694334
1.11966532 0.87719582
1.11839402 0.87745294
1.11712271 0.87770711
1.11585141 0.87795341
1.11458010 0.87818993
1.11330879 0.87841545
1.11203749 0.87862916
1.11075140 0.87883102
1.10948010 0.87902099
1.10820879 0.87919948
1.10693748 0.87936692
1.10566618 0.87952391
1.10439487 0.87967101
1.10312357 0.87980938
1.10185226 0.87994030
1.10058096 0.88006551
1.09930965 0.88018791
1.09802356 0.88030979
1.09675226 0.88043371
1.09548095 0.88056230
1.09420965 0.88069791
1.09293834 0.88084296
1.09166704 0.88099912
1.09039573 0.88116769
1.08912443 0.88134933
1.08783834 0.88154375
1.08656703 0.88175003
1.08529573 0.88196656
1.08402442 0.88219121
1.08275312 0.88242009
1.08148181 0.88264628
