# s/c    M_iso_mean    M_iso_std
0.00000000 0.03465073 0.00004269
0.00130087 0.03927839 0.00005482
0.00260174 0.04380304 0.00006703
0.00390261 0.04822736 0.00007900
0.00520348 0.05255405 0.00009057
0.00650435 0.05678577 0.00010170
0.00780522 0.06092521 0.00011233
0.00910609 0.06497503 0.00012245
0.01040697 0.06893789 0.00013206
0.01170784 0.07281645 0.00014115
0.01300871 0.07661336 0.00014973
0.01430958 0.08033124 0.00015780
0.01561045 0.08397271 0.00016536
0.01691132 0.08754038 0.00017243
0.01821219 0.09103683 0.00017901
0.01951306 0.09446465 0.00018511
0.02081393 0.09782637 0.00019075
0.02211480 0.10112455 0.00019594
0.02341567 0.10436169 0.00020069
0.02470176 0.10754028 0.00020501
0.02600263 0.11066280 0.00020892
0.02730350 0.11373169 0.00021243
0.02860437 0.11674938 0.00021556
0.02990524 0.11971825 0.00021832
0.03120611 0.12264068 0.00022072
0.03250698 0.12551901 0.00022280
0.03380786 0.12835555 0.00022455
0.03510873 0.13115258 0.00022600
0.03640960 0.13391236 0.00022717
0.03771047 0.13663709 0.00022808
0.03901134 0.13932896 0.00022873
0.04029743 0.14199014 0.00022915
0.04159830 0.14462274 0.00022936
0.04289917 0.14722883 0.00022938
0.04420004 0.14981048 0.00022923
0.04550091 0.15236969 0.00022891
0.04680178 0.15490844 0.00022846
0.04810265 0.15742866 0.00022789
0.04940352 0.15993225 0.00022722
0.05068961 0.16242107 0.00022646
0.05199048 0.16489695 0.00022564
0.05329135 0.16736165 0.00022478
0.05459222 0.16981693 0.00022388
0.05589309 0.17226447 0.00022298
0.05719396 0.17470594 0.00022207
0.05849483 0.17714296 0.00022120
0.05978092 0.17957708 0.00022035
0.06108179 0.18200985 0.00021957
0.06238266 0.18444274 0.00021885
0.06368353 0.18687721 0.00021821
0.06498440 0.18931465 0.00021766
0.06628528 0.19175642 0.00021723
0.06757136 0.19420382 0.00021691
0.06887223 0.19665813 0.00021673
0.07017310 0.19912057 0.00021669
0.07147398 0.20159231 0.00021679
0.07277485 0.20407449 0.00021706
0.07407572 0.20656820 0.00021749
0.07536180 0.20907447 0.00021810
0.07666268 0.21159431 0.00021888
0.07796355 0.21412868 0.00021985
0.07926442 0.21667847 0.00022101
0.08056529 0.21924455 0.00022236
0.08185138 0.22182773 0.00022390
0.08315225 0.22442881 0.00022564
0.08445312 0.22704849 0.00022758
0.08575399 0.22968747 0.00022973
0.08704008 0.23234638 0.00023207
0.08834095 0.23502582 0.00023461
0.08964182 0.23772635 0.00023736
0.09094269 0.24044847 0.00024031
0.09224356 0.24319265 0.00024347
0.09352965 0.24595931 0.00024682
0.09483052 0.24874882 0.00025038
0.09613139 0.25156154 0.00025414
0.09743226 0.25439775 0.00025810
0.09871835 0.25725771 0.00026225
0.10001922 0.26014163 0.00026660
0.10132009 0.26304970 0.00027115
0.10260618 0.26598203 0.00027589
0.10390705 0.26893873 0.00028082
0.10520792 0.27191985 0.00028594
0.10650879 0.27492542 0.00029125
0.10779488 0.27795540 0.00029674
0.10909575 0.28100976 0.00030242
0.11039662 0.28408839 0.00030826
0.11169749 0.28719117 0.00031429
0.11298358 0.29031793 0.00032048
0.11428445 0.29346849 0.00032683
0.11558532 0.29664262 0.00033335
