# s/c    P_stat
1.28119503 0.58858375
1.27992372 0.58704925
1.27865242 0.58559915
1.27738111 0.58423093
1.27610981 0.58294204
1.27483850 0.58172990
1.27356719 0.58059194
1.27229589 0.57952557
1.27102458 0.57852819
1.26975328 0.57759719
1.26848197 0.57672998
1.26721067 0.57592394
1.26593936 0.57517646
1.26466806 0.57448494
1.26339675 0.57384679
1.26212545 0.57325940
1.26085414 0.57272019
1.25958283 0.57222661
1.25831153 0.57177609
1.25704022 0.57136609
1.25576892 0.57099410
1.25449761 0.57065760
1.25322631 0.57035411
1.25195500 0.57008119
1.25068370 0.56983640
1.24941239 0.56961733
1.24814109 0.56942160
1.24686978 0.56924687
1.24559847 0.56909082
1.24432717 0.56895118
1.24305586 0.56882569
1.24178456 0.56871214
1.24051325 0.56860836
1.23924195 0.56851221
1.23797064 0.56842161
1.23669934 0.56833449
1.23542803 0.56824886
1.23415673 0.56816274
1.23288542 0.56807421
1.23161411 0.56798140
1.23034281 0.56788249
1.22907150 0.56777569
1.22780020 0.56765928
1.22652889 0.56753158
1.22525759 0.56739097
1.22398628 0.56723586
1.22271498 0.56706474
1.22144367 0.56687614
1.22017237 0.56666865
1.21890106 0.56644090
1.21762975 0.56619159
1.21635845 0.56591949
1.21508714 0.56562339
1.21381584 0.56530217
1.21254453 0.56495475
1.21127323 0.56458012
1.21000192 0.56417731
1.20873062 0.56374544
1.20744453 0.56328366
1.20617322 0.56279119
1.20490192 0.56226731
1.20363061 0.56171137
1.20235931 0.56112276
1.20108800 0.56050094
1.19981670 0.55984544
1.19854539 0.55915583
1.19727408 0.55843175
1.19600278 0.55767291
1.19473147 0.55687906
1.19346017 0.55605003
1.19218886 0.55518569
1.19091756 0.55428599
1.18964625 0.55335091
1.18837495 0.55238052
1.18710364 0.55137492
1.18583234 0.55033430
1.18456103 0.54925887
1.18328972 0.54814892
1.18201842 0.54700480
1.18074711 0.54582690
1.17946103 0.54461566
1.17818972 0.54337160
1.17691841 0.54209527
1.17564711 0.54078729
1.17437580 0.53944830
1.17310450 0.53807904
1.17183319 0.53668025
1.17056189 0.53525276
1.16929058 0.53379741
1.16801928 0.53231512
1.16674797 0.53080683
1.16547667 0.52927355
1.16420536 0.52771631
1.16293405 0.52613620
1.16166275 0.52453433
1.16039144 0.52291187
1.15912014 0.52127002
1.15783405 0.51961001
1.15656274 0.51793312
1.15529144 0.51624065
1.15402013 0.51358367
1.15274883 0.51177802
1.15147752 0.50998251
1.15020622 0.50819191
1.14893491 0.50639404
1.14766361 0.50458428
1.14639230 0.50277204
1.14512100 0.50097241
1.14384969 0.49919243
1.14257838 0.49742794
1.14130708 0.49566886
1.14002099 0.49391321
1.13874969 0.49215676
1.13747838 0.49039139
1.13620707 0.48861104
1.13493577 0.48681220
1.13366446 0.48500137
1.13239316 0.48318770
1.13112185 0.48138211
1.12985055 0.47959695
1.12857924 0.47784391
1.12730794 0.47613269
1.12603663 0.47447332
1.12475054 0.47287429
1.12347924 0.47133941
1.12220793 0.46986386
1.12093663 0.46843561
1.11966532 0.46703943
1.11839402 0.46566209
1.11712271 0.46429978
1.11585141 0.46295440
1.11458010 0.46163011
1.11330879 0.46033295
1.11203749 0.45906889
1.11075140 0.45784380
1.10948010 0.45666287
1.10820879 0.45553062
1.10693748 0.45445058
1.10566618 0.45342524
1.10439487 0.45245634
1.10312357 0.45154489
1.10185226 0.45069188
1.10058096 0.44989752
1.09930965 0.44916174
1.09802356 0.44848469
1.09675226 0.44786448
1.09548095 0.44729859
1.09420965 0.44678422
1.09293834 0.44631771
1.09166704 0.44589532
1.09039573 0.44551293
1.08912443 0.44516611
1.08783834 0.44484975
1.08656703 0.44455884
1.08529573 0.44428835
1.08402442 0.44403272
1.08275312 0.44378638
1.08148181 0.44354225
1.08021050 0.44329374
1.07893920 0.44304242
1.07766789 0.44280047
1.07638181 0.44258288
1.07511050 0.44239999
1.07383919 0.44225484
1.07256789 0.44214469
1.07129658 0.44206468
1.07002528 0.44200873
1.06875397 0.44196991
1.06746788 0.44194120
1.06619658 0.44191606
1.06492527 0.44188920
1.06365397 0.44185581
1.06238266 0.44181172
1.06111136 0.44175117
1.05984005 0.44166643
1.05856875 0.44155456
1.05728266 0.44141744
1.05601135 0.44126038
1.05474005 0.44109053
1.05346874 0.44091372
1.05219744 0.44073480
1.05092613 0.44055748
1.04965483 0.44038507
1.04836874 0.44022034
