# s/c    P_stat_mean   P_stat_std
0.00000000 0.99992811 0.00002521
0.00130087 0.99953724 0.00001971
0.00260174 0.99913563 0.00001494
0.00390261 0.99872428 0.00001088
0.00520348 0.99830409 0.00000751
0.00650435 0.99787595 0.00000495
0.00780522 0.99744062 0.00000361
0.00910609 0.99699885 0.00000384
0.01040697 0.99655131 0.00000498
0.01170784 0.99609860 0.00000631
0.01300871 0.99564129 0.00000760
0.01430958 0.99517987 0.00000881
0.01561045 0.99471479 0.00000995
0.01691132 0.99424645 0.00001103
0.01821219 0.99377520 0.00001210
0.01951306 0.99330133 0.00001316
0.02081393 0.99282512 0.00001425
0.02211480 0.99234676 0.00001537
0.02341567 0.99186643 0.00001653
0.02470176 0.99138425 0.00001773
0.02600263 0.99090033 0.00001896
0.02730350 0.99041470 0.00002022
0.02860437 0.98992740 0.00002150
0.02990524 0.98943839 0.00002278
0.03120611 0.98894765 0.00002407
0.03250698 0.98845509 0.00002534
0.03380786 0.98796059 0.00002658
0.03510873 0.98746403 0.00002780
0.03640960 0.98696524 0.00002897
0.03771047 0.98646404 0.00003008
0.03901134 0.98596021 0.00003114
0.04029743 0.98545352 0.00003214
0.04159830 0.98494373 0.00003306
0.04289917 0.98443054 0.00003391
0.04420004 0.98391369 0.00003468
0.04550091 0.98339285 0.00003537
0.04680178 0.98286770 0.00003599
0.04810265 0.98233790 0.00003652
0.04940352 0.98180312 0.00003697
0.05068961 0.98126297 0.00003734
0.05199048 0.98071709 0.00003763
0.05329135 0.98016509 0.00003785
0.05459222 0.97960658 0.00003800
0.05589309 0.97904116 0.00003809
0.05719396 0.97846843 0.00003811
0.05849483 0.97788798 0.00003808
0.05978092 0.97729938 0.00003800
0.06108179 0.97670222 0.00003788
0.06238266 0.97609608 0.00003773
0.06368353 0.97548053 0.00003755
0.06498440 0.97485514 0.00003735
0.06628528 0.97421951 0.00003714
0.06757136 0.97357320 0.00003693
0.06887223 0.97291579 0.00003674
0.07017310 0.97224686 0.00003656
0.07147398 0.97156600 0.00003641
0.07277485 0.97087281 0.00003630
0.07407572 0.97016687 0.00003623
0.07536180 0.96944778 0.00003622
0.07666268 0.96871516 0.00003628
0.07796355 0.96796861 0.00003640
0.07926442 0.96720777 0.00003660
0.08056529 0.96643225 0.00003688
0.08185138 0.96564171 0.00003724
0.08315225 0.96483578 0.00003769
0.08445312 0.96401412 0.00003823
0.08575399 0.96317642 0.00003887
0.08704008 0.96232234 0.00003959
0.08834095 0.96145157 0.00004041
0.08964182 0.96056383 0.00004131
0.09094269 0.95965883 0.00004231
0.09224356 0.95873629 0.00004339
0.09352965 0.95779596 0.00004456
0.09483052 0.95683760 0.00004581
0.09613139 0.95586097 0.00004715
0.09743226 0.95486585 0.00004857
0.09871835 0.95385204 0.00005006
0.10001922 0.95281936 0.00005164
0.10132009 0.95176763 0.00005330
0.10260618 0.95069669 0.00005503
0.10390705 0.94960640 0.00005685
0.10520792 0.94849663 0.00005874
0.10650879 0.94736726 0.00006071
0.10779488 0.94621820 0.00006276
0.10909575 0.94504937 0.00006489
0.11039662 0.94386070 0.00006710
0.11169749 0.94265213 0.00006940
0.11298358 0.94142364 0.00007178
0.11428445 0.94017519 0.00007423
0.11558532 0.93890680 0.00007678
0.11687141 0.93761846 0.00007940
0.11817228 0.93631020 0.00008211
0.11947315 0.93498206 0.00008490
0.12075924 0.93363410 0.00008778
0.12206011 0.93226639 0.00009073
0.12336098 0.93087901 0.00009377
0.12466185 0.92947206 0.00009688
0.12594794 0.92804566 0.00010007
0.12724881 0.92659992 0.00010333
0.12854968 0.92513499 0.00010666
0.12983577 0.92361995 0.00011006
0.13113664 0.92203975 0.00011720
0.13243751 0.92045040 0.00012311
0.13372359 0.91885043 0.00012792
0.13502447 0.91723600 0.00013188
0.13632534 0.91560905 0.00013536
0.13761142 0.91397151 0.00013827
0.13891229 0.91232158 0.00014097
0.14019838 0.91064563 0.00014413
0.14149925 0.90892256 0.00014849
0.14280012 0.90714212 0.00015351
0.14408621 0.90532459 0.00016009
0.14538708 0.90351241 0.00016993
0.14668795 0.90173166 0.00017915
0.14797404 0.89998486 0.00018484
0.14927491 0.89826096 0.00018792
0.15056100 0.89653710 0.00018895
0.15186187 0.89479811 0.00018877
0.15316274 0.89305232 0.00018869
0.15444883 0.89131599 0.00018939
0.15574970 0.88958727 0.00018944
0.15703579 0.88784922 0.00018810
0.15833666 0.88610585 0.00018589
0.15963753 0.88437394 0.00018325
0.16092362 0.88265888 0.00018053
0.16222449 0.88092060 0.00017655
0.16351058 0.87909826 0.00017192
0.16481145 0.87719608 0.00017014
0.16611232 0.87525555 0.00017568
0.16739841 0.87331165 0.00018840
0.16869928 0.87138585 0.00020056
0.16998537 0.86948097 0.00020941
0.17128624 0.86759512 0.00021573
0.17257232 0.86572517 0.00021948
0.17387319 0.86386707 0.00022139
0.17517407 0.86201656 0.00022175
0.17646015 0.86016896 0.00022088
0.17776102 0.85831996 0.00021898
0.17904711 0.85646670 0.00021623
0.18034798 0.85460585 0.00021281
0.18163407 0.85273413 0.00020898
0.18293494 0.85084437 0.00020520
0.18422103 0.84892328 0.00020202
0.18552190 0.84696290 0.00019909
0.18680799 0.84496992 0.00019676
0.18810886 0.84297179 0.00019625
0.18939495 0.84099524 0.00019486
0.19069582 0.83904010 0.00019119
0.19199669 0.83706278 0.00018624
0.19328278 0.83499825 0.00017940
0.19458365 0.83284639 0.00017405
0.19586974 0.83064556 0.00017644
0.19717061 0.82841776 0.00018602
0.19845669 0.82617389 0.00019626
0.19975757 0.82390571 0.00020494
0.20104365 0.82161303 0.00021223
0.20234452 0.81931608 0.00021634
0.20363061 0.81703216 0.00021568
0.20493148 0.81477259 0.00021119
0.20621757 0.81250435 0.00020642
0.20750366 0.81015969 0.00020210
0.20880453 0.80772251 0.00019905
0.21009062 0.80521886 0.00020050
0.21139149 0.80268226 0.00020822
0.21267758 0.80013362 0.00021773
0.21397845 0.79756545 0.00022569
0.21526454 0.79496164 0.00023270
0.21656541 0.79231264 0.00023962
0.21785149 0.78961492 0.00024735
0.21915236 0.78687230 0.00025644
0.22043845 0.78409338 0.00026686
0.22173932 0.78128875 0.00027766
0.22302541 0.77846683 0.00028812
0.22432628 0.77563063 0.00029814
0.22561237 0.77277018 0.00030821
0.22689846 0.76986654 0.00031899
0.22819933 0.76691416 0.00033120
0.22948542 0.76392254 0.00034624
0.23078629 0.76090655 0.00036424
0.23207238 0.75787887 0.00038361
0.23337325 0.75484775 0.00040273
0.23465933 0.75182101 0.00041972
0.23594542 0.74880813 0.00043415
0.23724629 0.74581784 0.00044667
0.23853238 0.74285106 0.00045766
0.23983325 0.73990000 0.00046739
0.24111934 0.73695216 0.00047630
0.24240543 0.73399727 0.00048513
0.24370630 0.73103362 0.00049439
0.24499239 0.72806977 0.00050419
0.24629326 0.72511815 0.00051468
0.24757935 0.72218935 0.00052545
0.24886543 0.71929136 0.00053530
0.25016630 0.71642567 0.00054388
0.25145239 0.71358875 0.00055120
0.25275326 0.71077698 0.00055757
0.25403935 0.70798822 0.00056374
0.25532544 0.70522316 0.00057003
0.25662631 0.70248389 0.00057623
0.25791240 0.69977539 0.00058212
