# y/t    TKE_xc08
0.00000000 0.05755017
0.00408696 0.05792389
0.00780870 0.05825828
0.01433045 0.05959206
0.01582610 0.05989645
0.02396524 0.06159788
0.02485220 0.06179673
0.03215655 0.06342396
0.03554786 0.06423867
0.04038264 0.06539385
0.04631308 0.06692027
0.04860874 0.06750887
0.05683483 0.06976522
0.05709570 0.06984168
0.06500875 0.07215408
0.06782615 0.07303225
0.07314789 0.07466858
0.07850442 0.07640446
0.08126964 0.07729322
0.08907834 0.07992067
0.08935660 0.08001315
0.09739139 0.08281073
0.09954791 0.08358584
0.10539140 0.08567891
0.10987836 0.08733924
0.11335662 0.08862050
0.12006967 0.09119007
0.12130445 0.09165598
0.12920011 0.09483123
0.13012185 0.09523996
0.13706099 0.09824085
0.14003490 0.09971059
0.14490447 0.10205356
0.14980883 0.10492032
0.15271318 0.10656160
0.15944362 0.11152285
0.16050449 0.11227819
0.16827841 0.12015985
0.16892189 0.12126321
0.17603494 0.13236954
0.17827842 0.13909348
0.18377407 0.15379015
0.18751321 0.17424646
0.19149582 0.19363824
0.19662626 0.24284197
0.19921756 0.26515345
0.20563496 0.36235730
0.20693931 0.38028499
0.21457410 0.53960395
0.21464366 0.54098474
0.22231324 0.73503806
0.22340889 0.76517403
0.22994803 0.94108365
0.23222629 0.99968255
0.23760021 1.13964643
0.24116543 1.22130086
0.24525239 1.31743382
0.25046978 1.41751996
0.25297413 1.46761245
0.26015675 1.57731330
0.26076544 1.58701272
0.26866110 1.67376393
0.27026110 1.68335746
0.27660894 1.72645422
0.28050459 1.73484768
0.28462633 1.74686959
0.29086982 1.73883616
0.29271330 1.73769962
0.30085244 1.70322926
0.30133939 1.69983376
0.30906114 1.64875298
0.31193071 1.62479386
0.31732202 1.58105471
0.32264376 1.53473892
0.32565246 1.50866203
0.33349594 1.44405571
0.33405246 1.43938954
0.34250465 1.37936468
0.34445247 1.36877579
0.35102639 1.33152409
0.35553074 1.31318414
0.35960031 1.29576190
0.36673075 1.27536770
0.36826119 1.27075095
0.37697424 1.25601828
0.37805250 1.25583474
0.38575686 1.25286985
0.38949599 1.25769133
0.39459165 1.26305636
0.40106122 1.27979386
0.40351339 1.28573069
0.41250471 1.31416538
0.41271340 1.31458188
0.42156558 1.33518785
0.42448733 1.33273123
0.43067864 1.33112877
0.43636560 1.30340001
0.43989603 1.28930268
0.44836561 1.20645524
0.44918300 1.19925480
0.45853953 1.04979621
0.46043518 1.00429224
0.46796562 0.83437593
0.47260911 0.70331729
0.47747868 0.56912294
0.48486999 0.37864513
0.48709608 0.32010553
0.49678304 0.15550343
0.49723521 0.15255266
0.50655696 0.07973431
0.50965262 0.07223738
0.51641784 0.05251113
0.52217437 0.04790511
0.52638307 0.04376880
0.53474829 0.04140007
0.53645264 0.04082425
0.54660917 0.03954207
0.54740917 0.03948179
0.55685266 0.03874304
0.56013962 0.03854072
0.56721788 0.03809768
0.57293963 0.03778615
0.57770485 0.03752468
0.58580921 0.03713557
0.58829616 0.03701465
0.59873096 0.03658693
0.59900922 0.03657528
0.60982662 0.03621356
0.61170488 0.03616613
0.62076576 0.03592971
0.62473098 0.03585679
0.63184403 0.03572026
0.63782664 0.03564847
0.64306143 0.03558134
0.65095709 0.03553115
0.65441796 0.03550644
0.66413971 0.03549331
0.66593101 0.03548964
0.67733972 0.03552740
0.67758320 0.03552804
0.68940930 0.03561981
0.69059190 0.03563478
0.70137452 0.03576389
0.70386148 0.03580526
0.71353106 0.03595964
0.71718323 0.03603454
0.72584411 0.03620672
0.73053977 0.03632037
0.73836586 0.03650539
0.74393108 0.03666063
0.75107891 0.03685553
0.75737457 0.03705319
0.76398327 0.03725713
0.77085284 0.03749651
0.77709633 0.03771076
0.78438329 0.03799031
0.79043547 0.03821903
0.79796591 0.03853670
0.80398331 0.03878680
0.81160071 0.03913977
0.81775723 0.03942115
0.82528767 0.03980553
0.83175725 0.04013159
0.83902682 0.04054061
0.84600074 0.04092809
0.85280074 0.04135186
0.86045292 0.04182116
0.86664423 0.04224584
0.87513120 0.04282173
0.88050511 0.04322877
0.89003556 0.04394133
0.89440078 0.04430785
0.90513122 0.04519364
0.90833122 0.04549091
0.92040080 0.04659674
0.92226167 0.04678748
0.93586168 0.04817159
0.93617473 0.04820738
0.95005300 0.04978703
0.95147909 0.04994777
0.96386171 0.05153116
0.96727041 0.05196093
0.97753128 0.05345262
0.98321825 0.05426768
0.99092260 0.05585369
0.99930522 0.05754982
