# y/t    TKE_xc08
0.00000000 0.00608990
0.00408696 0.00608938
0.00780870 0.00608892
0.01433045 0.00609117
0.01582610 0.00609169
0.02396524 0.00609406
0.02485220 0.00609431
0.03215655 0.00609637
0.03554786 0.00609720
0.04038264 0.00609843
0.04631308 0.00609950
0.04860874 0.00609995
0.05683483 0.00610082
0.05709570 0.00610083
0.06500875 0.00610107
0.06782615 0.00610097
0.07314789 0.00610083
0.07850442 0.00610042
0.08126964 0.00610023
0.08907834 0.00609942
0.08935660 0.00609939
0.09739139 0.00609837
0.09954791 0.00609805
0.10539140 0.00609719
0.10987836 0.00609643
0.11335662 0.00609585
0.12006967 0.00609456
0.12130445 0.00609433
0.12920011 0.00609259
0.13012185 0.00609235
0.13706099 0.00609061
0.14003490 0.00608976
0.14490447 0.00608839
0.14980883 0.00608682
0.15271318 0.00608592
0.15944362 0.00608353
0.16050449 0.00608316
0.16827841 0.00608007
0.16892189 0.00607978
0.17603494 0.00607661
0.17827842 0.00607543
0.18377407 0.00607266
0.18751321 0.00607039
0.19149582 0.00606808
0.19662626 0.00606448
0.19921756 0.00606275
0.20563496 0.00605722
0.20693931 0.00605616
0.21457410 0.00604913
0.21464366 0.00604907
0.22231324 0.00603916
0.22340889 0.00603665
0.22994803 0.00602220
0.23222629 0.00602229
0.23760021 0.00601889
0.24116543 0.00603012
0.24525239 0.00604233
0.25046978 0.00598834
0.25297413 0.00597614
0.26015675 0.00543970
0.26076544 0.00540292
0.26866110 0.00480735
0.27026110 0.00591882
0.27660894 0.00867610
0.28050459 0.02168596
0.28462633 0.03225178
0.29086982 0.08797805
0.29271330 0.10179244
0.30085244 0.23445206
0.30133939 0.24535259
0.30906114 0.41424564
0.31193071 0.47803568
0.31732202 0.59900946
0.32264376 0.69817477
0.32565246 0.75636443
0.33349594 0.86727899
0.33405246 0.87561782
0.34250465 0.95836521
0.34445247 0.96936896
0.35102639 1.01007137
0.35553074 1.02319356
0.35960031 1.03674079
0.36673075 1.04308936
0.36826119 1.04489746
0.37697424 1.04088321
0.37805250 1.03948666
0.38575686 1.03022354
0.38949599 1.02493419
0.39459165 1.01777601
0.40106122 1.01004438
0.40351339 1.00701514
0.41250471 0.99936447
0.41271340 0.99924977
0.42156558 0.99428426
0.42448733 0.99244243
0.43067864 0.98897466
0.43636560 0.98246417
0.43989603 0.97903013
0.44836561 0.96107736
0.44918300 0.95953912
0.45853953 0.92465906
0.46043518 0.91268380
0.46796562 0.86895215
0.47260911 0.82777074
0.47747868 0.78733820
0.48486999 0.70073849
0.48709608 0.67622799
0.49678304 0.52923584
0.49723521 0.52087407
0.50655696 0.34733798
0.50965262 0.29436886
0.51641784 0.17546832
0.52217437 0.11547730
0.52638307 0.06684802
0.53474829 0.03085570
0.53645264 0.02222312
0.54660917 0.00908838
0.54740917 0.00889907
0.55685266 0.00598276
0.56013962 0.00583048
0.56721788 0.00536917
0.57293963 0.00533732
0.57770485 0.00529255
0.58580921 0.00530500
0.58829616 0.00530705
0.59873096 0.00533780
0.59900922 0.00533855
0.60982662 0.00537431
0.61170488 0.00538025
0.62076576 0.00540903
0.62473098 0.00542109
0.63184403 0.00544271
0.63782664 0.00546039
0.64306143 0.00547585
0.65095709 0.00549863
0.65441796 0.00550861
0.66413971 0.00553587
0.66593101 0.00554092
0.67733972 0.00557205
0.67758320 0.00557273
0.68940930 0.00560407
0.69059190 0.00560716
0.70137452 0.00563523
0.70386148 0.00564169
0.71353106 0.00566656
0.71718323 0.00567600
0.72584411 0.00569821
0.73053977 0.00571014
0.73836586 0.00572998
0.74393108 0.00574394
0.75107891 0.00576178
0.75737457 0.00577776
0.76398327 0.00579442
0.77085284 0.00581320
0.77709633 0.00583001
0.78438329 0.00585306
0.79043547 0.00587172
0.79796591 0.00590080
0.80398331 0.00592334
0.81160071 0.00596017
0.81775723 0.00598908
0.82528767 0.00603153
0.83175725 0.00606746
0.83902682 0.00610475
0.84600074 0.00614129
0.85280074 0.00616006
0.86045292 0.00618329
0.86664423 0.00618145
0.87513120 0.00618154
0.88050511 0.00616909
0.89003556 0.00614887
0.89440078 0.00613709
0.90513122 0.00610850
0.90833122 0.00610309
0.92040080 0.00608115
0.92226167 0.00608023
0.93586168 0.00607166
0.93617473 0.00607169
0.95005300 0.00607213
0.95147909 0.00607207
0.96386171 0.00607508
0.96727041 0.00607580
0.97753128 0.00607912
0.98321825 0.00608099
0.99092260 0.00608531
0.99930522 0.00608988
