# y/t    TKE_xc08
0.00000000 0.06504372
0.00408696 0.06499409
0.00780870 0.06494386
0.01433045 0.06487546
0.01582610 0.06485791
0.02396524 0.06477741
0.02485220 0.06476652
0.03215655 0.06468481
0.03554786 0.06464123
0.04038264 0.06457526
0.04631308 0.06449052
0.04860874 0.06448507
0.05683483 0.06448689
0.05709570 0.06448750
0.06500875 0.06467573
0.06782615 0.06474654
0.07314789 0.06476410
0.07850442 0.06474594
0.08126964 0.06482099
0.08907834 0.06504675
0.08935660 0.06508065
0.09739139 0.06612350
0.09954791 0.06642007
0.10539140 0.06738061
0.10987836 0.06820921
0.11335662 0.06893007
0.12006967 0.07037118
0.12130445 0.07050494
0.12920011 0.07150603
0.13012185 0.07162345
0.13706099 0.07207437
0.14003490 0.07219058
0.14490447 0.07233584
0.14980883 0.07232978
0.15271318 0.07233342
0.15944362 0.07211250
0.16050449 0.07208223
0.16827841 0.07158653
0.16892189 0.07152782
0.17603494 0.07091409
0.17827842 0.07068470
0.18377407 0.07014179
0.18751321 0.06971508
0.19149582 0.06927264
0.19662626 0.06863047
0.19921756 0.06830363
0.20563496 0.06780611
0.20693931 0.06768869
0.21457410 0.06880478
0.21464366 0.06880962
0.22231324 0.07992573
0.22340889 0.08812270
0.22994803 0.12662539
0.23222629 0.16567523
0.23760021 0.24491158
0.24116543 0.34473689
0.24525239 0.44956705
0.25046978 0.63037305
0.25297413 0.71439454
0.26015675 0.96952161
0.26076544 0.99100211
0.26866110 1.24096031
0.27026110 1.28130661
0.27660894 1.44694673
0.28050459 1.52331780
0.28462633 1.60788403
0.29086982 1.69869648
0.29271330 1.72690136
0.30085244 1.80825368
0.30133939 1.81084417
0.30906114 1.85664987
0.31193071 1.86314426
0.31732202 1.87779143
0.32264376 1.87703486
0.32565246 1.87761590
0.33349594 1.86276295
0.33405246 1.86183085
0.34250465 1.83610752
0.34445247 1.82911077
0.35102639 1.80571161
0.35553074 1.78980551
0.35960031 1.77534597
0.36673075 1.75327232
0.36826119 1.74847265
0.37697424 1.72692557
0.37805250 1.72495244
0.38575686 1.71075921
0.38949599 1.70525139
0.39459165 1.69795202
0.40106122 1.68832846
0.40351339 1.68494509
0.41250471 1.66686007
0.41271340 1.66611561
0.42156558 1.63754757
0.42448733 1.62162331
0.43067864 1.59059795
0.43636560 1.54567592
0.43989603 1.51971048
0.44836561 1.42691279
0.44918300 1.41839685
0.45853953 1.28100398
0.46043518 1.24393211
0.46796562 1.10319823
0.47260911 0.99269683
0.47747868 0.88117860
0.48486999 0.66844358
0.48709608 0.60654416
0.49678304 0.32855782
0.49723521 0.32067558
0.50655696 0.13998518
0.50965262 0.11768699
0.51641784 0.06162040
0.52217437 0.05050471
0.52638307 0.04045488
0.53474829 0.03791154
0.53645264 0.03717863
0.54660917 0.03819716
0.54740917 0.03836887
0.55685266 0.04029061
0.56013962 0.04106770
0.56721788 0.04273118
0.57293963 0.04405796
0.57770485 0.04516285
0.58580921 0.04695193
0.58829616 0.04750198
0.59873096 0.04966020
0.59900922 0.04971794
0.60982662 0.05179040
0.61170488 0.05212117
0.62076576 0.05371650
0.62473098 0.05435292
0.63184403 0.05549425
0.63782664 0.05636510
0.64306143 0.05713008
0.65095709 0.05818019
0.65441796 0.05864249
0.66413971 0.05983054
0.66593101 0.06005140
0.67733972 0.06133593
0.67758320 0.06136377
0.68940930 0.06257610
0.69059190 0.06268565
0.70137452 0.06368493
0.70386148 0.06389132
0.71353106 0.06469268
0.71718323 0.06496141
0.72584411 0.06559995
0.73053977 0.06589956
0.73836586 0.06640313
0.74393108 0.06670454
0.75107891 0.06709433
0.75737457 0.06737093
0.76398327 0.06766569
0.77085284 0.06790295
0.77709633 0.06812326
0.78438329 0.06832723
0.79043547 0.06850034
0.79796591 0.06869765
0.80398331 0.06885804
0.81160071 0.06907412
0.81775723 0.06925025
0.82528767 0.06947056
0.83175725 0.06966182
0.83902682 0.06981253
0.84600074 0.06996324
0.85280074 0.06997050
0.86045292 0.06999047
0.86664423 0.06986337
0.87513120 0.06970177
0.88050511 0.06950324
0.89003556 0.06916188
0.89440078 0.06895791
0.90513122 0.06846220
0.90833122 0.06830000
0.92040080 0.06768627
0.92226167 0.06759487
0.93586168 0.06690609
0.93617473 0.06689278
0.95005300 0.06628147
0.95147909 0.06621671
0.96386171 0.06579061
0.96727041 0.06566532
0.97753128 0.06542564
0.98321825 0.06528098
0.99092260 0.06516841
0.99930522 0.06504372
