# y/t    TKE_mean   TKE_std
0.00000000 0.00341081 0.00221919
0.00502513 0.00327000 0.00207775
0.01005025 0.00318831 0.00200894
0.01507538 0.00317581 0.00199864
0.02010050 0.00316331 0.00198878
0.02512563 0.00315062 0.00197924
0.03015075 0.00313747 0.00196913
0.03517588 0.00312431 0.00195947
0.04020101 0.00311089 0.00195011
0.04522613 0.00309643 0.00194045
0.05025126 0.00308196 0.00193120
0.05527638 0.00306728 0.00192226
0.06030151 0.00305093 0.00191307
0.06532663 0.00303459 0.00190424
0.07035176 0.00301795 0.00189560
0.07537688 0.00299981 0.00188641
0.08040201 0.00298159 0.00187746
0.08542714 0.00296313 0.00186858
0.09045226 0.00294413 0.00185942
0.09547739 0.00292503 0.00185040
0.10050251 0.00290640 0.00184179
0.10552764 0.00288832 0.00183359
0.11055276 0.00287011 0.00182546
0.11557789 0.00285358 0.00181823
0.12060302 0.00283783 0.00181146
0.12562814 0.00282198 0.00180477
0.13065327 0.00280857 0.00179888
0.13567839 0.00279527 0.00179312
0.14070352 0.00278233 0.00178745
0.14572864 0.00277072 0.00178190
0.15075377 0.00275905 0.00177643
0.15577889 0.00274775 0.00177071
0.16080402 0.00273671 0.00176480
0.16582915 0.00272565 0.00175896
0.17085427 0.00271458 0.00175230
0.17587940 0.00270349 0.00174564
0.18090452 0.00269229 0.00173865
0.18592965 0.00268094 0.00173110
0.19095477 0.00266952 0.00172356
0.19597990 0.00265783 0.00171527
0.20100503 0.00264609 0.00170687
0.20603015 0.00263420 0.00169817
0.21105528 0.00262207 0.00168892
0.21608040 0.00260991 0.00167968
0.22110553 0.00259740 0.00166968
0.22613065 0.00258486 0.00165963
0.23115578 0.00257198 0.00164912
0.23618090 0.00255887 0.00163820
0.24120603 0.00254567 0.00162718
0.24623116 0.00253194 0.00161541
0.25125628 0.00251821 0.00160368
0.25628141 0.00250396 0.00159129
0.26130653 0.00248955 0.00157877
0.26633166 0.00247486 0.00156590
0.27135678 0.00245984 0.00155271
0.27638191 0.00244471 0.00153946
0.28140704 0.00242893 0.00152554
0.28643216 0.00241315 0.00151178
0.29145729 0.00239653 0.00149720
0.29648241 0.00237981 0.00148274
0.30150754 0.00236235 0.00146770
0.30653266 0.00234451 0.00145253
0.31155779 0.00232610 0.00143710
0.31658291 0.00230711 0.00142142
0.32160804 0.00228778 0.00140583
0.32663317 0.00226773 0.00139002
0.33165829 0.00224757 0.00137464
0.33668342 0.00222663 0.00135920
0.34170854 0.00220569 0.00134446
0.34673367 0.00218413 0.00133004
0.35175879 0.00216255 0.00131651
0.35678392 0.00214082 0.00130380
0.36180905 0.00211899 0.00129217
0.36683417 0.00209801 0.00128163
0.37185930 0.00207708 0.00127236
0.37688442 0.00206173 0.00126296
0.38190955 0.00204838 0.00125420
0.38693467 0.00205642 0.00123341
0.39195980 0.00207390 0.00120774
0.39698492 0.00219529 0.00110914
0.40201005 0.00234501 0.00099038
0.40703518 0.00292720 0.00058707
0.41206030 0.00360127 0.00022723
0.41708543 0.00543231 0.00123255
0.42211055 0.00768256 0.00272496
0.42713568 0.01173584 0.00510912
0.43216080 0.01650145 0.00786999
0.43718593 0.02276858 0.01060448
0.44221106 0.02948278 0.01341810
0.44723618 0.03692507 0.01433381
0.45226131 0.04450266 0.01523858
0.45728643 0.05240116 0.01344131
0.46231156 0.06035875 0.01188004
0.46733668 0.06772274 0.00956389
0.47236181 0.07490742 0.00808260
0.47738693 0.08069718 0.00777652
0.48241206 0.08589983 0.00836752
0.48743719 0.08996013 0.00931531
0.49246231 0.09328154 0.01028491
0.49748744 0.09593547 0.01113588
0.50251256 0.09787405 0.01176567
0.50753769 0.09943952 0.01226750
0.51256281 0.10037869 0.01251286
0.51758794 0.10115698 0.01269379
0.52261307 0.10149869 0.01266693
0.52763819 0.10180600 0.01262462
0.53266332 0.10201571 0.01252302
0.53768844 0.10226280 0.01242967
0.54271357 0.10254774 0.01233886
0.54773869 0.10295741 0.01229836
0.55276382 0.10342008 0.01227849
0.55778894 0.10406722 0.01237495
0.56281407 0.10475300 0.01252133
0.56783920 0.10554453 0.01280224
0.57286432 0.10635362 0.01321010
0.57788945 0.10718796 0.01372880
0.58291457 0.10796293 0.01449352
0.58793970 0.10871293 0.01534833
0.59296482 0.10927809 0.01656365
0.59798995 0.10969350 0.01798779
0.60301508 0.10990969 0.01969941
0.60804020 0.10968932 0.02186109
0.61306533 0.10932926 0.02419841
0.61809045 0.10818496 0.02717360
0.62311558 0.10669886 0.03038864
0.62814070 0.10458466 0.03402344
0.63316583 0.10155229 0.03804853
0.63819095 0.09806132 0.04218484
0.64321608 0.09371845 0.04631438
0.64824121 0.08903980 0.04980222
0.65326633 0.08411013 0.05305929
0.65829146 0.07904348 0.05438115
0.66331658 0.07388980 0.05518065
0.66834171 0.06864417 0.05492643
0.67336683 0.06304322 0.05378178
0.67839196 0.05729534 0.05246629
0.68341709 0.05134468 0.05081819
0.68844221 0.04564537 0.04854831
0.69346734 0.04008024 0.04604313
0.69849246 0.03515596 0.04243251
0.70351759 0.03062799 0.03815587
0.70854271 0.02637106 0.03339546
0.71356784 0.02247966 0.02823391
0.71859296 0.01888059 0.02329456
0.72361809 0.01554033 0.01861375
0.72864322 0.01281901 0.01476833
0.73366834 0.01064945 0.01170373
0.73869347 0.00878834 0.00908317
0.74371859 0.00775616 0.00763310
0.74874372 0.00692963 0.00648073
0.75376884 0.00637202 0.00570788
0.75879397 0.00608109 0.00530350
0.76381910 0.00584851 0.00498211
0.76884422 0.00568990 0.00476299
0.77386935 0.00557847 0.00461158
0.77889447 0.00548183 0.00448274
0.78391960 0.00540166 0.00437959
0.78894472 0.00533060 0.00429232
0.79396985 0.00526106 0.00421033
0.79899497 0.00519453 0.00413578
0.80402010 0.00512297 0.00406271
0.80904523 0.00505139 0.00399111
0.81407035 0.00497119 0.00391928
0.81909548 0.00488926 0.00384753
0.82412060 0.00480598 0.00377071
0.82914573 0.00472524 0.00369367
0.83417085 0.00463457 0.00360058
0.83919598 0.00454040 0.00350148
0.84422111 0.00442551 0.00336745
0.84924623 0.00429935 0.00321615
0.85427136 0.00415399 0.00304163
0.85929648 0.00399687 0.00285595
0.86432161 0.00385455 0.00269392
0.86934673 0.00374406 0.00257302
0.87437186 0.00365594 0.00247874
0.87939698 0.00361795 0.00243816
0.88442211 0.00358568 0.00240381
0.88944724 0.00356316 0.00237908
0.89447236 0.00354095 0.00235493
0.89949749 0.00351633 0.00232871
0.90452261 0.00349283 0.00230397
0.90954774 0.00347119 0.00228146
0.91457286 0.00345011 0.00225980
0.91959799 0.00343107 0.00224044
0.92462312 0.00341821 0.00222718
0.92964824 0.00341131 0.00221973
0.93467337 0.00339517 0.00220359
0.93969849 0.00337543 0.00218415
0.94472362 0.00335579 0.00216510
0.94974874 0.00333977 0.00214933
0.95477387 0.00332605 0.00213571
0.95979899 0.00331206 0.00212212
0.96482412 0.00329883 0.00210920
0.96984925 0.00328622 0.00209687
0.97487437 0.00327347 0.00208469
0.97989950 0.00326094 0.00207287
0.98492462 0.00324879 0.00206147
0.98994975 0.00323663 0.00205038
0.99497487 0.00325279 0.00206405
1.00000000 0.00341081 0.00221919
