# y/t    TKE_mean   TKE_std
0.00000000 0.00134371 0.00137676
0.00502513 0.00120996 0.00118876
0.01005025 0.00113336 0.00108097
0.01507538 0.00112484 0.00106838
0.02010050 0.00111632 0.00105579
0.02512563 0.00110775 0.00104315
0.03015075 0.00110029 0.00103166
0.03517588 0.00109282 0.00102017
0.04020101 0.00108526 0.00100857
0.04522613 0.00107856 0.00099812
0.05025126 0.00107184 0.00098764
0.05527638 0.00106510 0.00097715
0.06030151 0.00105880 0.00096782
0.06532663 0.00105248 0.00095844
0.07035176 0.00104617 0.00094920
0.07537688 0.00104000 0.00094111
0.08040201 0.00103379 0.00093291
0.08542714 0.00102760 0.00092501
0.09045226 0.00102149 0.00091805
0.09547739 0.00101534 0.00091098
0.10050251 0.00100932 0.00090434
0.10552764 0.00100344 0.00089824
0.11055276 0.00099751 0.00089206
0.11557789 0.00099194 0.00088634
0.12060302 0.00098652 0.00088084
0.12562814 0.00098105 0.00087529
0.13065327 0.00097617 0.00087022
0.13567839 0.00097128 0.00086514
0.14070352 0.00096651 0.00086014
0.14572864 0.00096219 0.00085551
0.15075377 0.00095781 0.00085082
0.15577889 0.00095371 0.00084639
0.16080402 0.00094982 0.00084214
0.16582915 0.00094588 0.00083784
0.17085427 0.00094237 0.00083402
0.17587940 0.00093885 0.00083017
0.18090452 0.00093547 0.00082652
0.18592965 0.00093234 0.00082318
0.19095477 0.00092916 0.00081977
0.19597990 0.00092633 0.00081685
0.20100503 0.00092353 0.00081399
0.20603015 0.00092086 0.00081130
0.21105528 0.00091843 0.00080897
0.21608040 0.00091597 0.00080659
0.22110553 0.00091389 0.00080475
0.22613065 0.00091184 0.00080295
0.23115578 0.00090994 0.00080139
0.23618090 0.00090827 0.00080014
0.24120603 0.00090663 0.00079894
0.24623116 0.00090535 0.00079827
0.25125628 0.00090407 0.00079759
0.25628141 0.00090312 0.00079739
0.26130653 0.00090226 0.00079733
0.26633166 0.00090161 0.00079759
0.27135678 0.00090118 0.00079817
0.27638191 0.00090084 0.00079887
0.28140704 0.00090091 0.00080020
0.28643216 0.00090094 0.00080147
0.29145729 0.00090152 0.00080353
0.29648241 0.00090209 0.00080559
0.30150754 0.00090309 0.00080829
0.30653266 0.00090430 0.00081130
0.31155779 0.00090579 0.00081471
0.31658291 0.00090765 0.00081869
0.32160804 0.00090969 0.00082292
0.32663317 0.00091223 0.00082791
0.33165829 0.00091489 0.00083304
0.33668342 0.00091822 0.00083902
0.34170854 0.00092154 0.00084499
0.34673367 0.00092586 0.00085175
0.35175879 0.00093009 0.00085852
0.35678392 0.00093656 0.00086494
0.36180905 0.00094265 0.00087171
0.36683417 0.00095714 0.00087390
0.37185930 0.00097238 0.00087588
0.37688442 0.00101839 0.00085936
0.38190955 0.00107568 0.00083735
0.38693467 0.00124589 0.00075603
0.39195980 0.00146610 0.00067325
0.39698492 0.00208212 0.00059105
0.40201005 0.00281026 0.00088285
0.40703518 0.00448774 0.00174786
0.41206030 0.00639534 0.00292954
0.41708543 0.00956247 0.00452688
0.42211055 0.01321727 0.00643335
0.42713568 0.01772709 0.00818727
0.43216080 0.02259684 0.01000136
0.43718593 0.02778397 0.01069984
0.44221106 0.03308127 0.01118363
0.44723618 0.03838357 0.01021764
0.45226131 0.04374607 0.00929621
0.45728643 0.04855804 0.00798146
0.46231156 0.05346047 0.00720157
0.46733668 0.05720747 0.00708155
0.47236181 0.06084946 0.00753062
0.47738693 0.06346216 0.00820847
0.48241206 0.06572431 0.00897488
0.48743719 0.06731479 0.00961945
0.49246231 0.06847216 0.01012128
0.49748744 0.06924550 0.01047200
0.50251256 0.06961285 0.01060773
0.50753769 0.06976520 0.01062924
0.51256281 0.06960978 0.01043864
0.51758794 0.06937601 0.01019886
0.52261307 0.06904852 0.00984051
0.52763819 0.06875184 0.00949318
0.53266332 0.06853899 0.00915385
0.53768844 0.06843055 0.00887422
0.54271357 0.06844060 0.00865274
0.54773869 0.06860344 0.00857162
0.55276382 0.06883730 0.00855152
0.55778894 0.06922334 0.00879281
0.56281407 0.06963192 0.00913302
0.56783920 0.07009456 0.00972603
0.57286432 0.07052930 0.01053915
0.57788945 0.07094954 0.01154390
0.58291457 0.07122710 0.01294548
0.58793970 0.07145370 0.01449211
0.59296482 0.07139546 0.01656735
0.59798995 0.07113761 0.01890967
0.60301508 0.07061546 0.02161068
0.60804020 0.06961617 0.02471799
0.61306533 0.06848110 0.02796866
0.61809045 0.06677969 0.03133673
0.62311558 0.06500423 0.03451007
0.62814070 0.06304327 0.03733489
0.63316583 0.06107589 0.03919354
0.63819095 0.05908186 0.04055243
0.64321608 0.05701468 0.04089595
0.64824121 0.05464017 0.04071482
0.65326633 0.05212060 0.04031509
0.65829146 0.04875728 0.03938838
0.66331658 0.04512429 0.03856933
0.66834171 0.04099508 0.03775955
0.67336683 0.03666785 0.03680235
0.67839196 0.03243034 0.03577637
0.68341709 0.02846572 0.03432230
0.68844221 0.02506036 0.03207702
0.69346734 0.02184960 0.02950940
0.69849246 0.01907371 0.02618593
0.70351759 0.01640200 0.02268329
0.70854271 0.01381913 0.01907250
0.71356784 0.01140989 0.01563526
0.71859296 0.00926862 0.01259170
0.72361809 0.00734859 0.00987003
0.72864322 0.00591709 0.00784705
0.73366834 0.00482012 0.00629623
0.73869347 0.00391860 0.00502123
0.74371859 0.00343834 0.00434154
0.74874372 0.00304873 0.00379016
0.75376884 0.00278013 0.00341002
0.75879397 0.00262532 0.00319085
0.76381910 0.00249589 0.00300757
0.76884422 0.00239887 0.00287017
0.77386935 0.00232543 0.00276613
0.77889447 0.00226018 0.00267368
0.78391960 0.00220475 0.00259513
0.78894472 0.00215641 0.00252663
0.79396985 0.00211061 0.00246171
0.79899497 0.00206925 0.00240309
0.80402010 0.00202956 0.00234683
0.80904523 0.00199126 0.00229255
0.81407035 0.00195474 0.00224080
0.81909548 0.00191879 0.00218987
0.82412060 0.00188343 0.00213976
0.82914573 0.00184905 0.00209106
0.83417085 0.00181502 0.00204287
0.83919598 0.00178171 0.00199569
0.84422111 0.00174921 0.00194966
0.84924623 0.00171715 0.00190428
0.85427136 0.00168625 0.00186053
0.85929648 0.00165600 0.00181771
0.86432161 0.00162639 0.00177581
0.86934673 0.00159816 0.00173587
0.87437186 0.00157058 0.00169686
0.87939698 0.00154430 0.00165971
0.88442211 0.00151903 0.00162402
0.88944724 0.00149436 0.00158917
0.89447236 0.00147138 0.00155674
0.89949749 0.00144888 0.00152501
0.90452261 0.00142750 0.00149486
0.90954774 0.00140700 0.00146599
0.91457286 0.00138697 0.00143777
0.91959799 0.00136733 0.00141015
0.92462312 0.00135303 0.00138998
0.92964824 0.00134433 0.00137764
0.93467337 0.00132827 0.00135513
0.93969849 0.00130872 0.00132775
0.94472362 0.00128887 0.00129996
0.94974874 0.00127259 0.00127715
0.95477387 0.00125869 0.00125767
0.95979899 0.00124468 0.00123804
0.96482412 0.00123145 0.00121949
0.96984925 0.00121918 0.00120228
0.97487437 0.00120686 0.00118501
0.97989950 0.00119495 0.00116829
0.98492462 0.00118402 0.00115290
0.98994975 0.00117308 0.00113751
0.99497487 0.00118961 0.00116065
1.00000000 0.00134371 0.00137676
