# y/t    WL_mean   WL_std
0.00000000 0.99909983 0.00043609
0.00502513 0.99911611 0.00051632
0.01005025 0.99913698 0.00056242
0.01507538 0.99915524 0.00054252
0.02010050 0.99917350 0.00052265
0.02512563 0.99918889 0.00050579
0.03015075 0.99917422 0.00048822
0.03517588 0.99915955 0.00047070
0.04020101 0.99914747 0.00045370
0.04522613 0.99909461 0.00045045
0.05025126 0.99904295 0.00044660
0.05527638 0.99899515 0.00044099
0.06030151 0.99891477 0.00045872
0.06532663 0.99883600 0.00047562
0.07035176 0.99875831 0.00049423
0.07537688 0.99867328 0.00053044
0.08040201 0.99858735 0.00056822
0.08542714 0.99850624 0.00060804
0.09045226 0.99843852 0.00065189
0.09547739 0.99836420 0.00069899
0.10050251 0.99830319 0.00073908
0.10552764 0.99825881 0.00077064
0.11055276 0.99821143 0.00080715
0.11557789 0.99818644 0.00082364
0.12060302 0.99817213 0.00083224
0.12562814 0.99815698 0.00084440
0.13065327 0.99816224 0.00083404
0.13567839 0.99816921 0.00082356
0.14070352 0.99817893 0.00081138
0.14572864 0.99819806 0.00078996
0.15075377 0.99821966 0.00076983
0.15577889 0.99824141 0.00075121
0.16080402 0.99826311 0.00073366
0.16582915 0.99828450 0.00071622
0.17085427 0.99830364 0.00070478
0.17587940 0.99832115 0.00069470
0.18090452 0.99833704 0.00068706
0.18592965 0.99835172 0.00068220
0.19095477 0.99836497 0.00067601
0.19597990 0.99837255 0.00067566
0.20100503 0.99837925 0.00067569
0.20603015 0.99838527 0.00067536
0.21105528 0.99839011 0.00067644
0.21608040 0.99839181 0.00067681
0.22110553 0.99839382 0.00067910
0.22613065 0.99839599 0.00068160
0.23115578 0.99839648 0.00068206
0.23618090 0.99839745 0.00068296
0.24120603 0.99839632 0.00068469
0.24623116 0.99839898 0.00068597
0.25125628 0.99840164 0.00068727
0.25628141 0.99840557 0.00068585
0.26130653 0.99841017 0.00068351
0.26633166 0.99841550 0.00068002
0.27135678 0.99842305 0.00067592
0.27638191 0.99843037 0.00067171
0.28140704 0.99843734 0.00066584
0.28643216 0.99844531 0.00065924
0.29145729 0.99845152 0.00065419
0.29648241 0.99845689 0.00064988
0.30150754 0.99846258 0.00064755
0.30653266 0.99846767 0.00064600
0.31155779 0.99847123 0.00064448
0.31658291 0.99847586 0.00064359
0.32160804 0.99847883 0.00064346
0.32663317 0.99848368 0.00064409
0.33165829 0.99848867 0.00064441
0.33668342 0.99849872 0.00064157
0.34170854 0.99850879 0.00063872
0.34673367 0.99852630 0.00062883
0.35175879 0.99854443 0.00062140
0.35678392 0.99857391 0.00060934
0.36180905 0.99860161 0.00059749
0.36683417 0.99863922 0.00058502
0.37185930 0.99867857 0.00057215
0.37688442 0.99873054 0.00056733
0.38190955 0.99878722 0.00056581
0.38693467 0.99884771 0.00056377
0.39195980 0.99891075 0.00056373
0.39698492 0.99886379 0.00048079
0.40201005 0.99879102 0.00037438
0.40703518 0.99824360 0.00014011
0.41206030 0.99758772 0.00061466
0.41708543 0.99591496 0.00174866
0.42211055 0.99387019 0.00312052
0.42713568 0.99056206 0.00495318
0.43216080 0.98674529 0.00699944
0.43718593 0.98190010 0.00880376
0.44221106 0.97674834 0.01058371
0.44723618 0.97092828 0.01111091
0.45226131 0.96501563 0.01157286
0.45728643 0.95859683 0.01049133
0.46231156 0.95214863 0.00943691
0.46733668 0.94570272 0.00766234
0.47236181 0.93930155 0.00594842
0.47738693 0.93331166 0.00434039
0.48241206 0.92753413 0.00310419
0.48743719 0.92218091 0.00267685
0.49246231 0.91715659 0.00319718
0.49748744 0.91242063 0.00424802
0.50251256 0.90809934 0.00546429
0.50753769 0.90398983 0.00673215
0.51256281 0.90042771 0.00793602
0.51758794 0.89700454 0.00912776
0.52261307 0.89426030 0.01019522
0.52763819 0.89168788 0.01123543
0.53266332 0.88962902 0.01218046
0.53768844 0.88787714 0.01309000
0.54271357 0.88647849 0.01395730
0.54773869 0.88550337 0.01480373
0.55276382 0.88472143 0.01564050
0.55778894 0.88448332 0.01650632
0.56281407 0.88440548 0.01739134
0.56783920 0.88472271 0.01832799
0.57286432 0.88530848 0.01931615
0.57788945 0.88612290 0.02034629
0.58291457 0.88734329 0.02145685
0.58793970 0.88869315 0.02259172
0.59296482 0.89051848 0.02380090
0.59798995 0.89256951 0.02503197
0.60301508 0.89491651 0.02629438
0.60804020 0.89770912 0.02758711
0.61306533 0.90063113 0.02888949
0.61809045 0.90415811 0.03022784
0.62311558 0.90787484 0.03158422
0.62814070 0.91197549 0.03296895
0.63316583 0.91654454 0.03437728
0.63819095 0.92134552 0.03577147
0.64321608 0.92655627 0.03711328
0.64824121 0.93190975 0.03818867
0.65326633 0.93737685 0.03915846
0.65829146 0.94267518 0.03916457
0.66331658 0.94784307 0.03878848
0.66834171 0.95274798 0.03770933
0.67336683 0.95736837 0.03591354
0.67839196 0.96189705 0.03395897
0.68341709 0.96632402 0.03184361
0.68844221 0.97057354 0.02968980
0.69346734 0.97469866 0.02757506
0.69849246 0.97831555 0.02514291
0.70351759 0.98149130 0.02242991
0.70854271 0.98436737 0.01949496
0.71356784 0.98679633 0.01631367
0.71859296 0.98900781 0.01321809
0.72361809 0.99105061 0.01024055
0.72864322 0.99280211 0.00770876
0.73366834 0.99425852 0.00561128
0.73869347 0.99555530 0.00375995
0.74371859 0.99634327 0.00261997
0.74874372 0.99697821 0.00167155
0.75376884 0.99740782 0.00096473
0.75879397 0.99760346 0.00052893
0.76381910 0.99769566 0.00024303
0.76884422 0.99767406 0.00046738
0.77386935 0.99756296 0.00082951
0.77889447 0.99742176 0.00119527
0.78391960 0.99745508 0.00124715
0.78894472 0.99757487 0.00113489
0.79396985 0.99791227 0.00079567
0.79899497 0.99828283 0.00098073
0.80402010 0.99822647 0.00151671
0.80904523 0.99805483 0.00205021
0.81407035 0.99774782 0.00238811
0.81909548 0.99743901 0.00265357
0.82412060 0.99761131 0.00222438
0.82914573 0.99798210 0.00150259
0.83417085 0.99836918 0.00076281
0.83919598 0.99875321 0.00137009
0.84422111 0.99875819 0.00189594
0.84924623 0.99857333 0.00213398
0.85427136 0.99858670 0.00197867
0.85929648 0.99877331 0.00147213
