# y/t    WL_xc08
0.00000000 0.99951754
0.00408696 0.99946742
0.00780870 0.99949248
0.01433045 0.99957393
0.01582610 0.99959273
0.02396524 0.99978697
0.02485220 0.99982456
0.03215655 1.00045113
0.03554786 1.00065163
0.04038264 1.00090226
0.04631308 1.00115915
0.04860874 1.00118421
0.05683483 1.00117794
0.05709570 1.00117168
0.06500875 0.99840852
0.06782615 0.99741228
0.07314789 0.99634085
0.07850442 0.99555764
0.08126964 0.99580827
0.08907834 0.99667920
0.08935660 0.99671679
0.09739139 0.99783835
0.09954791 0.99810777
0.10539140 0.99852757
0.10987836 0.99879699
0.11335662 0.99889098
0.12006967 0.99902882
0.12130445 0.99904762
0.12920011 0.99908521
0.13012185 0.99907895
0.13706099 0.99902882
0.14003490 0.99895990
0.14490447 0.99885338
0.14980883 0.99865915
0.15271318 0.99854637
0.15944362 0.99813910
0.16050449 0.99807644
0.16827841 0.99733709
0.16892189 0.99722431
0.17603494 0.99610276
0.17827842 0.99542607
0.18377407 0.99392857
0.18751321 0.99200501
0.19149582 0.99015038
0.19662626 0.98609023
0.19921756 0.98419173
0.20563496 0.97731830
0.20693931 0.97600877
0.21457410 0.96627820
0.21464366 0.96619048
0.22231324 0.95562030
0.22340889 0.95407895
0.22994803 0.94497494
0.23222629 0.94191103
0.23760021 0.93461153
0.24116543 0.93004386
0.24525239 0.92474311
0.25046978 0.91848997
0.25297413 0.91544486
0.26015675 0.90741228
0.26076544 0.90672932
0.26866110 0.89862155
0.27026110 0.89715539
0.27660894 0.89122807
0.28050459 0.88805138
0.28462633 0.88459900
0.29086982 0.88015664
0.29271330 0.87880326
0.30085244 0.87389724
0.30133939 0.87367168
0.30906114 0.86992481
0.31193071 0.86890977
0.31732202 0.86688596
0.32264376 0.86556391
0.32565246 0.86475564
0.33349594 0.86356516
0.33405246 0.86346491
0.34250465 0.86292607
0.34445247 0.86296366
0.35102639 0.86302005
0.35553074 0.86338346
0.35960031 0.86367168
0.36673075 0.86471178
0.36826119 0.86491855
0.37697424 0.86688596
0.37805250 0.86726190
0.38575686 0.86979323
0.38949599 0.87158521
0.39459165 0.87391604
0.40106122 0.87802005
0.40351339 0.87952381
0.41250471 0.88682331
0.41271340 0.88703634
0.42156558 0.89587093
0.42448733 0.89937343
0.43067864 0.90662907
0.43636560 0.91434211
0.43989603 0.91902882
0.44836561 0.93190476
0.44918300 0.93313283
0.45853953 0.94907268
0.46043518 0.95249373
0.46796562 0.96598371
0.47260911 0.97326441
0.47747868 0.98109023
0.48486999 0.98875313
0.48709608 0.99121554
0.49678304 0.99612782
0.49723521 0.99619674
0.50655696 0.99790727
0.50965262 0.99803258
0.51641784 0.99838346
0.52217437 0.99842105
0.52638307 0.99845865
0.53474829 0.99842732
0.53645264 0.99842732
0.54660917 0.99835213
0.54740917 0.99834586
0.55685266 0.99827068
0.56013962 0.99824561
0.56721788 0.99819549
0.57293963 0.99816416
0.57770485 0.99813283
0.58580921 0.99810150
0.58829616 0.99809524
0.59873096 0.99807018
0.59900922 0.99807018
0.60982662 0.99806391
0.61170488 0.99806391
0.62076576 0.99805764
0.62473098 0.99805764
0.63184403 0.99805764
0.63782664 0.99805764
0.64306143 0.99805764
0.65095709 0.99805764
0.65441796 0.99805764
0.66413971 0.99805764
0.66593101 0.99805764
0.67733972 0.99806391
0.67758320 0.99806391
0.68940930 0.99807018
0.69059190 0.99807644
0.70137452 0.99808271
0.70386148 0.99808271
0.71353106 0.99808897
0.71718323 0.99808897
0.72584411 0.99808897
0.73053977 0.99808897
0.73836586 0.99808271
0.74393108 0.99807018
0.75107891 0.99805138
0.75737457 0.99803258
0.76398327 0.99800752
0.77085284 0.99798246
0.77709633 0.99795739
0.78438329 0.99794486
0.79043547 0.99793233
0.79796591 0.99796366
0.80398331 0.99798246
0.81160071 0.99807018
0.81775723 0.99813283
0.82528767 0.99827694
0.83175725 0.99839599
0.83902682 0.99856516
0.84600074 0.99871554
0.85280074 0.99885965
0.86045292 0.99902256
0.86664423 0.99911654
0.87513120 0.99925439
0.88050511 0.99929825
0.89003556 0.99938596
0.89440078 0.99939850
0.90513122 0.99943609
0.90833122 0.99943609
0.92040080 0.99942982
0.92226167 0.99942982
0.93586168 0.99944236
0.93617473 0.99944236
0.95005300 0.99951754
0.95147909 0.99952381
0.96386171 0.99960526
0.96727041 0.99959900
0.97753128 0.99954261
0.98321825 0.99952381
0.99092260 0.99954261
0.99930522 0.99951128
