# y/t    WL_xc08
0.00000000 0.99929198
0.00408696 0.99929825
0.00780870 0.99927318
0.01433045 0.99923559
0.01582610 0.99923559
0.02396524 0.99922932
0.02485220 0.99922932
0.03215655 0.99924185
0.03554786 0.99924812
0.04038264 0.99926692
0.04631308 0.99927318
0.04860874 0.99926692
0.05683483 0.99922306
0.05709570 0.99921679
0.06500875 0.99913534
0.06782615 0.99911028
0.07314789 0.99907268
0.07850442 0.99903509
0.08126964 0.99902882
0.08907834 0.99903509
0.08935660 0.99904762
0.09739139 0.99950501
0.09954791 0.99969298
0.10539140 0.99973684
0.10987836 0.99973684
0.11335662 0.99983709
0.12006967 0.99996241
0.12130445 0.99990602
0.12920011 0.99924185
0.13012185 0.99913534
0.13706099 0.99709273
0.14003490 0.99624060
0.14490447 0.99585213
0.14980883 0.99562657
0.15271318 0.99598371
0.15944362 0.99682957
0.16050449 0.99694862
0.16827841 0.99771930
0.16892189 0.99778195
0.17603494 0.99807018
0.17827842 0.99815163
0.18377407 0.99823308
0.18751321 0.99826441
0.19149582 0.99828321
0.19662626 0.99829574
0.19921756 0.99830201
0.20563496 0.99833333
0.20693931 0.99833960
0.21457410 0.99840852
0.21464366 0.99840852
0.22231324 0.99848997
0.22340889 0.99849624
0.22994803 0.99854010
0.23222629 0.99856516
0.23760021 0.99860276
0.24116543 0.99876566
0.24525239 0.99892231
0.25046978 0.99922306
0.25297413 0.99938596
0.26015675 0.99861529
0.26076544 0.99858396
0.26866110 0.99468045
0.27026110 0.99303258
0.27660894 0.98704261
0.28050459 0.98193609
0.28462633 0.97670426
0.29086982 0.96814536
0.29271330 0.96562657
0.30085244 0.95511278
0.30133939 0.95456140
0.30906114 0.94560150
0.31193071 0.94271303
0.31732202 0.93716165
0.32264376 0.93244987
0.32565246 0.92971805
0.33349594 0.92366541
0.33405246 0.92322055
0.34250465 0.91766291
0.34445247 0.91663534
0.35102639 0.91303885
0.35553074 0.91115915
0.35960031 0.90937970
0.36673075 0.90719925
0.36826119 0.90670426
0.37697424 0.90504386
0.37805250 0.90498747
0.38575686 0.90442982
0.38949599 0.90465539
0.39459165 0.90486216
0.40106122 0.90598997
0.40351339 0.90637218
0.41250471 0.90894737
0.41271340 0.90903509
0.42156558 0.91258772
0.42448733 0.91412281
0.43067864 0.91726817
0.43636560 0.92083333
0.43989603 0.92298246
0.44836561 0.92911654
0.44918300 0.92969925
0.45853953 0.93741228
0.46043518 0.93919799
0.46796562 0.94611529
0.47260911 0.95088972
0.47747868 0.95580827
0.48486999 0.96419799
0.48709608 0.96666040
0.49678304 0.97859649
0.49723521 0.97907268
0.50655696 0.98949875
0.50965262 0.99157268
0.51641784 0.99651629
0.52217437 0.99797619
0.52638307 0.99924185
0.53474829 0.99961153
0.53645264 0.99971805
0.54660917 0.99959900
0.54740917 0.99959273
0.55685266 0.99949248
0.56013962 0.99947995
0.56721788 0.99944862
0.57293963 0.99943609
0.57770485 0.99942356
0.58580921 0.99941103
0.58829616 0.99941103
0.59873096 0.99939850
0.59900922 0.99939850
0.60982662 0.99938596
0.61170488 0.99938596
0.62076576 0.99937970
0.62473098 0.99937970
0.63184403 0.99937343
0.63782664 0.99937343
0.64306143 0.99937343
0.65095709 0.99937343
0.65441796 0.99937343
0.66413971 0.99936717
0.66593101 0.99936717
0.67733972 0.99936090
0.67758320 0.99936090
0.68940930 0.99934837
0.69059190 0.99934837
0.70137452 0.99934211
0.70386148 0.99934211
0.71353106 0.99932957
0.71718323 0.99932957
0.72584411 0.99931704
0.73053977 0.99931078
0.73836586 0.99929825
0.74393108 0.99929198
0.75107891 0.99927945
0.75737457 0.99927318
0.76398327 0.99926692
0.77085284 0.99926692
0.77709633 0.99926692
0.78438329 0.99926692
0.79043547 0.99927318
0.79796591 0.99926692
0.80398331 0.99926692
0.81160071 0.99924185
0.81775723 0.99922932
0.82528767 0.99919799
0.83175725 0.99917293
0.83902682 0.99916040
0.84600074 0.99914160
0.85280074 0.99917293
0.86045292 0.99920426
0.86664423 0.99927318
0.87513120 0.99936717
0.88050511 0.99942982
0.89003556 0.99954887
0.89440078 0.99957393
0.90513122 0.99964912
0.90833122 0.99964286
0.92040080 0.99963033
0.92226167 0.99961779
0.93586168 0.99955514
0.93617473 0.99955514
0.95005300 0.99950501
0.95147909 0.99949875
0.96386171 0.99945489
0.96727041 0.99942356
0.97753128 0.99930451
0.98321825 0.99928571
0.99092260 0.99929198
1.00000000 0.99929198
