# y/t    WL_xc08
0.00000000 1.00027875
0.00408696 1.00027178
0.00780870 1.00025784
0.01433045 1.00026481
0.01582610 1.00027178
0.02396524 1.00029965
0.02485220 1.00029965
0.03215655 1.00033449
0.03554786 1.00034146
0.04038264 1.00036237
0.04631308 1.00038328
0.04860874 1.00039024
0.05683483 1.00041812
0.05709570 1.00042509
0.06500875 1.00044599
0.06782615 1.00045993
0.07314789 1.00047387
0.07850442 1.00048780
0.08126964 1.00049477
0.08907834 1.00050871
0.08935660 1.00050871
0.09739139 1.00051568
0.09954791 1.00051568
0.10539140 1.00051568
0.10987836 1.00050174
0.11335662 1.00050174
0.12006967 1.00047387
0.12130445 1.00046690
0.12920011 1.00041115
0.13012185 1.00040418
0.13706099 1.00032753
0.14003490 1.00027875
0.14490447 1.00020906
0.14980883 1.00009059
0.15271318 1.00002787
0.15944362 0.99981185
0.16050449 0.99977700
0.16827841 0.99940767
0.16892189 0.99935889
0.17603494 0.99882927
0.17827842 0.99852265
0.18377407 0.99784669
0.18751321 0.99696167
0.19149582 0.99611847
0.19662626 0.99413937
0.19921756 0.99322648
0.20563496 0.98954007
0.20693931 0.98885017
0.21457410 0.98303136
0.21464366 0.98298258
0.22231324 0.97601394
0.22340889 0.97491289
0.22994803 0.96847387
0.23222629 0.96616725
0.23760021 0.96073868
0.24116543 0.95716376
0.24525239 0.95304530
0.25046978 0.94797909
0.25297413 0.94552613
0.26015675 0.93881533
0.26076544 0.93825087
0.26866110 0.93123345
0.27026110 0.92990244
0.27660894 0.92456446
0.28050459 0.92154007
0.28462633 0.91829268
0.29086982 0.91381185
0.29271330 0.91247387
0.30085244 0.90719164
0.30133939 0.90692683
0.30906114 0.90254355
0.31193071 0.90121254
0.31732202 0.89862021
0.32264376 0.89665505
0.32565246 0.89549129
0.33349594 0.89335192
0.33405246 0.89318467
0.34250465 0.89169338
0.34445247 0.89154704
0.35102639 0.89094077
0.35553074 0.89089895
0.35960031 0.89080836
0.36673075 0.89114983
0.36826119 0.89120557
0.37697424 0.89216028
0.37805250 0.89237631
0.38575686 0.89380488
0.38949599 0.89494077
0.39459165 0.89637631
0.40106122 0.89914286
0.40351339 0.90013240
0.41250471 0.90530314
0.41271340 0.90545645
0.42156558 0.91193728
0.42448733 0.91455749
0.43067864 0.91993031
0.43636560 0.92564460
0.43989603 0.92910105
0.44836561 0.93837631
0.44918300 0.93926132
0.45853953 0.95034146
0.46043518 0.95278746
0.46796562 0.96232056
0.47260911 0.96832753
0.47747868 0.97462021
0.48486999 0.98299652
0.48709608 0.98558188
0.49678304 0.99333798
0.49723521 0.99350523
0.50655696 0.99743554
0.50965262 0.99789547
0.51641784 0.99910105
0.52217437 0.99940767
0.52638307 0.99967944
0.53474829 0.99982578
0.53645264 0.99986063
0.54660917 0.99992334
0.54740917 0.99993031
0.55685266 0.99995819
0.56013962 0.99996516
0.56721788 0.99997909
0.57293963 0.99997909
0.57770485 0.99998606
0.58580921 0.99999303
0.58829616 1.00000000
0.59873096 1.00000000
0.59900922 1.00000000
0.60982662 1.00000697
0.61170488 1.00000697
0.62076576 1.00000697
0.62473098 1.00001394
0.63184403 1.00001394
0.63782664 1.00001394
0.64306143 1.00001394
0.65095709 1.00001394
0.65441796 1.00001394
0.66413971 1.00002091
0.66593101 1.00002091
0.67733972 1.00002091
0.67758320 1.00002091
0.68940930 1.00002091
0.69059190 1.00002091
0.70137452 1.00002787
0.70386148 1.00002787
0.71353106 1.00002787
0.71718323 1.00003484
0.72584411 1.00003484
0.73053977 1.00003484
0.73836586 1.00004181
0.74393108 1.00004181
0.75107891 1.00004181
0.75737457 1.00004878
0.76398327 1.00004878
0.77085284 1.00004878
0.77709633 1.00005575
0.78438329 1.00005575
0.79043547 1.00005575
0.79796591 1.00005575
0.80398331 1.00005575
0.81160071 1.00004878
0.81775723 1.00004878
0.82528767 1.00004878
0.83175725 1.00004878
0.83902682 1.00004878
0.84600074 1.00004878
0.85280074 1.00004878
0.86045292 1.00005575
0.86664423 1.00005575
0.87513120 1.00006272
0.88050511 1.00006969
0.89003556 1.00007666
0.89440078 1.00008362
0.90513122 1.00009059
0.90833122 1.00009059
0.92040080 1.00009756
0.92226167 1.00009756
0.93586168 1.00011150
0.93617473 1.00011150
0.95005300 1.00013937
0.95147909 1.00013937
0.96386171 1.00015331
0.96727041 1.00015331
0.97753128 1.00016028
0.98321825 1.00018118
0.99092260 1.00024390
0.99930522 1.00027178
