# y/t    WL_xc08
0.00000000 0.99995819
0.00408696 0.99995122
0.00780870 0.99993728
0.01433045 0.99993031
0.01582610 0.99993031
0.02396524 0.99993728
0.02485220 0.99993728
0.03215655 0.99994425
0.03554786 0.99994425
0.04038264 0.99994425
0.04631308 0.99995122
0.04860874 0.99995122
0.05683483 0.99995819
0.05709570 0.99995819
0.06500875 0.99995819
0.06782615 0.99995819
0.07314789 0.99996516
0.07850442 0.99996516
0.08126964 0.99996516
0.08907834 0.99996516
0.08935660 0.99996516
0.09739139 0.99996516
0.09954791 0.99997213
0.10539140 0.99997213
0.10987836 0.99997213
0.11335662 0.99997213
0.12006967 0.99997909
0.12130445 0.99997909
0.12920011 0.99997909
0.13012185 0.99997909
0.13706099 0.99998606
0.14003490 0.99998606
0.14490447 0.99998606
0.14980883 0.99998606
0.15271318 0.99998606
0.15944362 0.99999303
0.16050449 0.99999303
0.16827841 0.99999303
0.16892189 0.99999303
0.17603494 1.00000000
0.17827842 1.00000000
0.18377407 1.00000000
0.18751321 1.00000697
0.19149582 1.00000697
0.19662626 1.00001394
0.19921756 1.00001394
0.20563496 1.00002091
0.20693931 1.00002091
0.21457410 1.00002787
0.21464366 1.00002787
0.22231324 1.00002787
0.22340889 1.00003484
0.22994803 1.00003484
0.23222629 1.00004181
0.23760021 1.00004878
0.24116543 1.00004878
0.24525239 1.00004878
0.25046978 1.00002091
0.25297413 1.00001394
0.26015675 1.00002091
0.26076544 1.00001394
0.26866110 1.00023693
0.27026110 1.00026481
0.27660894 1.00045296
0.28050459 1.00007666
0.28462633 0.99981882
0.29086982 0.99767944
0.29271330 0.99715679
0.30085244 0.99186760
0.30133939 0.99141463
0.30906114 0.98443206
0.31193071 0.98155401
0.31732202 0.97618815
0.32264376 0.97107317
0.32565246 0.96814634
0.33349594 0.96123345
0.33405246 0.96073171
0.34250465 0.95408362
0.34445247 0.95275958
0.35102639 0.94820209
0.35553074 0.94554704
0.35960031 0.94308711
0.36673075 0.93956794
0.36826119 0.93878746
0.37697424 0.93533798
0.37805250 0.93504530
0.38575686 0.93279443
0.38949599 0.93216028
0.39459165 0.93120557
0.40106122 0.93079443
0.40351339 0.93058537
0.41250471 0.93094077
0.41271340 0.93097561
0.42156558 0.93227875
0.42448733 0.93305226
0.43067864 0.93457143
0.43636560 0.93658537
0.43989603 0.93777003
0.44836561 0.94149826
0.44918300 0.94184669
0.45853953 0.94675261
0.46043518 0.94791638
0.46796562 0.95241812
0.47260911 0.95557491
0.47747868 0.95880836
0.48486999 0.96427178
0.48709608 0.96588153
0.49678304 0.97367944
0.49723521 0.97406272
0.50655696 0.98215331
0.50965262 0.98466202
0.51641784 0.99025087
0.52217437 0.99352613
0.52638307 0.99613240
0.53474829 0.99855052
0.53645264 0.99911498
0.54660917 1.00004181
0.54740917 1.00004878
0.55685266 1.00016725
0.56013962 1.00014634
0.56721788 1.00010453
0.57293963 1.00008362
0.57770485 1.00006969
0.58580921 1.00006272
0.58829616 1.00005575
0.59873096 1.00006272
0.59900922 1.00006272
0.60982662 1.00006969
0.61170488 1.00006969
0.62076576 1.00006969
0.62473098 1.00006969
0.63184403 1.00006969
0.63782664 1.00007666
0.64306143 1.00007666
0.65095709 1.00007666
0.65441796 1.00007666
0.66413971 1.00007666
0.66593101 1.00007666
0.67733972 1.00007666
0.67758320 1.00007666
0.68940930 1.00007666
0.69059190 1.00007666
0.70137452 1.00008362
0.70386148 1.00008362
0.71353106 1.00008362
0.71718323 1.00008362
0.72584411 1.00008362
0.73053977 1.00008362
0.73836586 1.00008362
0.74393108 1.00009059
0.75107891 1.00009059
0.75737457 1.00009059
0.76398327 1.00009059
0.77085284 1.00009756
0.77709633 1.00009756
0.78438329 1.00010453
0.79043547 1.00010453
0.79796591 1.00011150
0.80398331 1.00011150
0.81160071 1.00011847
0.81775723 1.00011847
0.82528767 1.00011150
0.83175725 1.00011150
0.83902682 1.00009756
0.84600074 1.00008362
0.85280074 1.00006272
0.86045292 1.00003484
0.86664423 1.00001394
0.87513120 0.99998606
0.88050511 0.99997909
0.89003556 0.99995819
0.89440078 0.99995122
0.90513122 0.99994425
0.90833122 0.99994425
0.92040080 0.99994425
0.92226167 0.99993728
0.93586168 0.99993728
0.93617473 0.99993728
0.95005300 0.99993728
0.95147909 0.99993031
0.96386171 0.99991638
0.96727041 0.99990941
0.97753128 0.99989547
0.98321825 0.99990941
0.99092260 0.99994425
1.00000000 0.99995122
