# y/t    WL_xc08
0.00000000 0.99850251
0.00408696 0.99855263
0.00780870 0.99855890
0.01433045 0.99861529
0.01582610 0.99862155
0.02396524 0.99863409
0.02485220 0.99863409
0.03215655 0.99862155
0.03554786 0.99860902
0.04038264 0.99861529
0.04631308 0.99864662
0.04860874 0.99862782
0.05683483 0.99860902
0.05709570 0.99861529
0.06500875 0.99986216
0.06782615 1.00020050
0.07314789 1.00056391
0.07850442 1.00093358
0.08126964 1.00092732
0.08907834 1.00093358
0.08935660 1.00082707
0.09739139 0.99740602
0.09954791 0.99644110
0.10539140 0.99465539
0.10987836 0.99359649
0.11335662 0.99403509
0.12006967 0.99502506
0.12130445 0.99526942
0.12920011 0.99666667
0.13012185 0.99682957
0.13706099 0.99738722
0.14003490 0.99760025
0.14490447 0.99773183
0.14980883 0.99785088
0.15271318 0.99789474
0.15944362 0.99797619
0.16050449 0.99798872
0.16827841 0.99805764
0.16892189 0.99805764
0.17603494 0.99810150
0.17827842 0.99811404
0.18377407 0.99813283
0.18751321 0.99813910
0.19149582 0.99814536
0.19662626 0.99815789
0.19921756 0.99817043
0.20563496 0.99823935
0.20693931 0.99825188
0.21457410 0.99838346
0.21464366 0.99838346
0.22231324 0.99775063
0.22340889 0.99725564
0.22994803 0.99491855
0.23222629 0.99286341
0.23760021 0.98859023
0.24116543 0.98389098
0.24525239 0.97882832
0.25046978 0.97097118
0.25297413 0.96726817
0.26015675 0.95645363
0.26076544 0.95554511
0.26866110 0.94443609
0.27026110 0.94241228
0.27660894 0.93426692
0.28050459 0.92983709
0.28462633 0.92506266
0.29086982 0.91868421
0.29271330 0.91676692
0.30085244 0.90934837
0.30133939 0.90896617
0.30906114 0.90276942
0.31193071 0.90080827
0.31732202 0.89703008
0.32264376 0.89394110
0.32565246 0.89214286
0.33349594 0.88839599
0.33405246 0.88812030
0.34250465 0.88500627
0.34445247 0.88453634
0.35102639 0.88281955
0.35553074 0.88221805
0.35960031 0.88159148
0.36673075 0.88140977
0.36826119 0.88134712
0.37697424 0.88209900
0.37805250 0.88233709
0.38575686 0.88388471
0.38949599 0.88511278
0.39459165 0.88669799
0.40106122 0.88950501
0.40351339 0.89053885
0.41250471 0.89539474
0.41271340 0.89553885
0.42156558 0.90127820
0.42448733 0.90351504
0.43067864 0.90815163
0.43636560 0.91303885
0.43989603 0.91600877
0.44836561 0.92406642
0.44918300 0.92483709
0.45853953 0.93464286
0.46043518 0.93684211
0.46796562 0.94541353
0.47260911 0.95123434
0.47747868 0.95723058
0.48486999 0.96726817
0.48709608 0.97023810
0.49678304 0.98318296
0.49723521 0.98359023
0.50655696 0.99269424
0.50965262 0.99400376
0.51641784 0.99728697
0.52217437 0.99796992
0.52638307 0.99860276
0.53474829 0.99862782
0.53645264 0.99864662
0.54660917 0.99845865
0.54740917 0.99844612
0.55685266 0.99830201
0.56013962 0.99826441
0.56721788 0.99817669
0.57293963 0.99812657
0.57770485 0.99808271
0.58580921 0.99803885
0.58829616 0.99802005
0.59873096 0.99799499
0.59900922 0.99799499
0.60982662 0.99798246
0.61170488 0.99798246
0.62076576 0.99796992
0.62473098 0.99796366
0.63184403 0.99794486
0.63782664 0.99792607
0.64306143 0.99790727
0.65095709 0.99786967
0.65441796 0.99785714
0.66413971 0.99781955
0.66593101 0.99781328
0.67733972 0.99778195
0.67758320 0.99778195
0.68940930 0.99776942
0.69059190 0.99776942
0.70137452 0.99776316
0.70386148 0.99776316
0.71353106 0.99775689
0.71718323 0.99775689
0.72584411 0.99774436
0.73053977 0.99773183
0.73836586 0.99771930
0.74393108 0.99769424
0.75107891 0.99766291
0.75737457 0.99762531
0.76398327 0.99758145
0.77085284 0.99751880
0.77709633 0.99746241
0.78438329 0.99738095
0.79043547 0.99731830
0.79796591 0.99726190
0.80398331 0.99721805
0.81160071 0.99722431
0.81775723 0.99722431
0.82528767 0.99732456
0.83175725 0.99739975
0.83902682 0.99756892
0.84600074 0.99771930
0.85280074 0.99789474
0.86045292 0.99808897
0.86664423 0.99820802
0.87513120 0.99838346
0.88050511 0.99842105
0.89003556 0.99851504
0.89440078 0.99850251
0.90513122 0.99848371
0.90833122 0.99845865
0.92040080 0.99834586
0.92226167 0.99832707
0.93586168 0.99819549
0.93617473 0.99818922
0.95005300 0.99812030
0.95147909 0.99811404
0.96386171 0.99811404
0.96727041 0.99809524
0.97753128 0.99810150
0.98321825 0.99816416
0.99092260 0.99831454
0.99930522 0.99849624
