# s/c    P_w
1.28119503 0.65490588
1.27992372 0.65235961
1.27865242 0.65000734
1.27738111 0.64783924
1.27610981 0.64584582
1.27483850 0.64401791
1.27356719 0.64234663
1.27229589 0.64082344
1.27102458 0.63944007
1.26975328 0.63818856
1.26848197 0.63706123
1.26721067 0.63605070
1.26593936 0.63514985
1.26466806 0.63435181
1.26339675 0.63365001
1.26212545 0.63303812
1.26085414 0.63251006
1.25958283 0.63205999
1.25831153 0.63168232
1.25704022 0.63137170
1.25576892 0.63112299
1.25449761 0.63093128
1.25322631 0.63079188
1.25195500 0.63070031
1.25068370 0.63065229
1.24941239 0.63064377
1.24814109 0.63067084
1.24686978 0.63072984
1.24559847 0.63081726
1.24432717 0.63092978
1.24305586 0.63106424
1.24178456 0.63121769
1.24051325 0.63138729
1.23924195 0.63157041
1.23797064 0.63176455
1.23669934 0.63196736
1.23542803 0.63217665
1.23415673 0.63239036
1.23288542 0.63260657
1.23161411 0.63282350
1.23034281 0.63303948
1.22907150 0.63325298
1.22780020 0.63346259
1.22652889 0.63366701
1.22525759 0.63386505
1.22398628 0.63405562
1.22271498 0.63423775
1.22144367 0.63441056
1.22017237 0.63457327
1.21890106 0.63472518
1.21762975 0.63486569
1.21635845 0.63499427
1.21508714 0.63511048
1.21381584 0.63521396
1.21254453 0.63530442
1.21127323 0.63538163
1.21000192 0.63544544
1.20873062 0.63549575
1.20744453 0.63553252
1.20617322 0.63555579
1.20490192 0.63556562
1.20363061 0.63556214
1.20235931 0.63554551
1.20108800 0.63551596
1.19981670 0.63547374
1.19854539 0.63541914
1.19727408 0.63535250
1.19600278 0.63527417
1.19473147 0.63518455
1.19346017 0.63508405
1.19218886 0.63497312
1.19091756 0.63485222
1.18964625 0.63472184
1.18837495 0.63458249
1.18710364 0.63443467
1.18583234 0.63427893
1.18456103 0.63411580
1.18328972 0.63394583
1.18201842 0.63376959
1.18074711 0.63358762
1.17946103 0.63340050
1.17818972 0.63320879
1.17691841 0.63301304
1.17564711 0.63281384
1.17437580 0.63261172
1.17310450 0.63240724
1.17183319 0.63220094
1.17056189 0.63199336
1.16929058 0.63178502
1.16801928 0.63157642
1.16674797 0.63136807
1.16547667 0.63116045
1.16420536 0.63095403
1.16293405 0.63074925
1.16166275 0.63054655
1.16039144 0.63034634
1.15912014 0.63014901
1.15783405 0.62995495
1.15656274 0.62976450
1.15529144 0.62957798
1.15402013 0.62928662
1.15274883 0.62909560
1.15147752 0.62893717
1.15020622 0.62880293
1.14893491 0.62868880
1.14766361 0.62859153
1.14639230 0.62851739
1.14512100 0.62847992
1.14384969 0.62848326
1.14257838 0.62852435
1.14130708 0.62859356
1.14002099 0.62867136
1.13874969 0.62872555
1.13747838 0.62873300
1.13620707 0.62869121
1.13493577 0.62860672
1.13366446 0.62848593
1.13239316 0.62833482
1.13112185 0.62816366
1.12985055 0.62798068
1.12857924 0.62779348
1.12730794 0.62761009
1.12603663 0.62743758
1.12475054 0.62728263
1.12347924 0.62714873
1.12220793 0.62703408
1.12093663 0.62693228
1.11966532 0.62683573
1.11839402 0.62673903
1.11712271 0.62663979
1.11585141 0.62653721
1.11458010 0.62643190
1.11330879 0.62632468
1.11203749 0.62621632
1.11075140 0.62610768
1.10948010 0.62599942
1.10820879 0.62589216
1.10693748 0.62578627
1.10566618 0.62568194
