# s/c    P_stat
1.28119503 0.58964316
1.27992372 0.58786084
1.27865242 0.58616513
1.27738111 0.58455305
1.27610981 0.58302171
1.27483850 0.58156822
1.27356719 0.58018980
1.27229589 0.57888368
1.27102458 0.57764714
1.26975328 0.57647753
1.26848197 0.57537224
1.26721067 0.57432870
1.26593936 0.57334440
1.26466806 0.57241687
1.26339675 0.57154370
1.26212545 0.57072250
1.26085414 0.56995096
1.25958283 0.56922680
1.25831153 0.56854777
1.25704022 0.56791170
1.25576892 0.56731643
1.25449761 0.56675987
1.25322631 0.56623997
1.25195500 0.56575471
1.25068370 0.56530212
1.24941239 0.56488029
1.24814109 0.56448732
1.24686978 0.56412138
1.24559847 0.56378067
1.24432717 0.56346344
1.24305586 0.56316796
1.24178456 0.56289257
1.24051325 0.56263563
1.23924195 0.56239555
1.23797064 0.56217076
1.23669934 0.56195976
1.23542803 0.56176108
1.23415673 0.56157326
1.23288542 0.56139491
1.23161411 0.56122468
1.23034281 0.56106122
1.22907150 0.56090326
1.22780020 0.56074955
1.22652889 0.56059887
1.22525759 0.56045003
1.22398628 0.56030190
1.22271498 0.56015337
1.22144367 0.56000337
1.22017237 0.55985084
1.21890106 0.55969480
1.21762975 0.55953426
1.21635845 0.55936830
1.21508714 0.55919600
1.21381584 0.55901648
1.21254453 0.55882892
1.21127323 0.55863250
1.21000192 0.55842645
1.20873062 0.55821002
1.20744453 0.55798249
1.20617322 0.55774319
1.20490192 0.55749145
1.20363061 0.55722665
1.20235931 0.55694820
1.20108800 0.55665553
1.19981670 0.55634811
1.19854539 0.55602543
1.19727408 0.55568700
1.19600278 0.55533238
1.19473147 0.55496114
1.19346017 0.55457288
1.19218886 0.55416723
1.19091756 0.55374384
1.18964625 0.55330241
1.18837495 0.55284262
1.18710364 0.55236423
1.18583234 0.55186698
1.18456103 0.55135065
1.18328972 0.55081506
1.18201842 0.55026004
1.18074711 0.54968544
1.17946103 0.54909113
1.17818972 0.54847702
1.17691841 0.54784304
1.17564711 0.54718913
1.17437580 0.54651526
1.17310450 0.54582142
1.17183319 0.54510762
1.17056189 0.54437390
1.16929058 0.54362031
1.16801928 0.54284693
1.16674797 0.54205384
1.16547667 0.54124118
1.16420536 0.54040907
1.16293405 0.53955766
1.16166275 0.53868713
1.16039144 0.53779768
1.15912014 0.53688951
1.15783405 0.53596285
1.15656274 0.53501795
1.15529144 0.53405507
1.15402013 0.53259382
1.15274883 0.53160855
1.15147752 0.53062778
1.15020622 0.52964243
1.14893491 0.52864879
1.14766361 0.52764444
1.14639230 0.52663602
1.14512100 0.52563926
1.14384969 0.52465711
1.14257838 0.52368252
1.14130708 0.52270358
1.14002099 0.52169810
1.13874969 0.52063904
1.13747838 0.51951383
1.13620707 0.51832633
1.13493577 0.51708786
1.13366446 0.51580616
1.13239316 0.51448946
1.13112185 0.51314643
1.12985055 0.51178558
1.12857924 0.51041499
1.12730794 0.50904207
1.12603663 0.50767419
1.12475054 0.50631876
1.12347924 0.50498012
1.12220793 0.50365616
1.12093663 0.50233748
1.11966532 0.50101264
1.11839402 0.49967295
1.11712271 0.49831478
1.11585141 0.49693928
1.11458010 0.49554944
1.11330879 0.49414904
1.11203749 0.49274227
1.11075140 0.49133329
1.10948010 0.48992618
1.10820879 0.48852477
1.10693748 0.48713246
1.10566618 0.48575211
1.10439487 0.48438613
1.10312357 0.48303667
1.10185226 0.48170566
1.10058096 0.48039507
1.09930965 0.47910648
1.09802356 0.47784111
1.09675226 0.47660008
1.09548095 0.47538335
1.09420965 0.47419064
1.09293834 0.47302150
1.09166704 0.47187505
1.09039573 0.47075040
1.08912443 0.46964626
1.08783834 0.46856088
1.08656703 0.46749232
1.08529573 0.46643880
1.08402442 0.46539830
1.08275312 0.46436835
1.08148181 0.46334521
1.08021050 0.46232468
1.07893920 0.46130756
1.07766789 0.46030392
1.07638181 0.45932615
1.07511050 0.45838288
1.07383919 0.45747872
1.07256789 0.45661282
1.07129658 0.45578292
1.07002528 0.45498637
1.06875397 0.45421923
1.06746788 0.45347760
1.06619658 0.45275761
1.06492527 0.45205666
1.06365397 0.45137241
1.06238266 0.45070334
1.06111136 0.45004620
1.05984005 0.44939512
1.05856875 0.44874779
1.05728266 0.44810521
1.05601135 0.44747090
1.05474005 0.44684979
1.05346874 0.44624583
1.05219744 0.44566194
1.05092613 0.44510047
1.04965483 0.44456334
1.04836874 0.44405168
1.04709743 0.44356564
1.04582613 0.44310381
1.04455482 0.44266436
1.04328352 0.44224557
1.04201221 0.44184584
1.04072612 0.44146323
1.03945482 0.44109595
1.03818351 0.44074209
1.03691221 0.44039916
1.03564090 0.44006564
1.03436960 0.43974063
1.03309829 0.43942497
1.03181220 0.43912114
1.03054090 0.43883158
1.02926959 0.43855852
1.02799829 0.43830367
1.02672698 0.43806888
1.02545567 0.43785630
1.02416959 0.43766649
1.02289828 0.43749718
1.02162698 0.43734384
1.02035567 0.43720149
1.01908436 0.43706701
1.01779828 0.43693970
1.01652697 0.43681991
1.01525567 0.43670828
1.01398436 0.43660553
1.01271305 0.43651223
1.01144175 0.43642876
1.01015566 0.43635528
1.00888436 0.43629185
1.00761305 0.43623836
1.00634174 0.43619456
