# s/c    P_stat
1.28119503 0.64419426
1.27992372 0.64339877
1.27865242 0.64264807
1.27738111 0.64193990
1.27610981 0.64127212
1.27483850 0.64064265
1.27356719 0.64004948
1.27229589 0.63949067
1.27102458 0.63896436
1.26975328 0.63846876
1.26848197 0.63800213
1.26721067 0.63756282
1.26593936 0.63714923
1.26466806 0.63675982
1.26339675 0.63639313
1.26212545 0.63604774
1.26085414 0.63572229
1.25958283 0.63541550
1.25831153 0.63512612
1.25704022 0.63485296
1.25576892 0.63459489
1.25449761 0.63435082
1.25322631 0.63411974
1.25195500 0.63390064
1.25068370 0.63369260
1.24941239 0.63349473
1.24814109 0.63330617
1.24686978 0.63312614
1.24559847 0.63295387
1.24432717 0.63278864
1.24305586 0.63262977
1.24178456 0.63247663
1.24051325 0.63232861
1.23924195 0.63218515
1.23797064 0.63204571
1.23669934 0.63190980
1.23542803 0.63177695
1.23415673 0.63164673
1.23288542 0.63151874
1.23161411 0.63139261
1.23034281 0.63126798
1.22907150 0.63114454
1.22780020 0.63102200
1.22652889 0.63090010
1.22525759 0.63077859
1.22398628 0.63065725
1.22271498 0.63053589
1.22144367 0.63041434
1.22017237 0.63029242
1.21890106 0.63017002
1.21762975 0.63004702
1.21635845 0.62992330
1.21508714 0.62979880
1.21381584 0.62967345
1.21254453 0.62954719
1.21127323 0.62941998
1.21000192 0.62929181
1.20873062 0.62916265
1.20744453 0.62903252
1.20617322 0.62890141
1.20490192 0.62876936
1.20363061 0.62863639
1.20235931 0.62850254
1.20108800 0.62836787
1.19981670 0.62823242
1.19854539 0.62809626
1.19727408 0.62795946
1.19600278 0.62782208
1.19473147 0.62768422
1.19346017 0.62754595
1.19218886 0.62740736
1.19091756 0.62726854
1.18964625 0.62712958
1.18837495 0.62699057
1.18710364 0.62685162
1.18583234 0.62671282
1.18456103 0.62657426
1.18328972 0.62643605
1.18201842 0.62629828
1.18074711 0.62616105
1.17946103 0.62602445
1.17818972 0.62588858
1.17691841 0.62575353
1.17564711 0.62561939
1.17437580 0.62548624
1.17310450 0.62535417
1.17183319 0.62522326
1.17056189 0.62509358
1.16929058 0.62496520
1.16801928 0.62483820
1.16674797 0.62471264
1.16547667 0.62458857
1.16420536 0.62446605
1.16293405 0.62434513
1.16166275 0.62422585
1.16039144 0.62410824
1.15912014 0.62399235
1.15783405 0.62387818
1.15656274 0.62376577
1.15529144 0.62365512
1.15402013 0.62350216
