# s/c    P_w
1.28119503 0.58394836
1.27992372 0.58512576
1.27865242 0.58602239
1.27738111 0.58665370
1.27610981 0.58703466
1.27483850 0.58717974
1.27356719 0.58710293
1.27229589 0.58681776
1.27102458 0.58633731
1.26975328 0.58567418
1.26848197 0.58484056
1.26721067 0.58384820
1.26593936 0.58270841
1.26466806 0.58143212
1.26339675 0.58002981
1.26212545 0.57851160
1.26085414 0.57688721
1.25958283 0.57516596
1.25831153 0.57335683
1.25704022 0.57146842
1.25576892 0.56950896
1.25449761 0.56748636
1.25322631 0.56540818
1.25195500 0.56328162
1.25068370 0.56111361
1.24941239 0.55891071
1.24814109 0.55667921
1.24686978 0.55442508
1.24559847 0.55215399
1.24432717 0.54987135
1.24305586 0.54758225
1.24178456 0.54529155
1.24051325 0.54300383
1.23924195 0.54072339
1.23797064 0.53845431
1.23669934 0.53620041
1.23542803 0.53396529
1.23415673 0.53175228
1.23288542 0.52956454
1.23161411 0.52740497
1.23034281 0.52527629
1.22907150 0.52318098
1.22780020 0.52112135
1.22652889 0.51909952
1.22525759 0.51711742
1.22398628 0.51517678
1.22271498 0.51327917
1.22144367 0.51142602
1.22017237 0.50961855
1.21890106 0.50785786
1.21762975 0.50614489
1.21635845 0.50448042
1.21508714 0.50286512
1.21381584 0.50129950
1.21254453 0.49978395
1.21127323 0.49831874
1.21000192 0.49690403
1.20873062 0.49553986
1.20744453 0.49422614
1.20617322 0.49296272
1.20490192 0.49174931
1.20363061 0.49058557
1.20235931 0.48947103
1.20108800 0.48840516
1.19981670 0.48738734
1.19854539 0.48641690
1.19727408 0.48549305
1.19600278 0.48461499
1.19473147 0.48378182
1.19346017 0.48299259
1.19218886 0.48224631
1.19091756 0.48154193
1.18964625 0.48087834
1.18837495 0.48025442
1.18710364 0.47966899
1.18583234 0.47912083
1.18456103 0.47860871
1.18328972 0.47813136
1.18201842 0.47768747
1.18074711 0.47727574
1.17946103 0.47689484
1.17818972 0.47654342
1.17691841 0.47622011
1.17564711 0.47592356
1.17437580 0.47565239
1.17310450 0.47540522
1.17183319 0.47518068
1.17056189 0.47497739
1.16929058 0.47479399
1.16801928 0.47462913
1.16674797 0.47448144
1.16547667 0.47434959
1.16420536 0.47423226
1.16293405 0.47412815
1.16166275 0.47403596
1.16039144 0.47395444
1.15912014 0.47388233
1.15783405 0.47381843
1.15656274 0.47376154
1.15529144 0.47371050
1.15402013 0.47369266
1.15274883 0.47370814
1.15147752 0.47374052
1.15020622 0.47378408
1.14893491 0.47382167
1.14766361 0.47384294
1.14639230 0.47384945
1.14512100 0.47384851
1.14384969 0.47384899
1.14257838 0.47384990
1.14130708 0.47384740
1.14002099 0.47383810
1.13874969 0.47381532
1.13747838 0.47376994
1.13620707 0.47369783
1.13493577 0.47359919
1.13366446 0.47347615
1.13239316 0.47333145
1.13112185 0.47316813
1.12985055 0.47298890
1.12857924 0.47279629
1.12730794 0.47259213
1.12603663 0.47237786
1.12475054 0.47215415
1.12347924 0.47192088
1.12220793 0.47167656
1.12093663 0.47141886
1.11966532 0.47114481
1.11839402 0.47085142
1.11712271 0.47053814
1.11585141 0.47020597
1.11458010 0.46985666
1.11330879 0.46949292
1.11203749 0.46911768
1.11075140 0.46873408
1.10948010 0.46834522
1.10820879 0.46795411
1.10693748 0.46756357
1.10566618 0.46717615
1.10439487 0.46679417
1.10312357 0.46641962
1.10185226 0.46605429
1.10058096 0.46569957
1.09930965 0.46535645
1.09802356 0.46502569
1.09675226 0.46470741
1.09548095 0.46440138
1.09420965 0.46410703
1.09293834 0.46382344
1.09166704 0.46354947
1.09039573 0.46328376
1.08912443 0.46302460
1.08783834 0.46277004
1.08656703 0.46251768
1.08529573 0.46226479
1.08402442 0.46200858
1.08275312 0.46174608
1.08148181 0.46147425
1.08021050 0.46119085
1.07893920 0.46089603
1.07766789 0.46059206
1.07638181 0.46028151
1.07511050 0.45996634
1.07383919 0.45964737
1.07256789 0.45932509
1.07129658 0.45900038
1.07002528 0.45867404
1.06875397 0.45834635
1.06746788 0.45801673
1.06619658 0.45768433
1.06492527 0.45734822
1.06365397 0.45700767
1.06238266 0.45666167
1.06111136 0.45630832
1.05984005 0.45594663
1.05856875 0.45557643
1.05728266 0.45519875
1.05601135 0.45481597
1.05474005 0.45443067
1.05346874 0.45404528
1.05219744 0.45366193
1.05092613 0.45328250
1.04965483 0.45290852
1.04836874 0.45254115
1.04709743 0.45218093
1.04582613 0.45182788
1.04455482 0.45148181
1.04328352 0.45114223
1.04201221 0.45080862
1.04072612 0.45048038
1.03945482 0.45015676
1.03818351 0.44983728
1.03691221 0.44952160
1.03564090 0.44920954
1.03436960 0.44890152
1.03309829 0.44859859
1.03181220 0.44830226
1.03054090 0.44801401
1.02926959 0.44773515
1.02799829 0.44746675
1.02672698 0.44720972
1.02545567 0.44696475
1.02416959 0.44673191
1.02289828 0.44651046
1.02162698 0.44629918
1.02035567 0.44609680
1.01908436 0.44590269
1.01779828 0.44571671
1.01652697 0.44553907
1.01525567 0.44537017
1.01398436 0.44521046
1.01271305 0.44506038
1.01144175 0.44492027
1.01015566 0.44479040
1.00888436 0.44467102
1.00761305 0.44456233
1.00634174 0.44446461
1.00507044 0.44437816
1.00378435 0.44430352
1.00251305 0.44424157
1.00124174 0.44419354
0.99997043 0.44416082
0.99869913 0.44414444
0.99742782 0.44414479
0.99614174 0.44416172
0.99487043 0.44419423
0.99359912 0.44424101
0.99232782 0.44430053
0.99105651 0.44437115
0.98977043 0.44445105
0.98849912 0.44453838
0.98722781 0.44463113
0.98595651 0.44472679
0.98468520 0.44482358
0.98339912 0.44491997
0.98212781 0.44501473
0.98085651 0.44510755
0.97958520 0.44519908
0.97829911 0.44529119
0.97702781 0.44538667
0.97575650 0.44548839
0.97448520 0.44559873
