# s/c    P_w
1.28119503 0.62699993
1.27992372 0.62505518
1.27865242 0.62327487
1.27738111 0.62165022
1.27610981 0.62017274
1.27483850 0.61883422
1.27356719 0.61762677
1.27229589 0.61654274
1.27102458 0.61557480
1.26975328 0.61471587
1.26848197 0.61395913
1.26721067 0.61329803
1.26593936 0.61272626
1.26466806 0.61223777
1.26339675 0.61182674
1.26212545 0.61148761
1.26085414 0.61121501
1.25958283 0.61100383
1.25831153 0.61084916
1.25704022 0.61074632
1.25576892 0.61069082
1.25449761 0.61067839
1.25322631 0.61070496
1.25195500 0.61076663
1.25068370 0.61085971
1.24941239 0.61098069
1.24814109 0.61112623
1.24686978 0.61129317
1.24559847 0.61147852
1.24432717 0.61167945
1.24305586 0.61189329
1.24178456 0.61211753
1.24051325 0.61234979
1.23924195 0.61258786
1.23797064 0.61282966
1.23669934 0.61307324
1.23542803 0.61331680
1.23415673 0.61355865
1.23288542 0.61379723
1.23161411 0.61403110
1.23034281 0.61425894
1.22907150 0.61447953
1.22780020 0.61469176
1.22652889 0.61489464
1.22525759 0.61508726
1.22398628 0.61526881
1.22271498 0.61543857
1.22144367 0.61559591
1.22017237 0.61574029
1.21890106 0.61587125
1.21762975 0.61598840
1.21635845 0.61609142
1.21508714 0.61618009
1.21381584 0.61625421
1.21254453 0.61631368
1.21127323 0.61635845
1.21000192 0.61638852
1.20873062 0.61640396
1.20744453 0.61640488
1.20617322 0.61639144
1.20490192 0.61636385
1.20363061 0.61632234
1.20235931 0.61626722
1.20108800 0.61619880
1.19981670 0.61611744
1.19854539 0.61602353
1.19727408 0.61591750
1.19600278 0.61579978
1.19473147 0.61567085
1.19346017 0.61553120
1.19218886 0.61538133
1.19091756 0.61522177
1.18964625 0.61505306
1.18837495 0.61487577
1.18710364 0.61469044
1.18583234 0.61449765
1.18456103 0.61429798
1.18328972 0.61409202
1.18201842 0.61388035
1.18074711 0.61366355
1.17946103 0.61344221
1.17818972 0.61321691
1.17691841 0.61298823
1.17564711 0.61275674
1.17437580 0.61252300
1.17310450 0.61228757
1.17183319 0.61205100
1.17056189 0.61181381
1.16929058 0.61157653
1.16801928 0.61133966
1.16674797 0.61110370
1.16547667 0.61086911
1.16420536 0.61063635
1.16293405 0.61040586
1.16166275 0.61017807
1.16039144 0.60995335
1.15912014 0.60973210
1.15783405 0.60951467
1.15656274 0.60930138
1.15529144 0.60909256
1.15402013 0.60878450
1.15274883 0.60860064
1.15147752 0.60845238
1.15020622 0.60833274
1.14893491 0.60822530
1.14766361 0.60811955
1.14639230 0.60802219
1.14512100 0.60794719
1.14384969 0.60790183
1.14257838 0.60788293
1.14130708 0.60788231
1.14002099 0.60789606
1.13874969 0.60791253
1.13747838 0.60791341
1.13620707 0.60788118
1.13493577 0.60780026
1.13366446 0.60767147
1.13239316 0.60749983
1.13112185 0.60729541
1.12985055 0.60707267
1.12857924 0.60684299
1.12730794 0.60661728
1.12603663 0.60640683
1.12475054 0.60622013
1.12347924 0.60606133
1.12220793 0.60592733
1.12093663 0.60581021
1.11966532 0.60570026
1.11839402 0.60559042
1.11712271 0.60547712
1.11585141 0.60535897
1.11458010 0.60523679
1.11330879 0.60511166
1.11203749 0.60498468
1.11075140 0.60485721
1.10948010 0.60473029
1.10820879 0.60460494
1.10693748 0.60448183
1.10566618 0.60436138
1.10439487 0.60424369
1.10312357 0.60412891
1.10185226 0.60401697
1.10058096 0.60390785
1.09930965 0.60380201
1.09802356 0.60369920
1.09675226 0.60359917
1.09548095 0.60350165
1.09420965 0.60340620
1.09293834 0.60331259
1.09166704 0.60322024
1.09039573 0.60312853
1.08912443 0.60303666
1.08783834 0.60294341
1.08656703 0.60284750
1.08529573 0.60274753
1.08402442 0.60264211
1.08275312 0.60252905
1.08148181 0.60240452
1.08021050 0.60226525
1.07893920 0.60211230
1.07766789 0.60195293
1.07638181 0.60179648
1.07511050 0.60164966
1.07383919 0.60151468
1.07256789 0.60139043
1.07129658 0.60127445
1.07002528 0.60116329
1.06875397 0.60105273
1.06746788 0.60093839
1.06619658 0.60081654
1.06492527 0.60068475
1.06365397 0.60054193
1.06238266 0.60038684
1.06111136 0.60021822
1.05984005 0.60003395
1.05856875 0.59983168
1.05728266 0.59961328
1.05601135 0.59938283
1.05474005 0.59914427
1.05346874 0.59890173
1.05219744 0.59865748
1.05092613 0.59841235
1.04965483 0.59816749
1.04836874 0.59792255
1.04709743 0.59767634
1.04582613 0.59742731
1.04455482 0.59717363
1.04328352 0.59691430
1.04201221 0.59664875
1.04072612 0.59637663
1.03945482 0.59609748
1.03818351 0.59581067
1.03691221 0.59551575
1.03564090 0.59521234
1.03436960 0.59490054
1.03309829 0.59458217
1.03181220 0.59426006
1.03054090 0.59393705
1.02926959 0.59361561
1.02799829 0.59329793
1.02672698 0.59298604
1.02545567 0.59268174
1.02416959 0.59238548
1.02289828 0.59209493
1.02162698 0.59180558
1.02035567 0.59151253
1.01908436 0.59121286
1.01779828 0.59090593
1.01652697 0.59059256
1.01525567 0.59027402
1.01398436 0.58995153
1.01271305 0.58962623
1.01144175 0.58929900
1.01015566 0.58897071
1.00888436 0.58864205
1.00761305 0.58831328
1.00634174 0.58798480
1.00507044 0.58765680
1.00378435 0.58732958
1.00251305 0.58700389
1.00124174 0.58668182
0.99997043 0.58636608
0.99869913 0.58605919
0.99742782 0.58576308
