# s/c    P_stat_mean   P_stat_std
0.00000000 0.99992642 0.00002495
0.00130087 0.99954428 0.00002006
0.00260174 0.99915192 0.00001597
0.00390261 0.99875028 0.00001268
0.00520348 0.99834024 0.00001026
0.00650435 0.99792262 0.00000878
0.00780522 0.99749817 0.00000826
0.00910609 0.99706761 0.00000854
0.01040697 0.99663156 0.00000936
0.01170784 0.99619060 0.00001046
0.01300871 0.99574528 0.00001172
0.01430958 0.99529605 0.00001307
0.01561045 0.99484336 0.00001449
0.01691132 0.99438757 0.00001596
0.01821219 0.99392902 0.00001748
0.01951306 0.99346799 0.00001906
0.02081393 0.99300473 0.00002069
0.02211480 0.99253942 0.00002237
0.02341567 0.99207224 0.00002409
0.02470176 0.99160329 0.00002585
0.02600263 0.99113267 0.00002763
0.02730350 0.99066042 0.00002943
0.02860437 0.99018655 0.00003123
0.02990524 0.98971105 0.00003303
0.03120611 0.98923385 0.00003481
0.03250698 0.98875489 0.00003655
0.03380786 0.98827406 0.00003826
0.03510873 0.98779121 0.00003993
0.03640960 0.98730619 0.00004154
0.03771047 0.98681882 0.00004309
0.03901134 0.98632889 0.00004458
0.04029743 0.98583616 0.00004599
0.04159830 0.98534040 0.00004734
0.04289917 0.98484133 0.00004860
0.04420004 0.98433868 0.00004979
0.04550091 0.98383213 0.00005090
0.04680178 0.98332139 0.00005193
0.04810265 0.98280610 0.00005288
0.04940352 0.98228595 0.00005375
0.05068961 0.98176057 0.00005455
0.05199048 0.98122959 0.00005528
0.05329135 0.98069266 0.00005595
0.05459222 0.98014937 0.00005655
0.05589309 0.97959936 0.00005710
0.05719396 0.97904222 0.00005759
0.05849483 0.97847756 0.00005804
0.05978092 0.97790496 0.00005846
0.06108179 0.97732404 0.00005884
0.06238266 0.97673436 0.00005920
0.06368353 0.97613553 0.00005954
0.06498440 0.97552714 0.00005988
0.06628528 0.97490877 0.00006021
0.06757136 0.97428001 0.00006056
0.06887223 0.97364047 0.00006092
0.07017310 0.97298972 0.00006130
0.07147398 0.97232737 0.00006172
0.07277485 0.97165303 0.00006218
0.07407572 0.97096630 0.00006268
0.07536180 0.97026679 0.00006324
0.07666268 0.96955413 0.00006386
0.07796355 0.96882794 0.00006455
0.07926442 0.96808786 0.00006531
0.08056529 0.96733352 0.00006614
0.08185138 0.96656458 0.00006706
0.08315225 0.96578070 0.00006806
0.08445312 0.96498155 0.00006916
0.08575399 0.96416680 0.00007034
0.08704008 0.96333616 0.00007162
0.08834095 0.96248931 0.00007300
0.08964182 0.96162598 0.00007448
0.09094269 0.96074588 0.00007606
0.09224356 0.95984877 0.00007775
0.09352965 0.95893437 0.00007953
0.09483052 0.95800247 0.00008143
0.09613139 0.95705284 0.00008343
0.09743226 0.95608525 0.00008554
0.09871835 0.95509953 0.00008775
0.10001922 0.95409549 0.00009008
0.10132009 0.95307295 0.00009252
0.10260618 0.95203177 0.00009506
0.10390705 0.95097181 0.00009772
0.10520792 0.94989293 0.00010050
0.10650879 0.94879504 0.00010338
0.10779488 0.94767804 0.00010638
0.10909575 0.94654184 0.00010949
0.11039662 0.94538639 0.00011272
0.11169749 0.94421163 0.00011606
0.11298358 0.94301753 0.00011951
0.11428445 0.94180407 0.00012308
0.11558532 0.94057124 0.00012676
0.11687141 0.93931905 0.00013056
0.11817228 0.93804753 0.00013446
0.11947315 0.93675672 0.00013848
0.12075924 0.93544668 0.00014260
0.12206011 0.93411745 0.00014683
0.12336098 0.93276914 0.00015117
0.12466185 0.93140184 0.00015560
0.12594794 0.93001565 0.00016013
0.12724881 0.92861070 0.00016475
0.12854968 0.92718712 0.00016947
0.12983577 0.92571392 0.00017426
0.13113664 0.92417895 0.00018258
0.13243751 0.92263471 0.00018964
0.13372359 0.92107992 0.00019568
0.13502447 0.91951097 0.00020102
0.13632534 0.91792973 0.00020592
0.13761142 0.91633804 0.00021033
0.13891229 0.91473421 0.00021447
0.14019838 0.91310545 0.00021916
0.14149925 0.91143207 0.00022561
0.14280012 0.90970427 0.00023329
0.14408621 0.90794109 0.00024259
0.14538708 0.90618265 0.00025424
0.14668795 0.90445354 0.00026449
0.14797404 0.90275609 0.00027100
0.14927491 0.90108013 0.00027480
0.15056100 0.89940412 0.00027697
0.15186187 0.89771380 0.00027854
0.15316274 0.89601692 0.00028038
0.15444883 0.89432877 0.00028257
0.15574970 0.89264764 0.00028396
0.15703579 0.89095757 0.00028441
0.15833666 0.88926232 0.00028416
0.15963753 0.88757748 0.00028305
0.16092362 0.88590820 0.00028114
0.16222449 0.88421711 0.00027851
0.16351058 0.88244683 0.00027806
0.16481145 0.88060166 0.00028202
0.16611232 0.87872054 0.00029216
0.16739841 0.87683628 0.00030738
0.16869928 0.87496904 0.00032083
0.16998537 0.87312131 0.00033053
0.17128624 0.87129121 0.00033745
0.17257232 0.86947584 0.00034167
0.17387319 0.86767136 0.00034405
0.17517407 0.86587372 0.00034493
0.17646015 0.86407848 0.00034464
0.17776102 0.86228150 0.00034338
0.17904711 0.86048000 0.00034127
0.18034798 0.85867087 0.00033852
0.18163407 0.85685105 0.00033535
0.18293494 0.85501383 0.00033245
0.18422103 0.85314663 0.00033122
0.18552190 0.85124207 0.00033168
0.18680799 0.84930640 0.00033347
0.18810886 0.84736513 0.00033569
0.18939495 0.84544332 0.00033450
0.19069582 0.84354082 0.00032886
0.19199669 0.84161687 0.00032202
0.19328278 0.83961049 0.00031832
0.19458365 0.83752174 0.00031986
0.19586974 0.83538663 0.00032806
0.19717061 0.83322564 0.00034100
0.19845669 0.83104914 0.00035312
0.19975757 0.82884907 0.00036346
0.20104365 0.82662502 0.00037240
0.20234452 0.82439619 0.00037756
0.20363061 0.82217846 0.00037668
0.20493148 0.81998234 0.00036981
0.20621757 0.81777719 0.00036133
0.20750366 0.81549979 0.00035638
0.20880453 0.81313563 0.00035702
0.21009062 0.81070897 0.00036369
0.21139149 0.80825074 0.00037510
0.21267758 0.80578079 0.00038619
0.21397845 0.80329197 0.00039489
0.21526454 0.80076916 0.00040270
0.21656541 0.79820360 0.00041108
0.21785149 0.79559201 0.00042121
0.21915236 0.79293805 0.00043324
0.22043845 0.79024978 0.00044661
0.22173932 0.78753723 0.00045990
0.22302541 0.78480820 0.00047222
0.22432628 0.78206558 0.00048350
0.22561237 0.77930049 0.00049479
0.22689846 0.77649518 0.00050806
0.22819933 0.77364486 0.00052428
0.22948542 0.77075839 0.00054404
0.23078629 0.76784970 0.00056657
0.23207238 0.76493067 0.00058975
0.23337325 0.76200875 0.00061178
0.23465933 0.75909126 0.00063088
0.23594542 0.75618710 0.00064690
0.23724629 0.75330454 0.00066053
0.23853238 0.75044456 0.00067235
0.23983325 0.74760007 0.00068294
0.24111934 0.74475954 0.00069290
0.24240543 0.74191323 0.00070326
0.24370630 0.73905967 0.00071456
0.24499239 0.73620715 0.00072689
0.24629326 0.73336720 0.00074025
0.24757935 0.73054971 0.00075382
0.24886543 0.72776244 0.00076589
0.25016630 0.72500651 0.00077593
0.25145239 0.72227872 0.00078416
0.25275326 0.71957598 0.00079146
0.25403935 0.71689641 0.00079939
0.25532544 0.71424110 0.00080850
0.25662631 0.71161217 0.00081852
0.25791240 0.70901414 0.00082877
0.25919849 0.70645583 0.00083848
0.26049936 0.70394497 0.00084609
0.26178545 0.70148447 0.00085034
0.26307153 0.69906955 0.00085166
0.26437240 0.69669380 0.00085189
0.26565849 0.69434507 0.00085283
0.26695936 0.69200145 0.00085622
0.26824545 0.68965474 0.00086177
0.26953154 0.68731118 0.00086953
0.27083241 0.68499272 0.00087948
0.27211850 0.68273764 0.00088705
0.27340459 0.68056437 0.00089045
0.27470546 0.67846604 0.00089082
0.27599154 0.67641675 0.00088947
0.27727763 0.67438815 0.00089013
0.27857850 0.67237825 0.00089329
0.27986459 0.67039662 0.00089757
0.28115068 0.66845535 0.00090283
0.28243677 0.66656399 0.00090477
0.28373764 0.66472974 0.00090157
0.28502373 0.66296844 0.00089967
0.28630981 0.66127461 0.00090210
0.28761068 0.65962971 0.00090458
0.28889677 0.65800905 0.00090554
0.29018286 0.65641564 0.00090632
0.29148373 0.65489402 0.00090511
0.29276982 0.65346750 0.00090060
0.29405591 0.65213472 0.00089233
0.29534200 0.65087710 0.00088076
0.29664287 0.64966725 0.00086839
0.29792895 0.64848985 0.00085698
0.29921504 0.64735018 0.00084748
0.30051591 0.64626733 0.00083943
0.30180200 0.64526449 0.00083016
0.30308809 0.64435208 0.00081834
0.30437418 0.64352312 0.00080456
0.30567505 0.64275773 0.00078958
0.30696114 0.64202767 0.00077523
0.30824722 0.64131374 0.00076330
0.30953331 0.64061228 0.00075458
0.31083418 0.63993503 0.00074840
0.31212027 0.63930560 0.00074337
0.31340636 0.63874366 0.00073716
0.31469245 0.63825265 0.00072569
0.31599332 0.63782494 0.00070660
0.31727941 0.63745776 0.00068079
0.31856549 0.63715440 0.00065000
0.31985158 0.63690547 0.00061675
0.32115245 0.63668996 0.00058360
0.32243854 0.63648386 0.00055399
0.32372463 0.63626266 0.00053265
0.32501072 0.63601645 0.00052152
0.32629681 0.63574943 0.00051954
0.32759768 0.63547149 0.00052475
0.32888376 0.63519712 0.00053284
0.33016985 0.63494080 0.00053755
0.33145594 0.63470900 0.00053674
0.33275681 0.63450186 0.00053129
0.33404290 0.63431246 0.00052392
0.33532899 0.63412969 0.00051930
0.33661508 0.63394936 0.00051991
0.33790116 0.63377535 0.00052457
0.33918725 0.63361250 0.00052970
0.34048812 0.63345830 0.00053319
0.34177421 0.63330479 0.00053454
0.34306030 0.63314125 0.00053492
0.34434639 0.63295593 0.00053646
0.34563247 0.63274044 0.00054178
0.34693335 0.63249147 0.00055457
0.34821943 0.63221828 0.00057475
0.34950552 0.63194072 0.00059922
0.35079161 0.63167481 0.00062458
0.35207770 0.63143114 0.00064609
0.35336379 0.63121438 0.00066060
0.35466466 0.63101791 0.00066918
0.35595074 0.63082322 0.00067591
0.35723683 0.63060828 0.00068525
0.35852292 0.63036013 0.00069987
0.35980901 0.63008220 0.00071984
0.36109510 0.62978584 0.00074301
0.36238118 0.62947472 0.00076846
0.36368206 0.62915146 0.00079523
0.36496814 0.62882675 0.00082009
0.36625423 0.62851440 0.00084056
0.36754032 0.62822332 0.00085637
0.36882641 0.62794959 0.00087001
0.37011250 0.62767522 0.00088640
0.37139858 0.62737922 0.00091053
0.37269945 0.62705909 0.00094244
0.37398554 0.62673022 0.00097764
0.37527163 0.62640486 0.00101297
0.37655772 0.62608795 0.00104581
0.37784381 0.62577937 0.00107336
0.37912989 0.62546761 0.00109528
0.38041598 0.62513893 0.00111283
0.38170207 0.62479354 0.00112679
0.38298816 0.62444631 0.00113794
0.38428903 0.62411171 0.00114808
0.38557512 0.62378963 0.00116044
0.38686121 0.62347295 0.00117737
0.38814729 0.62315557 0.00119913
0.38943338 0.62283019 0.00122501
0.39071947 0.62248945 0.00125455
0.39200556 0.62213047 0.00128653
0.39329165 0.62175569 0.00131939
0.39457773 0.62136757 0.00135220
0.39586382 0.62096344 0.00138499
0.39714991 0.62053871 0.00141758
0.39843600 0.62009162 0.00145022
0.39973687 0.61963560 0.00148168
0.40102296 0.61920122 0.00150867
0.40230905 0.61882026 0.00152818
0.40359513 0.61849631 0.00154217
0.40488122 0.61819758 0.00155972
0.40616731 0.61789406 0.00158515
