# s/c    cf
1.28119503 -0.01300100
1.27992372 -0.00502332
1.27865242 0.00247262
1.27738111 0.00950759
1.27610981 0.01610178
1.27483850 0.02227475
1.27356719 0.02804548
1.27229589 0.03343234
1.27102458 0.03845315
1.26975328 0.04312516
1.26848197 0.04746506
1.26721067 0.05148902
1.26593936 0.05521266
1.26466806 0.05865110
1.26339675 0.06181893
1.26212545 0.06473025
1.26085414 0.06739868
1.25958283 0.06983737
1.25831153 0.07205898
1.25704022 0.07407572
1.25576892 0.07589938
1.25449761 0.07754126
1.25322631 0.07901230
1.25195500 0.08032296
1.25068370 0.08148332
1.24941239 0.08250308
1.24814109 0.08339152
1.24686978 0.08415755
1.24559847 0.08480971
1.24432717 0.08535619
1.24305586 0.08580482
1.24178456 0.08616307
1.24051325 0.08643810
1.23924195 0.08663674
1.23797064 0.08676547
1.23669934 0.08683052
1.23542803 0.08683776
1.23415673 0.08679282
1.23288542 0.08670099
1.23161411 0.08656733
1.23034281 0.08639662
1.22907150 0.08619336
1.22780020 0.08596183
1.22652889 0.08570603
1.22525759 0.08542974
1.22398628 0.08513653
1.22271498 0.08482970
1.22144367 0.08451238
1.22017237 0.08418746
1.21890106 0.08385766
1.21762975 0.08352547
1.21635845 0.08319321
1.21508714 0.08286303
1.21381584 0.08253689
1.21254453 0.08221659
1.21127323 0.08190375
1.21000192 0.08159987
1.20873062 0.08130628
1.20744453 0.08102416
1.20617322 0.08075456
1.20490192 0.08049842
1.20363061 0.08025653
1.20235931 0.08002956
1.20108800 0.07981808
1.19981670 0.07962255
1.19854539 0.07944332
1.19727408 0.07928065
1.19600278 0.07913470
1.19473147 0.07900555
1.19346017 0.07889320
1.19218886 0.07879756
1.19091756 0.07871847
1.18964625 0.07865573
1.18837495 0.07860903
1.18710364 0.07857804
1.18583234 0.07856237
1.18456103 0.07856155
1.18328972 0.07857509
1.18201842 0.07860247
1.18074711 0.07864311
1.17946103 0.07869639
1.17818972 0.07876168
1.17691841 0.07883832
1.17564711 0.07892561
1.17437580 0.07902286
1.17310450 0.07912933
1.17183319 0.07924430
1.17056189 0.07936701
1.16929058 0.07949671
1.16801928 0.07963265
1.16674797 0.07977406
1.16547667 0.07992020
1.16420536 0.08007031
1.16293405 0.08022364
1.16166275 0.08037947
1.16039144 0.08053706
1.15912014 0.08069571
1.15783405 0.08085473
1.15656274 0.08101343
1.15529144 0.08117117
1.15402013 0.08184438
1.15274883 0.08235432
1.15147752 0.08273748
1.15020622 0.08310316
1.14893491 0.08353849
1.14766361 0.08396350
1.14639230 0.08426969
1.14512100 0.08441981
1.14384969 0.08442437
1.14257838 0.08428939
1.14130708 0.08401052
1.14002099 0.08349665
1.13874969 0.08286194
1.13747838 0.08234668
1.13620707 0.08197600
1.13493577 0.08171455
1.13366446 0.08155282
1.13239316 0.08148161
1.13112185 0.08149167
1.12985055 0.08157482
1.12857924 0.08171354
1.12730794 0.08189751
1.12603663 0.08211135
1.12475054 0.08233282
1.12347924 0.08252533
1.12220793 0.08265722
1.12093663 0.08272331
1.11966532 0.08274561
1.11839402 0.08275009
1.11712271 0.08275371
1.11585141 0.08276288
1.11458010 0.08277928
1.11330879 0.08280346
1.11203749 0.08283337
1.11075140 0.08286799
1.10948010 0.08290562
1.10820879 0.08294438
1.10693748 0.08298219
1.10566618 0.08301756
1.10439487 0.08304988
1.10312357 0.08307912
1.10185226 0.08310596
1.10058096 0.08313027
1.09930965 0.08315173
1.09802356 0.08316992
1.09675226 0.08318381
1.09548095 0.08319378
1.09420965 0.08319953
1.09293834 0.08320054
1.09166704 0.08319653
1.09039573 0.08318701
1.08912443 0.08317058
1.08783834 0.08314696
1.08656703 0.08311712
1.08529573 0.08308309
1.08402442 0.08304322
1.08275312 0.08299818
1.08148181 0.08294731
1.08021050 0.08290228
1.07893920 0.08289471
1.07766789 0.08293890
1.07638181 0.08301225
1.07511050 0.08308449
1.07383919 0.08314001
1.07256789 0.08317098
