# s/c    cf
1.28119503 0.00385564
1.27992372 0.00798096
1.27865242 0.01172998
1.27738111 0.01512227
1.27610981 0.01817673
1.27483850 0.02091165
1.27356719 0.02334467
1.27229589 0.02549282
1.27102458 0.02737255
1.26975328 0.02899970
1.26848197 0.03038956
1.26721067 0.03155683
1.26593936 0.03251569
1.26466806 0.03327976
1.26339675 0.03386215
1.26212545 0.03427544
1.26085414 0.03453173
1.25958283 0.03464260
1.25831153 0.03461918
1.25704022 0.03447212
1.25576892 0.03421160
1.25449761 0.03384739
1.25322631 0.03338879
1.25195500 0.03284470
1.25068370 0.03222359
1.24941239 0.03153354
1.24814109 0.03078223
1.24686978 0.02997697
1.24559847 0.02912469
1.24432717 0.02823197
1.24305586 0.02730501
1.24178456 0.02634971
1.24051325 0.02537162
1.23924195 0.02437595
1.23797064 0.02336763
1.23669934 0.02235126
1.23542803 0.02133118
1.23415673 0.02031140
1.23288542 0.01929570
1.23161411 0.01828757
1.23034281 0.01729024
1.22907150 0.01630670
1.22780020 0.01533969
1.22652889 0.01439175
1.22525759 0.01346515
1.22398628 0.01256197
1.22271498 0.01168408
1.22144367 0.01083315
1.22017237 0.01001067
1.21890106 0.00921792
1.21762975 0.00845602
1.21635845 0.00772592
1.21508714 0.00702841
1.21381584 0.00636413
1.21254453 0.00573355
1.21127323 0.00513703
1.21000192 0.00457478
1.20873062 0.00404687
1.20744453 0.00355329
1.20617322 0.00309387
1.20490192 0.00266836
1.20363061 0.00227641
1.20235931 0.00191756
1.20108800 0.00159127
1.19981670 0.00129692
1.19854539 0.00103380
1.19727408 0.00080114
1.19600278 0.00059810
1.19473147 0.00042378
1.19346017 0.00027721
1.19218886 0.00015740
1.19091756 0.00006328
1.18964625 -0.00000623
1.18837495 -0.00005227
1.18710364 -0.00007601
1.18583234 -0.00007862
1.18456103 -0.00006133
1.18328972 -0.00002535
1.18201842 0.00002805
1.18074711 0.00009764
1.17946103 0.00018214
1.17818972 0.00028030
1.17691841 0.00039085
1.17564711 0.00051254
1.17437580 0.00064412
1.17310450 0.00078435
