# s/c    cf
1.28119503 -0.00067243
1.27992372 0.00401360
1.27865242 0.00842363
1.27738111 0.01256925
1.27610981 0.01646173
1.27483850 0.02011199
1.27356719 0.02353064
1.27229589 0.02672796
1.27102458 0.02971393
1.26975328 0.03249821
1.26848197 0.03509017
1.26721067 0.03749889
1.26593936 0.03973314
1.26466806 0.04180144
1.26339675 0.04371200
1.26212545 0.04547277
1.26085414 0.04709144
1.25958283 0.04857543
1.25831153 0.04993191
1.25704022 0.05116781
1.25576892 0.05228978
1.25449761 0.05330427
1.25322631 0.05421748
1.25195500 0.05503537
1.25068370 0.05576370
1.24941239 0.05640799
1.24814109 0.05697355
1.24686978 0.05746549
1.24559847 0.05788871
1.24432717 0.05824791
1.24305586 0.05854760
1.24178456 0.05879210
1.24051325 0.05898553
1.23924195 0.05913185
1.23797064 0.05923483
1.23669934 0.05929809
1.23542803 0.05932504
1.23415673 0.05931898
1.23288542 0.05928302
1.23161411 0.05922012
1.23034281 0.05913309
1.22907150 0.05902461
1.22780020 0.05889720
1.22652889 0.05875325
1.22525759 0.05859502
1.22398628 0.05842464
1.22271498 0.05824411
1.22144367 0.05805532
1.22017237 0.05786002
1.21890106 0.05765987
1.21762975 0.05745642
1.21635845 0.05725109
1.21508714 0.05704522
1.21381584 0.05684005
1.21254453 0.05663671
1.21127323 0.05643625
1.21000192 0.05623963
1.20873062 0.05604772
1.20744453 0.05586132
1.20617322 0.05568112
1.20490192 0.05550778
1.20363061 0.05534186
1.20235931 0.05518385
1.20108800 0.05503417
1.19981670 0.05489321
1.19854539 0.05476126
1.19727408 0.05463857
1.19600278 0.05452533
1.19473147 0.05442170
1.19346017 0.05432775
1.19218886 0.05424354
1.19091756 0.05416907
1.18964625 0.05410430
1.18837495 0.05404916
1.18710364 0.05400352
1.18583234 0.05396725
1.18456103 0.05394017
1.18328972 0.05392206
1.18201842 0.05391269
1.18074711 0.05391181
1.17946103 0.05391912
1.17818972 0.05393433
1.17691841 0.05395711
1.17564711 0.05398713
1.17437580 0.05402403
1.17310450 0.05406745
1.17183319 0.05411701
1.17056189 0.05417232
1.16929058 0.05423299
1.16801928 0.05429862
1.16674797 0.05436881
1.16547667 0.05444314
1.16420536 0.05452122
1.16293405 0.05460263
1.16166275 0.05468698
1.16039144 0.05477384
1.15912014 0.05486284
1.15783405 0.05495356
1.15656274 0.05504563
1.15529144 0.05513867
1.15402013 0.05567988
1.15274883 0.05607708
1.15147752 0.05629982
1.15020622 0.05652068
1.14893491 0.05689320
1.14766361 0.05734110
1.14639230 0.05770128
1.14512100 0.05790694
1.14384969 0.05797937
1.14257838 0.05794519
1.14130708 0.05783768
1.14002099 0.05765204
1.13874969 0.05737354
