# s/c   cf_mean    cf_std
0.00000000 0.00219741 0.00032110
0.00130087 0.00358678 0.00030905
0.00260174 0.00487783 0.00030899
0.00390261 0.00607615 0.00031979
0.00520348 0.00718715 0.00034007
0.00650435 0.00821602 0.00036846
0.00780522 0.00916779 0.00040379
0.00910609 0.01004728 0.00044513
0.01040697 0.01085916 0.00049175
0.01170784 0.01160789 0.00054310
0.01300871 0.01229778 0.00059871
0.01430958 0.01293298 0.00065820
0.01561045 0.01351745 0.00072122
0.01691132 0.01405500 0.00078746
0.01821219 0.01454930 0.00085660
0.01951306 0.01500384 0.00092838
0.02081393 0.01542197 0.00100252
0.02211480 0.01580691 0.00107878
0.02341567 0.01616172 0.00115692
0.02470176 0.01648932 0.00123670
0.02600263 0.01679250 0.00131793
0.02730350 0.01707392 0.00140040
0.02860437 0.01733611 0.00148393
0.02990524 0.01758148 0.00156836
0.03120611 0.01781231 0.00165354
0.03250698 0.01803076 0.00173933
0.03380786 0.01823889 0.00182560
0.03510873 0.01843862 0.00191224
0.03640960 0.01863179 0.00199916
0.03771047 0.01882012 0.00208627
0.03901134 0.01900523 0.00217349
0.04029743 0.01918864 0.00226077
0.04159830 0.01937178 0.00234806
0.04289917 0.01955597 0.00243532
0.04420004 0.01974245 0.00252251
0.04550091 0.01993238 0.00260963
0.04680178 0.02012683 0.00269666
0.04810265 0.02032677 0.00278360
0.04940352 0.02053312 0.00287046
0.05068961 0.02074670 0.00295725
0.05199048 0.02096827 0.00304401
0.05329135 0.02119851 0.00313075
0.05459222 0.02143804 0.00321752
0.05589309 0.02168742 0.00330436
0.05719396 0.02194712 0.00339132
0.05849483 0.02221758 0.00347845
0.05978092 0.02249915 0.00356580
0.06108179 0.02279216 0.00365345
0.06238266 0.02309687 0.00374145
0.06368353 0.02341347 0.00382987
0.06498440 0.02374213 0.00391880
0.06628528 0.02408296 0.00400829
0.06757136 0.02443602 0.00409844
0.06887223 0.02480135 0.00418931
0.07017310 0.02517893 0.00428100
0.07147398 0.02556871 0.00437357
0.07277485 0.02597059 0.00446712
0.07407572 0.02638447 0.00456172
0.07536180 0.02681017 0.00465747
0.07666268 0.02724754 0.00475444
0.07796355 0.02769634 0.00485272
0.07926442 0.02815635 0.00495238
0.08056529 0.02862730 0.00505352
0.08185138 0.02910892 0.00515621
0.08315225 0.02960090 0.00526053
0.08445312 0.03010292 0.00536656
0.08575399 0.03061464 0.00547437
0.08704008 0.03113570 0.00558405
0.08834095 0.03166575 0.00569565
0.08964182 0.03220440 0.00580926
0.09094269 0.03275125 0.00592493
0.09224356 0.03330592 0.00604274
0.09352965 0.03386800 0.00616274
0.09483052 0.03443706 0.00628499
0.09613139 0.03501270 0.00640955
0.09743226 0.03559449 0.00653646
0.09871835 0.03618202 0.00666578
0.10001922 0.03677485 0.00679755
0.10132009 0.03737256 0.00693181
0.10260618 0.03797474 0.00706860
0.10390705 0.03858095 0.00720794
0.10520792 0.03919080 0.00734988
0.10650879 0.03980385 0.00749443
0.10779488 0.04041972 0.00764161
0.10909575 0.04103801 0.00779144
0.11039662 0.04165831 0.00794393
0.11169749 0.04228026 0.00809908
0.11298358 0.04290349 0.00825690
0.11428445 0.04352762 0.00841739
0.11558532 0.04415232 0.00858054
0.11687141 0.04477724 0.00874633
0.11817228 0.04540206 0.00891475
0.11947315 0.04602648 0.00908578
0.12075924 0.04665019 0.00925938
0.12206011 0.04727291 0.00943554
0.12336098 0.04789437 0.00961422
0.12466185 0.04851433 0.00979536
0.12594794 0.04913256 0.00997894
0.12724881 0.04974882 0.01016489
0.12854968 0.05036294 0.01035317
0.12983577 0.05097299 0.01054336
0.13113664 0.05164486 0.01074483
0.13243751 0.05227946 0.01095507
0.13372359 0.05291627 0.01116785
0.13502447 0.05355586 0.01137996
0.13632534 0.05417820 0.01159323
0.13761142 0.05478317 0.01180763
0.13891229 0.05540018 0.01201828
0.14019838 0.05609784 0.01222239
0.14149925 0.05694759 0.01242535
0.14280012 0.05786180 0.01262421
0.14408621 0.05864920 0.01281938
0.14538708 0.05920243 0.01302513
0.14668795 0.05957778 0.01325356
0.14797404 0.05988745 0.01349588
0.14927491 0.06022884 0.01373748
0.15056100 0.06068339 0.01397444
0.15186187 0.06121210 0.01420347
0.15316274 0.06167453 0.01441973
0.15444883 0.06204318 0.01463397
0.15574970 0.06245757 0.01485620
0.15703579 0.06294569 0.01507589
0.15833666 0.06341161 0.01529133
0.15963753 0.06374427 0.01549953
0.16092362 0.06409231 0.01570124
0.16222449 0.06474427 0.01590217
0.16351058 0.06571266 0.01608698
0.16481145 0.06670498 0.01624263
0.16611232 0.06746965 0.01639704
0.16739841 0.06802359 0.01657075
0.16869928 0.06844886 0.01676752
0.16998537 0.06880869 0.01698214
0.17128624 0.06914171 0.01720164
0.17257232 0.06946834 0.01742182
0.17387319 0.06980354 0.01763848
0.17517407 0.07016122 0.01785066
0.17646015 0.07055231 0.01805750
0.17776102 0.07097764 0.01825833
0.17904711 0.07143497 0.01845378
0.18034798 0.07192001 0.01864403
0.18163407 0.07244517 0.01882853
0.18293494 0.07302933 0.01900657
0.18422103 0.07370362 0.01918032
0.18552190 0.07446053 0.01935583
0.18680799 0.07519139 0.01952885
0.18810886 0.07576042 0.01969223
0.18939495 0.07614303 0.01985877
0.19069582 0.07656635 0.02003302
0.19199669 0.07729381 0.02021659
0.19328278 0.07835230 0.02039302
0.19458365 0.07946396 0.02054171
0.19586974 0.08040434 0.02067952
0.19717061 0.08120747 0.02082196
0.19845669 0.08198254 0.02098508
0.19975757 0.08278469 0.02116622
0.20104365 0.08356686 0.02135037
0.20234452 0.08424666 0.02153595
0.20363061 0.08474414 0.02171634
0.20493148 0.08520973 0.02190813
0.20621757 0.08593350 0.02210874
0.20750366 0.08699135 0.02230056
0.20880453 0.08818094 0.02248319
0.21009062 0.08925735 0.02265011
0.21139149 0.09014575 0.02280790
0.21267758 0.09094905 0.02298070
0.21397845 0.09179975 0.02317185
0.21526454 0.09274162 0.02336641
0.21656541 0.09375240 0.02356017
0.21785149 0.09479211 0.02375070
0.21915236 0.09582586 0.02394087
0.22043845 0.09682432 0.02413244
0.22173932 0.09776312 0.02432548
0.22302541 0.09863140 0.02451777
0.22432628 0.09948911 0.02471301
0.22561237 0.10041068 0.02491184
0.22689846 0.10143411 0.02511444
0.22819933 0.10251081 0.02531715
0.22948542 0.10353789 0.02551450
0.23078629 0.10447333 0.02570724
0.23207238 0.10532532 0.02590018
0.23337325 0.10611211 0.02609764
0.23465933 0.10682033 0.02629983
0.23594542 0.10742414 0.02650773
0.23724629 0.10793127 0.02672109
0.23853238 0.10839588 0.02694013
0.23983325 0.10888944 0.02716259
0.24111934 0.10944877 0.02738265
