# s/c    cf
1.28119503 -0.00731160
1.27992372 -0.00028341
1.27865242 0.00635033
1.27738111 0.01260537
1.27610981 0.01849701
1.27483850 0.02404011
1.27356719 0.02924911
1.27229589 0.03413801
1.27102458 0.03872039
1.26975328 0.04300945
1.26848197 0.04701795
1.26721067 0.05075831
1.26593936 0.05424251
1.26466806 0.05748219
1.26339675 0.06048862
1.26212545 0.06327270
1.26085414 0.06584498
1.25958283 0.06821567
1.25831153 0.07039462
1.25704022 0.07239138
1.25576892 0.07421517
1.25449761 0.07587487
1.25322631 0.07737907
1.25195500 0.07873607
1.25068370 0.07995385
1.24941239 0.08104012
1.24814109 0.08200229
1.24686978 0.08284752
1.24559847 0.08358268
1.24432717 0.08421439
1.24305586 0.08474901
1.24178456 0.08519266
1.24051325 0.08555120
1.23924195 0.08583028
1.23797064 0.08603530
1.23669934 0.08617143
1.23542803 0.08624366
1.23415673 0.08625672
1.23288542 0.08621516
1.23161411 0.08612333
1.23034281 0.08598539
1.22907150 0.08580529
1.22780020 0.08558681
1.22652889 0.08533356
1.22525759 0.08504896
1.22398628 0.08473627
1.22271498 0.08439860
1.22144367 0.08403889
1.22017237 0.08365992
1.21890106 0.08326435
1.21762975 0.08285466
1.21635845 0.08243324
1.21508714 0.08200230
1.21381584 0.08156396
1.21254453 0.08112020
1.21127323 0.08067287
1.21000192 0.08022372
1.20873062 0.07977441
1.20744453 0.07932645
1.20617322 0.07888128
1.20490192 0.07844023
1.20363061 0.07800454
1.20235931 0.07757537
1.20108800 0.07715378
1.19981670 0.07674076
1.19854539 0.07633720
1.19727408 0.07594396
1.19600278 0.07556177
1.19473147 0.07519134
1.19346017 0.07483331
1.19218886 0.07448823
1.19091756 0.07415662
1.18964625 0.07383894
1.18837495 0.07353560
1.18710364 0.07324695
1.18583234 0.07297330
1.18456103 0.07271494
1.18328972 0.07247209
1.18201842 0.07224495
1.18074711 0.07203367
1.17946103 0.07183840
1.17818972 0.07165922
1.17691841 0.07149621
1.17564711 0.07134942
1.17437580 0.07121887
1.17310450 0.07110458
1.17183319 0.07100653
1.17056189 0.07092469
1.16929058 0.07085902
1.16801928 0.07080946
1.16674797 0.07077596
1.16547667 0.07075842
1.16420536 0.07075679
1.16293405 0.07077095
1.16166275 0.07080083
1.16039144 0.07084633
1.15912014 0.07090735
1.15783405 0.07098379
1.15656274 0.07107555
1.15529144 0.07118255
1.15402013 0.07173584
1.15274883 0.07214426
1.15147752 0.07245334
1.15020622 0.07278702
1.14893491 0.07322019
1.14766361 0.07365730
1.14639230 0.07398762
1.14512100 0.07418536
1.14384969 0.07425037
1.14257838 0.07418565
1.14130708 0.07397802
1.14002099 0.07358259
1.13874969 0.07316722
1.13747838 0.07294474
1.13620707 0.07291046
1.13493577 0.07301525
1.13366446 0.07324107
1.13239316 0.07357978
1.13112185 0.07401915
1.12985055 0.07454736
1.12857924 0.07515007
1.12730794 0.07581568
1.12603663 0.07652943
1.12475054 0.07726685
1.12347924 0.07798257
1.12220793 0.07862974
1.12093663 0.07919719
1.11966532 0.07971925
1.11839402 0.08024307
1.11712271 0.08079771
1.11585141 0.08139636
1.11458010 0.08204406
1.11330879 0.08273973
1.11203749 0.08348018
1.11075140 0.08426095
1.10948010 0.08507725
1.10820879 0.08592303
1.10693748 0.08679201
1.10566618 0.08767860
1.10439487 0.08857858
1.10312357 0.08948865
1.10185226 0.09040629
1.10058096 0.09132779
1.09930965 0.09224959
1.09802356 0.09316604
1.09675226 0.09407198
1.09548095 0.09496447
1.09420965 0.09584057
1.09293834 0.09669854
1.09166704 0.09753708
1.09039573 0.09835537
1.08912443 0.09915121
1.08783834 0.09992423
1.08656703 0.10067725
1.08529573 0.10141302
1.08402442 0.10213335
1.08275312 0.10283754
1.08148181 0.10352785
1.08021050 0.10422833
1.07893920 0.10498876
1.07766789 0.10583032
1.07638181 0.10671897
1.07511050 0.10760350
1.07383919 0.10845498
1.07256789 0.10926178
1.07129658 0.11001695
1.07002528 0.11071927
1.06875397 0.11136906
1.06746788 0.11197266
1.06619658 0.11254045
1.06492527 0.11308137
1.06365397 0.11360097
1.06238266 0.11409407
1.06111136 0.11456023
1.05984005 0.11501025
1.05856875 0.11546839
1.05728266 0.11595818
1.05601135 0.11648033
1.05474005 0.11702680
1.05346874 0.11758485
1.05219744 0.11814538
1.05092613 0.11870288
1.04965483 0.11925113
1.04836874 0.11978070
1.04709743 0.12028465
1.04582613 0.12076059
1.04455482 0.12121067
1.04328352 0.12163931
1.04201221 0.12204717
1.04072612 0.12243553
1.03945482 0.12280551
1.03818351 0.12316160
1.03691221 0.12350785
1.03564090 0.12384945
1.03436960 0.12419862
1.03309829 0.12456494
1.03181220 0.12494766
1.03054090 0.12533991
1.02926959 0.12573661
