# s/c    cf
1.28119503 -0.00679140
1.27992372 -0.00018543
1.27865242 0.00599745
1.27738111 0.01177303
1.27610981 0.01715676
1.27483850 0.02216369
1.27356719 0.02680853
1.27229589 0.03110561
1.27102458 0.03506890
1.26975328 0.03871205
1.26848197 0.04204833
1.26721067 0.04509069
1.26593936 0.04785174
1.26466806 0.05034375
1.26339675 0.05257867
1.26212545 0.05456815
1.26085414 0.05632350
1.25958283 0.05785572
1.25831153 0.05917552
1.25704022 0.06029330
1.25576892 0.06121916
1.25449761 0.06196293
1.25322631 0.06253411
1.25195500 0.06294197
1.25068370 0.06319547
1.24941239 0.06330331
1.24814109 0.06327391
1.24686978 0.06311544
1.24559847 0.06283581
1.24432717 0.06244267
1.24305586 0.06194343
1.24178456 0.06134523
1.24051325 0.06065501
1.23924195 0.05987943
1.23797064 0.05902495
1.23669934 0.05809779
1.23542803 0.05710394
1.23415673 0.05604918
1.23288542 0.05493908
1.23161411 0.05377898
1.23034281 0.05257403
1.22907150 0.05132918
1.22780020 0.05004915
1.22652889 0.04873852
1.22525759 0.04740162
1.22398628 0.04604263
1.22271498 0.04466555
1.22144367 0.04327418
1.22017237 0.04187215
1.21890106 0.04046294
1.21762975 0.03904983
1.21635845 0.03763597
1.21508714 0.03622432
1.21381584 0.03481771
1.21254453 0.03341879
1.21127323 0.03203008
1.21000192 0.03065397
1.20873062 0.02929267
1.20744453 0.02794828
1.20617322 0.02662276
1.20490192 0.02531794
1.20363061 0.02403551
1.20235931 0.02277704
1.20108800 0.02154401
1.19981670 0.02033773
1.19854539 0.01915944
1.19727408 0.01801025
1.19600278 0.01689117
1.19473147 0.01580308
1.19346017 0.01474680
1.19218886 0.01372303
1.19091756 0.01273237
1.18964625 0.01177534
1.18837495 0.01085236
1.18710364 0.00996378
1.18583234 0.00910986
1.18456103 0.00829077
1.18328972 0.00750661
1.18201842 0.00675742
1.18074711 0.00604314
1.17946103 0.00536367
1.17818972 0.00471884
1.17691841 0.00410839
1.17564711 0.00353204
1.17437580 0.00298942
1.17310450 0.00248012
1.17183319 0.00200368
1.17056189 0.00155959
1.16929058 0.00114728
1.16801928 0.00076616
1.16674797 0.00041557
1.16547667 0.00009483
1.16420536 -0.00019678
1.16293405 -0.00046002
1.16166275 -0.00069568
1.16039144 -0.00090458
1.15912014 -0.00108757
1.15783405 -0.00124551
1.15656274 -0.00137931
1.15529144 -0.00148988
1.15402013 -0.00105665
1.15274883 -0.00065090
1.15147752 -0.00041613
1.15020622 -0.00018449
1.14893491 0.00020998
1.14766361 0.00070668
1.14639230 0.00113285
1.14512100 0.00141529
1.14384969 0.00158800
1.14257838 0.00168467
1.14130708 0.00171445
1.14002099 0.00164344
1.13874969 0.00144907
1.13747838 0.00106813
1.13620707 0.00057559
1.13493577 0.00016288
1.13366446 -0.00012367
1.13239316 -0.00027740
1.13112185 -0.00030896
1.12985055 -0.00023596
1.12857924 -0.00007518
1.12730794 0.00014931
1.12603663 0.00041475
1.12475054 0.00069037
1.12347924 0.00094584
1.12220793 0.00116739
1.12093663 0.00135786
1.11966532 0.00152131
1.11839402 0.00166086
1.11712271 0.00177827
1.11585141 0.00187435
1.11458010 0.00194920
1.11330879 0.00200260
1.11203749 0.00203430
1.11075140 0.00204405
1.10948010 0.00203177
1.10820879 0.00199755
1.10693748 0.00194194
1.10566618 0.00186589
1.10439487 0.00177086
1.10312357 0.00165883
1.10185226 0.00153226
1.10058096 0.00139410
1.09930965 0.00124766
1.09802356 0.00109677
1.09675226 0.00094546
1.09548095 0.00079773
1.09420965 0.00065644
1.09293834 0.00052290
1.09166704 0.00039797
1.09039573 0.00028241
1.08912443 0.00017691
1.08783834 0.00008200
1.08656703 -0.00000173
1.08529573 -0.00007400
1.08402442 -0.00013429
1.08275312 -0.00018230
1.08148181 -0.00021742
1.08021050 -0.00023809
1.07893920 -0.00024359
1.07766789 -0.00023604
1.07638181 -0.00021990
1.07511050 -0.00019943
1.07383919 -0.00017752
1.07256789 -0.00015596
1.07129658 -0.00013600
1.07002528 -0.00011843
1.06875397 -0.00010341
1.06746788 -0.00009095
1.06619658 -0.00008209
1.06492527 -0.00008009
1.06365397 -0.00009091
1.06238266 -0.00012297
1.06111136 -0.00017291
1.05984005 -0.00021310
1.05856875 -0.00022326
1.05728266 -0.00020581
1.05601135 -0.00016950
1.05474005 -0.00012577
1.05346874 -0.00008385
1.05219744 -0.00004738
1.05092613 -0.00001708
1.04965483 0.00000590
1.04836874 0.00002448
1.04709743 0.00004302
1.04582613 0.00006204
1.04455482 0.00008142
1.04328352 0.00010128
1.04201221 0.00012179
1.04072612 0.00014314
1.03945482 0.00016567
1.03818351 0.00018987
1.03691221 0.00021642
1.03564090 0.00024626
1.03436960 0.00028049
1.03309829 0.00031960
1.03181220 0.00036308
1.03054090 0.00040992
1.02926959 0.00045902
1.02799829 0.00050934
1.02672698 0.00055977
1.02545567 0.00060878
1.02416959 0.00065459
1.02289828 0.00069631
1.02162698 0.00073488
1.02035567 0.00077258
1.01908436 0.00081157
1.01779828 0.00085314
1.01652697 0.00089782
1.01525567 0.00094571
1.01398436 0.00099662
1.01271305 0.00105030
1.01144175 0.00110655
1.01015566 0.00116527
1.00888436 0.00122649
1.00761305 0.00129034
1.00634174 0.00135714
1.00507044 0.00142743
1.00378435 0.00150190
1.00251305 0.00158110
1.00124174 0.00166473
0.99997043 0.00175113
0.99869913 0.00183759
0.99742782 0.00192126
0.99614174 0.00199997
0.99487043 0.00207244
0.99359912 0.00213792
0.99232782 0.00219599
0.99105651 0.00224642
0.98977043 0.00228903
0.98849912 0.00232384
0.98722781 0.00235168
0.98595651 0.00237426
0.98468520 0.00239392
0.98339912 0.00241340
0.98212781 0.00243606
0.98085651 0.00246573
0.97958520 0.00250641
