# s/c    cf
1.28119503 -0.00049561
1.27992372 0.00433029
1.27865242 0.00887441
1.27738111 0.01314850
1.27610981 0.01716399
1.27483850 0.02093199
1.27356719 0.02446325
1.27229589 0.02776822
1.27102458 0.03085703
1.26975328 0.03373951
1.26848197 0.03642516
1.26721067 0.03892321
1.26593936 0.04124259
1.26466806 0.04339194
1.26339675 0.04537961
1.26212545 0.04721371
1.26085414 0.04890203
1.25958283 0.05045214
1.25831153 0.05187133
1.25704022 0.05316665
1.25576892 0.05434488
1.25449761 0.05541258
1.25322631 0.05637607
1.25195500 0.05724142
1.25068370 0.05801451
1.24941239 0.05870095
1.24814109 0.05930617
1.24686978 0.05983537
1.24559847 0.06029356
1.24432717 0.06068554
1.24305586 0.06101591
1.24178456 0.06128907
1.24051325 0.06150925
1.23924195 0.06168049
1.23797064 0.06180666
1.23669934 0.06189142
1.23542803 0.06193832
1.23415673 0.06195069
1.23288542 0.06193174
1.23161411 0.06188450
1.23034281 0.06181186
1.22907150 0.06171655
1.22780020 0.06160117
1.22652889 0.06146818
1.22525759 0.06131990
1.22398628 0.06115852
1.22271498 0.06098610
1.22144367 0.06080459
1.22017237 0.06061580
1.21890106 0.06042143
1.21762975 0.06022309
1.21635845 0.06002226
1.21508714 0.05982032
1.21381584 0.05961856
1.21254453 0.05941814
1.21127323 0.05922017
1.21000192 0.05902565
1.20873062 0.05883548
1.20744453 0.05865050
1.20617322 0.05847146
1.20490192 0.05829902
1.20363061 0.05813380
1.20235931 0.05797630
1.20108800 0.05782700
1.19981670 0.05768628
1.19854539 0.05755449
1.19727408 0.05743190
1.19600278 0.05731872
1.19473147 0.05721512
1.19346017 0.05712121
1.19218886 0.05703707
1.19091756 0.05696272
1.18964625 0.05689813
1.18837495 0.05684324
1.18710364 0.05679797
1.18583234 0.05676216
1.18456103 0.05673567
1.18328972 0.05671829
1.18201842 0.05670980
1.18074711 0.05670995
1.17946103 0.05671846
1.17818972 0.05673505
1.17691841 0.05675940
1.17564711 0.05679117
1.17437580 0.05683001
1.17310450 0.05687557
1.17183319 0.05692748
1.17056189 0.05698534
1.16929058 0.05704876
1.16801928 0.05711736
1.16674797 0.05719072
1.16547667 0.05726844
1.16420536 0.05735010
1.16293405 0.05743531
1.16166275 0.05752364
1.16039144 0.05761470
1.15912014 0.05770807
1.15783405 0.05780337
1.15656274 0.05790021
1.15529144 0.05799818
1.15402013 0.05856719
1.15274883 0.05898618
1.15147752 0.05922340
1.15020622 0.05945675
1.14893491 0.05984763
1.14766361 0.06032100
1.14639230 0.06070575
1.14512100 0.06092956
1.14384969 0.06101347
1.14257838 0.06098556
1.14130708 0.06088177
1.14002099 0.06069885
1.13874969 0.06042512
1.13747838 0.05998723
1.13620707 0.05944816
1.13493577 0.05900120
1.13366446 0.05868643
1.13239316 0.05850746
1.13112185 0.05844904
1.12985055 0.05849435
1.12857924 0.05863258
1.12730794 0.05884223
1.12603663 0.05910520
1.12475054 0.05938367
1.12347924 0.05962501
1.12220793 0.05978538
1.12093663 0.05985762
1.11966532 0.05986922
1.11839402 0.05985384
1.11712271 0.05983667
1.11585141 0.05982816
1.11458010 0.05983158
1.11330879 0.05984867
1.11203749 0.05987642
1.11075140 0.05991416
1.10948010 0.05995911
1.10820879 0.06000867
1.10693748 0.06005986
1.10566618 0.06011044
1.10439487 0.06015973
1.10312357 0.06020728
1.10185226 0.06025420
1.10058096 0.06029956
1.09930965 0.06034252
1.09802356 0.06038244
1.09675226 0.06041703
1.09548095 0.06044677
