# s/c   cf_mean    cf_std
0.00000000 0.00215938 0.00031806
0.00130087 0.00350843 0.00030400
0.00260174 0.00476207 0.00030169
0.00390261 0.00592570 0.00031010
0.00520348 0.00700457 0.00032791
0.00650435 0.00800373 0.00035376
0.00780522 0.00892803 0.00038647
0.00910609 0.00978217 0.00042509
0.01040697 0.01057066 0.00046890
0.01170784 0.01129784 0.00051732
0.01300871 0.01196789 0.00056991
0.01430958 0.01258482 0.00062628
0.01561045 0.01315249 0.00068609
0.01691132 0.01367459 0.00074905
0.01821219 0.01415468 0.00081486
0.01951306 0.01459614 0.00088325
0.02081393 0.01500224 0.00095396
0.02211480 0.01537609 0.00102676
0.02341567 0.01572065 0.00110142
0.02470176 0.01603878 0.00117771
0.02600263 0.01633316 0.00125543
0.02730350 0.01660640 0.00133440
0.02860437 0.01686094 0.00141443
0.02990524 0.01709912 0.00149537
0.03120611 0.01732315 0.00157706
0.03250698 0.01753514 0.00165937
0.03380786 0.01773707 0.00174217
0.03510873 0.01793083 0.00182536
0.03640960 0.01811819 0.00190884
0.03771047 0.01830083 0.00199252
0.03901134 0.01848031 0.00207633
0.04029743 0.01865812 0.00216021
0.04159830 0.01883565 0.00224411
0.04289917 0.01901417 0.00232799
0.04420004 0.01919490 0.00241181
0.04550091 0.01937896 0.00249556
0.04680178 0.01956738 0.00257923
0.04810265 0.01976113 0.00266281
0.04940352 0.01996108 0.00274631
0.05068961 0.02016803 0.00282973
0.05199048 0.02038274 0.00291311
0.05329135 0.02060585 0.00299647
0.05459222 0.02083798 0.00307984
0.05589309 0.02107965 0.00316326
0.05719396 0.02133134 0.00324677
0.05849483 0.02159347 0.00333043
0.05978092 0.02186640 0.00341428
0.06108179 0.02215042 0.00349840
0.06238266 0.02244580 0.00358283
0.06368353 0.02275272 0.00366765
0.06498440 0.02307136 0.00375292
0.06628528 0.02340182 0.00383871
0.06757136 0.02374416 0.00392510
0.06887223 0.02409841 0.00401217
0.07017310 0.02446456 0.00409998
0.07147398 0.02484257 0.00418863
0.07277485 0.02523233 0.00427818
0.07407572 0.02563375 0.00436872
0.07536180 0.02604666 0.00446032
0.07666268 0.02647090 0.00455308
0.07796355 0.02690625 0.00464706
0.07926442 0.02735250 0.00474235
0.08056529 0.02780939 0.00483903
0.08185138 0.02827663 0.00493718
0.08315225 0.02875395 0.00503686
0.08445312 0.02924103 0.00513817
0.08575399 0.02973753 0.00524116
0.08704008 0.03024312 0.00534592
0.08834095 0.03075743 0.00545251
0.08964182 0.03128011 0.00556101
0.09094269 0.03181076 0.00567147
0.09224356 0.03234901 0.00578396
0.09352965 0.03289445 0.00589855
0.09483052 0.03344668 0.00601528
0.09613139 0.03400530 0.00613421
0.09743226 0.03456989 0.00625540
0.09871835 0.03514005 0.00637889
0.10001922 0.03571535 0.00650472
0.10132009 0.03629540 0.00663294
0.10260618 0.03687977 0.00676358
0.10390705 0.03746805 0.00689668
0.10520792 0.03805985 0.00703227
0.10650879 0.03865476 0.00717037
0.10779488 0.03925238 0.00731101
0.10909575 0.03985232 0.00745419
0.11039662 0.04045422 0.00759994
0.11169749 0.04105768 0.00774827
0.11298358 0.04166235 0.00789917
0.11428445 0.04226788 0.00805264
0.11558532 0.04287392 0.00820869
0.11687141 0.04348014 0.00836731
0.11817228 0.04408623 0.00852847
0.11947315 0.04469188 0.00869217
0.12075924 0.04529680 0.00885838
0.12206011 0.04590070 0.00902708
0.12336098 0.04650334 0.00919822
0.12466185 0.04710446 0.00937178
0.12594794 0.04770382 0.00954772
0.12724881 0.04830123 0.00972599
0.12854968 0.04889647 0.00990654
0.12983577 0.04948770 0.01008897
0.13113664 0.05014061 0.01028135
0.13243751 0.05075722 0.01048236
0.13372359 0.05137541 0.01068603
0.13502447 0.05199596 0.01088921
0.13632534 0.05259967 0.01109359
0.13761142 0.05318646 0.01129914
0.13891229 0.05378435 0.01150125
0.14019838 0.05445921 0.01169734
0.14149925 0.05527927 0.01189272
0.14280012 0.05616053 0.01208442
0.14408621 0.05692041 0.01227228
0.14538708 0.05745600 0.01247000
0.14668795 0.05782071 0.01268957
0.14797404 0.05812195 0.01292276
0.14927491 0.05845294 0.01315575
0.15056100 0.05889163 0.01338475
0.15186187 0.05940078 0.01360642
0.15316274 0.05984644 0.01381570
0.15444883 0.06020233 0.01402295
0.15574970 0.06060159 0.01423814
0.15703579 0.06107113 0.01445119
0.15833666 0.06151925 0.01466012
0.15963753 0.06184017 0.01486185
0.16092362 0.06217565 0.01505748
0.16222449 0.06280097 0.01525301
0.16351058 0.06372753 0.01543389
0.16481145 0.06467669 0.01558687
0.16611232 0.06540906 0.01573805
0.16739841 0.06594024 0.01590742
0.16869928 0.06634842 0.01609887
0.16998537 0.06669379 0.01630754
0.17128624 0.06701315 0.01652103
0.17257232 0.06732612 0.01673532
0.17387319 0.06764714 0.01694632
0.17517407 0.06798966 0.01715310
0.17646015 0.06836429 0.01735480
0.17776102 0.06877191 0.01755077
0.17904711 0.06921044 0.01774157
0.18034798 0.06967558 0.01792733
0.18163407 0.07017922 0.01810763
0.18293494 0.07073917 0.01828180
0.18422103 0.07138487 0.01845191
0.18552190 0.07210954 0.01862366
0.18680799 0.07280959 0.01879290
0.18810886 0.07335594 0.01895271
0.18939495 0.07372513 0.01911538
0.19069582 0.07413319 0.01928537
0.19199669 0.07483111 0.01946444
0.19328278 0.07584379 0.01963695
0.19458365 0.07690720 0.01978282
0.19586974 0.07780852 0.01991795
0.19717061 0.07857951 0.02005738
0.19845669 0.07932411 0.02021653
0.19975757 0.08009492 0.02039268
0.20104365 0.08084720 0.02057161
0.20234452 0.08150232 0.02075175
0.20363061 0.08198419 0.02092665
0.20493148 0.08243631 0.02111207
0.20621757 0.08313367 0.02130595
0.20750366 0.08414803 0.02149162
0.20880453 0.08528767 0.02166830
0.21009062 0.08631986 0.02182981
0.21139149 0.08717363 0.02198254
0.21267758 0.08794695 0.02214950
0.21397845 0.08876599 0.02233385
0.21526454 0.08967200 0.02252114
0.21656541 0.09064362 0.02270754
0.21785149 0.09164282 0.02289094
0.21915236 0.09263581 0.02307370
0.22043845 0.09359525 0.02325778
0.22173932 0.09449808 0.02344320
0.22302541 0.09533350 0.02362766
0.22432628 0.09615879 0.02381493
0.22561237 0.09704406 0.02400568
0.22689846 0.09802521 0.02420002
0.22819933 0.09905633 0.02439442
0.22948542 0.10003963 0.02458359
0.23078629 0.10093586 0.02476845
0.23207238 0.10175301 0.02495347
0.23337325 0.10250848 0.02514271
0.23465933 0.10318929 0.02533636
0.23594542 0.10377003 0.02553514
0.23724629 0.10425787 0.02573899
0.23853238 0.10470422 0.02594810
0.23983325 0.10517798 0.02616046
0.24111934 0.10571419 0.02637059
0.24240543 0.10630694 0.02657704
0.24370630 0.10690665 0.02678123
0.24499239 0.10744837 0.02698408
0.24629326 0.10790050 0.02718809
0.24757935 0.10826861 0.02739028
0.24886543 0.10856837 0.02758850
0.25016630 0.10882944 0.02778493
0.25145239 0.10908968 0.02798382
