# s/c   cf_mean    cf_std
0.00000000 0.00215920 0.00030803
0.00130087 0.00323672 0.00041310
0.00260174 0.00424500 0.00052458
0.00390261 0.00518779 0.00063807
0.00520348 0.00606872 0.00075188
0.00650435 0.00689131 0.00086534
0.00780522 0.00765895 0.00097817
0.00910609 0.00837491 0.00109026
0.01040697 0.00904236 0.00120159
0.01170784 0.00966434 0.00131219
0.01300871 0.01024380 0.00142212
0.01430958 0.01078356 0.00153142
0.01561045 0.01128637 0.00164017
0.01691132 0.01175483 0.00174844
0.01821219 0.01219150 0.00185628
0.01951306 0.01259878 0.00196377
0.02081393 0.01297901 0.00207097
0.02211480 0.01333444 0.00217794
0.02341567 0.01366720 0.00228473
0.02470176 0.01397936 0.00239141
0.02600263 0.01427289 0.00249803
0.02730350 0.01454968 0.00260465
0.02860437 0.01481152 0.00271133
0.02990524 0.01506014 0.00281812
0.03120611 0.01529718 0.00292507
0.03250698 0.01552421 0.00303225
0.03380786 0.01574271 0.00313969
0.03510873 0.01595410 0.00324746
0.03640960 0.01615974 0.00335561
0.03771047 0.01636088 0.00346420
0.03901134 0.01655875 0.00357327
0.04029743 0.01675449 0.00368289
0.04159830 0.01694916 0.00379310
0.04289917 0.01714380 0.00390396
0.04420004 0.01733936 0.00401553
0.04550091 0.01753674 0.00412786
0.04680178 0.01773677 0.00424099
0.04810265 0.01794025 0.00435498
0.04940352 0.01814790 0.00446989
0.05068961 0.01836041 0.00458577
0.05199048 0.01857842 0.00470266
0.05329135 0.01880250 0.00482061
0.05459222 0.01903319 0.00493967
0.05589309 0.01927097 0.00505990
0.05719396 0.01951631 0.00518133
0.05849483 0.01976961 0.00530402
0.05978092 0.02003122 0.00542800
0.06108179 0.02030148 0.00555332
0.06238266 0.02058067 0.00568002
0.06368353 0.02086905 0.00580813
0.06498440 0.02116683 0.00593771
0.06628528 0.02147420 0.00606877
0.06757136 0.02179131 0.00620137
0.06887223 0.02211828 0.00633553
0.07017310 0.02245520 0.00647128
0.07147398 0.02280215 0.00660866
0.07277485 0.02315915 0.00674769
0.07407572 0.02352623 0.00688840
0.07536180 0.02390336 0.00703082
0.07666268 0.02429052 0.00717498
0.07796355 0.02468765 0.00732089
0.07926442 0.02509468 0.00746858
0.08056529 0.02551150 0.00761806
0.08185138 0.02593801 0.00776937
0.08315225 0.02637407 0.00792251
0.08445312 0.02681955 0.00807750
0.08575399 0.02727427 0.00823435
0.08704008 0.02773806 0.00839309
0.08834095 0.02821074 0.00855372
0.08964182 0.02869211 0.00871625
0.09094269 0.02918196 0.00888070
0.09224356 0.02968006 0.00904708
0.09352965 0.03018619 0.00921538
0.09483052 0.03070011 0.00938562
0.09613139 0.03122158 0.00955781
0.09743226 0.03175035 0.00973195
0.09871835 0.03228616 0.00990803
0.10001922 0.03282875 0.01008607
0.10132009 0.03337787 0.01026607
0.10260618 0.03393324 0.01044802
0.10390705 0.03449460 0.01063193
0.10520792 0.03506168 0.01081779
0.10650879 0.03563421 0.01100560
0.10779488 0.03621191 0.01119535
0.10909575 0.03679452 0.01138704
0.11039662 0.03738178 0.01158066
0.11169749 0.03797340 0.01177620
0.11298358 0.03856914 0.01197366
0.11428445 0.03916873 0.01217302
0.11558532 0.03977192 0.01237427
0.11687141 0.04037845 0.01257739
0.11817228 0.04098808 0.01278238
0.11947315 0.04160056 0.01298921
0.12075924 0.04221566 0.01319786
0.12206011 0.04283315 0.01340832
0.12336098 0.04345281 0.01362057
0.12466185 0.04407442 0.01383458
0.12594794 0.04469777 0.01405033
0.12724881 0.04532266 0.01426780
0.12854968 0.04594890 0.01448695
0.12983577 0.04657474 0.01470726
0.13113664 0.04723990 0.01494563
0.13243751 0.04788668 0.01518833
0.13372359 0.04854719 0.01543150
0.13502447 0.04921429 0.01567288
0.13632534 0.04986905 0.01591481
0.13761142 0.05050773 0.01615746
0.13891229 0.05115825 0.01639464
0.14019838 0.05187498 0.01662608
0.14149925 0.05273912 0.01686014
0.14280012 0.05367954 0.01709630
0.14408621 0.05449211 0.01733003
0.14538708 0.05508720 0.01756787
0.14668795 0.05554357 0.01782185
0.14797404 0.05595692 0.01808151
0.14927491 0.05641061 0.01833563
0.15056100 0.05697751 0.01858655
0.15186187 0.05761973 0.01883465
0.15316274 0.05818568 0.01907146
0.15444883 0.05864895 0.01930410
0.15574970 0.05916760 0.01954616
0.15703579 0.05976200 0.01978875
0.15833666 0.06033325 0.02003036
0.15963753 0.06075976 0.02026212
0.16092362 0.06117657 0.02048602
0.16222449 0.06189272 0.02071403
0.16351058 0.06292108 0.02093837
0.16481145 0.06394020 0.02114302
0.16611232 0.06472513 0.02134313
0.16739841 0.06531768 0.02155974
0.16869928 0.06580796 0.02179619
0.16998537 0.06625794 0.02204766
0.17128624 0.06669334 0.02230310
0.17257232 0.06712872 0.02255849
0.17387319 0.06757220 0.02281057
0.17517407 0.06803399 0.02305919
0.17646015 0.06852142 0.02330446
0.17776102 0.06903297 0.02354639
0.17904711 0.06956555 0.02378554
0.18034798 0.07011530 0.02402263
0.18163407 0.07069495 0.02425605
0.18293494 0.07132241 0.02448532
0.18422103 0.07203150 0.02471429
0.18552190 0.07282188 0.02495212
0.18680799 0.07358315 0.02519201
0.18810886 0.07416975 0.02541749
0.18939495 0.07456616 0.02564135
0.19069582 0.07499301 0.02587074
0.19199669 0.07572499 0.02611823
0.19328278 0.07679000 0.02637252
0.19458365 0.07787087 0.02660228
0.19586974 0.07875798 0.02681601
0.19717061 0.07950395 0.02702989
0.19845669 0.08023300 0.02726824
0.19975757 0.08100159 0.02753071
0.20104365 0.08175257 0.02779926
0.20234452 0.08240659 0.02806820
0.20363061 0.08286811 0.02832783
0.20493148 0.08329497 0.02859591
0.20621757 0.08398108 0.02887569
0.20750366 0.08499919 0.02915305
0.20880453 0.08613554 0.02942819
0.21009062 0.08713069 0.02968760
0.21139149 0.08792617 0.02992942
0.21267758 0.08864271 0.03018449
0.21397845 0.08941321 0.03046223
0.21526454 0.09026958 0.03074390
0.21656541 0.09119058 0.03102806
0.21785149 0.09213899 0.03131128
0.21915236 0.09307775 0.03159225
0.22043845 0.09398537 0.03187506
0.22173932 0.09483887 0.03215787
0.22302541 0.09562211 0.03243672
0.22432628 0.09640034 0.03271559
0.22561237 0.09724489 0.03299673
0.22689846 0.09819830 0.03328231
0.22819933 0.09921166 0.03356907
0.22948542 0.10017571 0.03384960
0.23078629 0.10105231 0.03412162
0.23207238 0.10185425 0.03439037
0.23337325 0.10260388 0.03466283
0.23465933 0.10328935 0.03494010
0.23594542 0.10388839 0.03522239
0.23724629 0.10440626 0.03550709
0.23853238 0.10489357 0.03579354
0.23983325 0.10541558 0.03607977
0.24111934 0.10600070 0.03636214
0.24240543 0.10664228 0.03664106
0.24370630 0.10729360 0.03691752
0.24499239 0.10789425 0.03719175
0.24629326 0.10841514 0.03746509
0.24757935 0.10885950 0.03773278
0.24886543 0.10923888 0.03799254
0.25016630 0.10958187 0.03824874
0.25145239 0.10993406 0.03850671
0.25275326 0.11028855 0.03876509
0.25403935 0.11063471 0.03902257
0.25532544 0.11097445 0.03927913
0.25662631 0.11128951 0.03952951
0.25791240 0.11156109 0.03977522
0.25919849 0.11175160 0.04000628
0.26049936 0.11185203 0.04022417
0.26178545 0.11192541 0.04044809
0.26307153 0.11199232 0.04067135
0.26437240 0.11207089 0.04088674
0.26565849 0.11224624 0.04110746
0.26695936 0.11255468 0.04133423
0.26824545 0.11295088 0.04155760
0.26953154 0.11330809 0.04176889
0.27083241 0.11348160 0.04195361
0.27211850 0.11341829 0.04212850
0.27340459 0.11318544 0.04230807
0.27470546 0.11297816 0.04249757
0.27599154 0.11293667 0.04270859
0.27727763 0.11302331 0.04291978
0.27857850 0.11313094 0.04311719
0.27986459 0.11317889 0.04329666
0.28115068 0.11313799 0.04343987
0.28243677 0.11301534 0.04358048
0.28373764 0.11281446 0.04374554
0.28502373 0.11249991 0.04391452
0.28630981 0.11217040 0.04408377
0.28761068 0.11201047 0.04426979
0.28889677 0.11199298 0.04444539
0.29018286 0.11186513 0.04457766
0.29148373 0.11148196 0.04469551
0.29276982 0.11092210 0.04481398
0.29405591 0.11033079 0.04493719
0.29534200 0.10984491 0.04506585
0.29664287 0.10950963 0.04519619
0.29792895 0.10925710 0.04531937
0.29921504 0.10897067 0.04543065
0.30051591 0.10854811 0.04552292
0.30180200 0.10796690 0.04559968
0.30308809 0.10729073 0.04567486
0.30437418 0.10662378 0.04574658
0.30567505 0.10607107 0.04581943
0.30696114 0.10567061 0.04588697
0.30824722 0.10537895 0.04594282
0.30953331 0.10512711 0.04599497
0.31083418 0.10481181 0.04604464
0.31212027 0.10434171 0.04608711
0.31340636 0.10373170 0.04611499
0.31469245 0.10308736 0.04614087
0.31599332 0.10246183 0.04617318
0.31727941 0.10179556 0.04620381
0.31856549 0.10109116 0.04623759
0.31985158 0.10043212 0.04627235
0.32115245 0.09989678 0.04629933
0.32243854 0.09951913 0.04631918
0.32372463 0.09929789 0.04633576
0.32501072 0.09918252 0.04634925
0.32629681 0.09908523 0.04635744
0.32759768 0.09893111 0.04634970
0.32888376 0.09869142 0.04632991
0.33016985 0.09838287 0.04631246
0.33145594 0.09801289 0.04629475
0.33275681 0.09762690 0.04628347
0.33404290 0.09729847 0.04628859
0.33532899 0.09704034 0.04630499
0.33661508 0.09679983 0.04632141
0.33790116 0.09653562 0.04632727
0.33918725 0.09625204 0.04632361
0.34048812 0.09597851 0.04631350
0.34177421 0.09575019 0.04630046
0.34306030 0.09558782 0.04628602
0.34434639 0.09551288 0.04627129
0.34563247 0.09551828 0.04625997
0.34693335 0.09557984 0.04625948
0.34821943 0.09560916 0.04626098
