# y/t    TKE_mean   TKE_std
0.00000000 0.00229662 0.00274538
0.00502513 0.00212362 0.00249659
0.01005025 0.00202043 0.00234763
0.01507538 0.00199772 0.00231330
0.02010050 0.00197501 0.00227896
0.02512563 0.00195211 0.00224438
0.03015075 0.00192820 0.00220716
0.03517588 0.00190428 0.00216994
0.04020101 0.00188011 0.00213246
0.04522613 0.00185571 0.00209356
0.05025126 0.00183128 0.00205460
0.05527638 0.00180665 0.00201540
0.06030151 0.00178140 0.00197722
0.06532663 0.00175611 0.00193882
0.07035176 0.00173065 0.00190067
0.07537688 0.00170463 0.00186571
0.08040201 0.00167848 0.00183032
0.08542714 0.00165270 0.00179614
0.09045226 0.00162808 0.00176562
0.09547739 0.00160316 0.00173454
0.10050251 0.00157980 0.00170598
0.10552764 0.00155835 0.00168047
0.11055276 0.00153658 0.00165452
0.11557789 0.00151745 0.00163230
0.12060302 0.00149951 0.00161179
0.12562814 0.00148137 0.00159104
0.13065327 0.00146676 0.00157453
0.13567839 0.00145223 0.00155815
0.14070352 0.00143837 0.00154245
0.14572864 0.00142710 0.00152931
0.15075377 0.00141560 0.00151597
0.15577889 0.00140557 0.00150402
0.16080402 0.00139658 0.00149306
0.16582915 0.00138746 0.00148197
0.17085427 0.00138002 0.00147273
0.17587940 0.00137256 0.00146345
0.18090452 0.00136551 0.00145473
0.18592965 0.00135916 0.00144696
0.19095477 0.00135269 0.00143904
0.19597990 0.00134701 0.00143222
0.20100503 0.00134141 0.00142553
0.20603015 0.00133605 0.00141915
0.21105528 0.00133119 0.00141342
0.21608040 0.00132626 0.00140762
0.22110553 0.00132204 0.00140261
0.22613065 0.00131788 0.00139767
0.23115578 0.00131403 0.00139304
0.23618090 0.00131059 0.00138880
0.24120603 0.00130718 0.00138464
0.24623116 0.00130424 0.00138119
0.25125628 0.00130129 0.00137774
0.25628141 0.00129856 0.00137497
0.26130653 0.00129590 0.00137241
0.26633166 0.00129344 0.00137021
0.27135678 0.00129116 0.00136839
0.27638191 0.00128898 0.00136669
0.28140704 0.00128727 0.00136559
0.28643216 0.00128551 0.00136442
0.29145729 0.00128430 0.00136410
0.29648241 0.00128306 0.00136374
0.30150754 0.00128224 0.00136412
0.30653266 0.00128162 0.00136483
0.31155779 0.00128133 0.00136603
0.31658291 0.00128153 0.00136792
0.32160804 0.00128198 0.00137011
0.32663317 0.00128319 0.00137327
0.33165829 0.00128456 0.00137662
0.33668342 0.00128686 0.00138117
0.34170854 0.00128915 0.00138572
0.34673367 0.00129261 0.00139163
0.35175879 0.00129601 0.00139750
0.35678392 0.00130081 0.00140441
0.36180905 0.00130553 0.00141143
0.36683417 0.00131400 0.00141830
0.37185930 0.00132290 0.00142530
0.37688442 0.00134779 0.00142639
0.38190955 0.00137838 0.00142552
0.38693467 0.00148274 0.00139145
0.39195980 0.00161926 0.00134618
0.39698492 0.00209977 0.00116469
0.40201005 0.00267918 0.00101796
0.40703518 0.00440977 0.00094141
0.41206030 0.00643148 0.00166540
0.41708543 0.01066479 0.00295221
0.42211055 0.01573222 0.00473538
0.42713568 0.02301215 0.00605637
0.43216080 0.03118481 0.00745487
0.43718593 0.04045082 0.00712852
0.44221106 0.05003528 0.00690824
0.44723618 0.05916899 0.00636479
0.45226131 0.06836167 0.00763994
0.45728643 0.07581699 0.00986847
0.46231156 0.08338889 0.01269603
0.46733668 0.08881023 0.01490456
0.47236181 0.09404087 0.01709586
0.47738693 0.09772975 0.01865378
0.48241206 0.10092346 0.01999855
0.48743719 0.10315199 0.02090483
0.49246231 0.10478216 0.02152187
0.49748744 0.10585347 0.02186333
0.50251256 0.10638486 0.02192479
0.50753769 0.10663370 0.02184031
0.51256281 0.10651851 0.02154464
0.51758794 0.10630947 0.02119552
0.52261307 0.10601001 0.02077359
0.52763819 0.10575136 0.02036884
0.53266332 0.10561429 0.02001315
0.53768844 0.10561474 0.01973058
0.54271357 0.10577212 0.01953056
0.54773869 0.10614708 0.01947874
0.55276382 0.10662047 0.01949226
0.55778894 0.10734242 0.01976805
0.56281407 0.10811357 0.02014586
0.56783920 0.10900616 0.02079212
0.57286432 0.10990773 0.02169063
0.57788945 0.11082988 0.02280575
0.58291457 0.11164768 0.02441589
0.58793970 0.11242369 0.02619673
0.59296482 0.11292124 0.02865045
0.59798995 0.11320685 0.03143783
0.60301508 0.11321038 0.03467962
0.60804020 0.11263229 0.03856705
0.61306533 0.11187580 0.04265637
0.61809045 0.11020046 0.04745843
0.62311558 0.10826650 0.05229799
0.62814070 0.10580364 0.05728514
0.63316583 0.10303424 0.06164440
0.63819095 0.10017865 0.06550094
0.64321608 0.09731410 0.06806682
0.64824121 0.09436536 0.06957429
0.65326633 0.09139372 0.07054996
0.65829146 0.08771583 0.07022602
0.66331658 0.08362052 0.06982971
0.66834171 0.07878191 0.06916667
0.67336683 0.07296858 0.06828064
0.67839196 0.06684328 0.06743820
0.68341709 0.06034964 0.06639269
0.68844221 0.05430750 0.06446314
0.69346734 0.04845481 0.06215701
0.69849246 0.04345526 0.05828954
0.70351759 0.03877458 0.05349059
0.70854271 0.03430891 0.04802877
0.71356784 0.02989182 0.04184586
0.71859296 0.02549120 0.03561071
0.72361809 0.02116161 0.02943901
0.72864322 0.01720013 0.02382280
0.73366834 0.01381038 0.01902385
0.73869347 0.01071346 0.01464599
0.74371859 0.00874679 0.01186426
0.74874372 0.00714381 0.00959664
0.75376884 0.00599746 0.00797436
0.75879397 0.00539522 0.00712309
0.76381910 0.00492324 0.00645611
0.76884422 0.00461778 0.00602461
0.77386935 0.00442357 0.00575073
0.77889447 0.00426453 0.00552661
0.78391960 0.00414801 0.00536261
0.78894472 0.00405763 0.00523458
0.79396985 0.00397651 0.00511940
0.79899497 0.00390833 0.00502254
0.80402010 0.00384122 0.00492806
0.80904523 0.00377647 0.00483730
0.81407035 0.00370621 0.00473898
0.81909548 0.00363504 0.00463928
0.82412060 0.00353831 0.00450293
0.82914573 0.00343216 0.00435303
0.83417085 0.00328174 0.00414042
0.83919598 0.00311407 0.00390355
0.84422111 0.00294370 0.00366322
0.84924623 0.00277325 0.00342295
0.85427136 0.00265484 0.00325611
0.85929648 0.00257783 0.00314762
0.86432161 0.00252742 0.00307660
0.86934673 0.00250620 0.00304666
0.87437186 0.00248412 0.00301540
0.87939698 0.00245833 0.00297871
0.88442211 0.00243372 0.00294349
0.88944724 0.00241102 0.00291090
0.89447236 0.00239058 0.00288131
0.89949749 0.00237244 0.00285498
0.90452261 0.00235559 0.00283047
0.90954774 0.00234075 0.00280892
0.91457286 0.00232646 0.00278824
0.91959799 0.00231254 0.00276830
0.92462312 0.00230275 0.00275424
0.92964824 0.00229706 0.00274601
0.93467337 0.00228275 0.00272596
0.93969849 0.00226527 0.00270149
0.94472362 0.00224812 0.00267745
0.94974874 0.00223236 0.00265535
0.95477387 0.00221756 0.00263463
0.95979899 0.00220280 0.00261396
0.96482412 0.00218737 0.00259218
0.96984925 0.00217097 0.00256890
0.97487437 0.00215457 0.00254564
0.97989950 0.00213760 0.00252133
0.98492462 0.00211926 0.00249448
0.98994975 0.00210092 0.00246763
0.99497487 0.00211592 0.00248834
1.00000000 0.00229662 0.00274538
