# y/t    Temp_mean   Temp_std
0.00000000 0.86594841 0.00009731
0.00502513 0.86470020 0.00007633
0.01005025 0.86396558 0.00010006
0.01507538 0.86384041 0.00010543
0.02010050 0.86371525 0.00011109
0.02512563 0.86359332 0.00011592
0.03015075 0.86347574 0.00012201
0.03517588 0.86335816 0.00012828
0.04020101 0.86324574 0.00013457
0.04522613 0.86313516 0.00014142
0.05025126 0.86302536 0.00014834
0.05527638 0.86292005 0.00015491
0.06030151 0.86281633 0.00016239
0.06532663 0.86271406 0.00016979
0.07035176 0.86261464 0.00017698
0.07537688 0.86251816 0.00018443
0.08040201 0.86242497 0.00019220
0.08542714 0.86233407 0.00019994
0.09045226 0.86224426 0.00020718
0.09547739 0.86216157 0.00021529
0.10050251 0.86208081 0.00022305
0.10552764 0.86200257 0.00023016
0.11055276 0.86193051 0.00023705
0.11557789 0.86186030 0.00024344
0.12060302 0.86179523 0.00024961
0.12562814 0.86173553 0.00025583
0.13065327 0.86167771 0.00026146
0.13567839 0.86162733 0.00026716
0.14070352 0.86158033 0.00027269
0.14572864 0.86153569 0.00027743
0.15075377 0.86150010 0.00028211
0.15577889 0.86146626 0.00028630
0.16080402 0.86143717 0.00029027
0.16582915 0.86141510 0.00029449
0.17085427 0.86139455 0.00029888
0.17587940 0.86138239 0.00030293
0.18090452 0.86137580 0.00030660
0.18592965 0.86137077 0.00031001
0.19095477 0.86137760 0.00031265
0.19597990 0.86138695 0.00031516
0.20100503 0.86140098 0.00031752
0.20603015 0.86142535 0.00031967
0.21105528 0.86145067 0.00032193
0.21608040 0.86148572 0.00032360
0.22110553 0.86152771 0.00032418
0.22613065 0.86156985 0.00032470
0.23115578 0.86162902 0.00032476
0.23618090 0.86168818 0.00032479
0.24120603 0.86175293 0.00032371
0.24623116 0.86182959 0.00032252
0.25125628 0.86190624 0.00032132
0.25628141 0.86199559 0.00031855
0.26130653 0.86208962 0.00031647
0.26633166 0.86218493 0.00031307
0.27135678 0.86229670 0.00030963
0.27638191 0.86240861 0.00030586
0.28140704 0.86252916 0.00030065
0.28643216 0.86265853 0.00029582
0.29145729 0.86278860 0.00029126
0.29648241 0.86293301 0.00028517
0.30150754 0.86307992 0.00027860
0.30653266 0.86323137 0.00027179
0.31155779 0.86339578 0.00026452
0.31658291 0.86355990 0.00025717
0.32160804 0.86373461 0.00024936
0.32663317 0.86391487 0.00024062
0.33165829 0.86409658 0.00023151
0.33668342 0.86429153 0.00022253
0.34170854 0.86448649 0.00021360
0.34673367 0.86468811 0.00020463
0.35175879 0.86489730 0.00019614
0.35678392 0.86510904 0.00018535
0.36180905 0.86533294 0.00017530
0.36683417 0.86557772 0.00015310
0.37185930 0.86583047 0.00013624
0.37688442 0.86614149 0.00012378
0.38190955 0.86647078 0.00016455
0.38693467 0.86689689 0.00027339
0.39195980 0.86736401 0.00042596
0.39698492 0.86790625 0.00055517
0.40201005 0.86849040 0.00069311
0.40703518 0.86895320 0.00071492
0.41206030 0.86941178 0.00070285
0.41708543 0.86950501 0.00065871
0.42211055 0.86947028 0.00061810
0.42713568 0.86901063 0.00078600
0.43216080 0.86837491 0.00103615
0.43718593 0.86737475 0.00144847
0.44221106 0.86626805 0.00192499
0.44723618 0.86490802 0.00256681
0.45226131 0.86351839 0.00324732
0.45728643 0.86199530 0.00404792
0.46231156 0.86046430 0.00486081
0.46733668 0.85889169 0.00574328
0.47236181 0.85731899 0.00663454
0.47738693 0.85576546 0.00755615
0.48241206 0.85424348 0.00847705
0.48743719 0.85277278 0.00939653
0.49246231 0.85138834 0.01028957
0.49748744 0.85006543 0.01116287
