# y/t    WL_mean   WL_std
0.00000000 0.99999071 0.00018891
0.00502513 0.99995603 0.00013985
0.01005025 0.99993728 0.00010822
0.01507538 0.99993728 0.00010618
0.02010050 0.99993728 0.00010415
0.02512563 0.99993961 0.00010172
0.03015075 0.99993961 0.00009942
0.03517588 0.99993961 0.00009714
0.04020101 0.99993745 0.00009848
0.04522613 0.99994113 0.00009329
0.05025126 0.99994458 0.00008795
0.05527638 0.99994725 0.00008162
0.06030151 0.99995549 0.00007305
0.06532663 0.99996420 0.00006542
0.07035176 0.99997409 0.00005885
0.07537688 0.99998630 0.00005041
0.08040201 0.99999728 0.00004029
0.08542714 1.00000749 0.00003042
0.09045226 1.00001754 0.00002368
0.09547739 1.00002723 0.00001747
0.10050251 1.00003577 0.00001327
0.10552764 1.00004257 0.00001076
0.11055276 1.00004722 0.00000696
0.11557789 1.00005004 0.00000424
0.12060302 1.00005178 0.00000293
0.12562814 1.00005331 0.00000321
0.13065327 1.00005164 0.00000298
0.13567839 1.00004998 0.00000431
0.14070352 1.00004878 0.00000569
0.14572864 1.00004871 0.00000564
0.15075377 1.00004550 0.00000386
0.15577889 1.00004306 0.00000425
0.16080402 1.00004125 0.00000574
0.16582915 1.00003955 0.00000653
0.17085427 1.00003949 0.00000657
0.17587940 1.00003829 0.00000487
0.18090452 1.00003717 0.00000329
0.18592965 1.00003717 0.00000329
0.19095477 1.00003717 0.00000329
0.19597990 1.00003588 0.00000146
0.20100503 1.00003484 0.00000000
0.20603015 1.00003484 0.00000000
0.21105528 1.00003484 0.00000000
0.21608040 1.00003277 0.00000293
0.22110553 1.00003252 0.00000329
0.22613065 1.00003252 0.00000329
0.23115578 1.00003198 0.00000406
0.23618090 1.00003089 0.00000559
0.24120603 1.00003020 0.00000657
0.24623116 1.00003020 0.00000657
0.25125628 1.00003020 0.00000657
0.25628141 1.00003094 0.00000715
0.26130653 1.00003196 0.00000811
0.26633166 1.00003241 0.00000884
0.27135678 1.00003121 0.00001046
0.27638191 1.00003020 0.00001184
0.28140704 1.00003089 0.00001215
0.28643216 1.00003237 0.00001304
0.29145729 1.00003252 0.00001314
0.29648241 1.00003252 0.00001314
0.30150754 1.00003252 0.00001314
0.30653266 1.00003178 0.00001419
0.31155779 1.00003020 0.00001643
0.31658291 1.00003020 0.00001643
0.32160804 1.00002989 0.00001686
0.32663317 1.00002881 0.00001839
0.33165829 1.00002779 0.00001983
0.33668342 1.00002667 0.00002162
0.34170854 1.00002555 0.00002369
0.34673367 1.00003078 0.00003038
0.35175879 1.00003655 0.00003903
0.35678392 1.00004373 0.00004852
0.36180905 1.00005378 0.00006094
0.36683417 1.00003445 0.00005345
0.37185930 1.00001433 0.00007786
0.37688442 0.99988175 0.00020786
0.38190955 0.99970753 0.00040541
0.38693467 0.99923063 0.00084342
0.39195980 0.99862057 0.00139827
0.39698492 0.99742658 0.00216331
0.40201005 0.99603903 0.00304728
0.40703518 0.99389604 0.00385757
0.41206030 0.99153263 0.00476749
0.41708543 0.98852786 0.00532357
0.42211055 0.98527106 0.00585075
0.42713568 0.98162803 0.00587041
0.43216080 0.97782165 0.00574040
0.43718593 0.97385405 0.00517625
0.44221106 0.96983948 0.00458941
0.44723618 0.96587950 0.00399477
0.45226131 0.96190072 0.00373011
0.45728643 0.95816186 0.00388672
0.46231156 0.95439651 0.00445231
0.46733668 0.95091033 0.00528923
0.47236181 0.94744570 0.00629022
0.47738693 0.94422018 0.00737934
0.48241206 0.94110021 0.00851553
0.48743719 0.93817171 0.00967172
0.49246231 0.93542928 0.01081709
0.49748744 0.93284312 0.01195276
0.50251256 0.93052552 0.01302848
0.50753769 0.92833998 0.01407748
0.51256281 0.92650757 0.01502069
0.51758794 0.92476703 0.01593379
0.52261307 0.92347943 0.01670734
0.52763819 0.92230368 0.01744776
0.53266332 0.92145200 0.01809371
0.53768844 0.92078729 0.01869452
0.54271357 0.92034018 0.01923901
0.54773869 0.92014747 0.01973818
0.55276382 0.92007172 0.02021763
0.55778894 0.92032032 0.02065683
0.56281407 0.92066981 0.02108552
0.56783920 0.92126254 0.02149509
0.57286432 0.92203371 0.02188541
0.57788945 0.92295653 0.02226337
0.58291457 0.92416070 0.02259679
0.58793970 0.92545425 0.02292172
0.59296482 0.92707801 0.02318301
0.59798995 0.92885142 0.02341795
0.60301508 0.93082417 0.02361093
0.60804020 0.93307358 0.02374780
0.61306533 0.93540405 0.02387280
0.61809045 0.93808123 0.02393165
0.62311558 0.94085894 0.02399170
0.62814070 0.94384349 0.02402326
0.63316583 0.94707145 0.02404821
0.63819095 0.95042765 0.02407551
0.64321608 0.95402232 0.02410867
0.64824121 0.95776417 0.02412206
0.65326633 0.96160547 0.02414024
0.65829146 0.96554046 0.02395737
0.66331658 0.96943735 0.02366025
0.66834171 0.97325304 0.02315951
0.67336683 0.97677311 0.02234060
0.67839196 0.98005516 0.02140737
0.68341709 0.98294133 0.02023399
0.68844221 0.98528927 0.01875126
0.69346734 0.98743507 0.01715195
0.69849246 0.98913770 0.01523127
0.70351759 0.99069977 0.01321682
0.70854271 0.99215370 0.01114447
0.71356784 0.99350063 0.00911327
0.71859296 0.99478142 0.00724476
0.72361809 0.99599211 0.00551740
0.72864322 0.99699802 0.00411078
0.73366834 0.99781071 0.00296309
0.73869347 0.99851518 0.00196633
0.74371859 0.99893331 0.00136562
0.74874372 0.99928042 0.00087475
0.75376884 0.99952757 0.00051624
0.75879397 0.99967023 0.00031363
0.76381910 0.99978406 0.00015000
0.76884422 0.99986216 0.00003327
0.77386935 0.99991579 0.00004361
0.77889447 0.99996150 0.00011090
0.78391960 0.99999626 0.00016225
0.78894472 1.00001934 0.00019880
0.79396985 1.00004028 0.00022945
0.79899497 1.00005543 0.00025087
0.80402010 1.00006745 0.00026987
0.80904523 1.00007499 0.00028344
0.81407035 1.00007952 0.00029291
0.81909548 1.00008130 0.00029731
0.82412060 1.00008130 0.00030169
0.82914573 1.00007950 0.00029967
0.83417085 1.00007620 0.00029995
0.83919598 1.00007475 0.00029790
0.84422111 1.00007237 0.00029453
0.84924623 1.00006925 0.00029012
0.85427136 1.00006375 0.00028234
0.85929648 1.00005718 0.00027532
0.86432161 1.00005166 0.00027016
0.86934673 1.00004472 0.00026306
0.87437186 1.00003745 0.00025573
0.87939698 1.00002892 0.00024667
0.88442211 1.00002208 0.00023879
0.88944724 1.00001420 0.00023184
0.89447236 1.00000926 0.00022502
0.89949749 0.99999916 0.00021786
0.90452261 0.99998958 0.00021109
0.90954774 0.99998338 0.00020529
0.91457286 0.99997554 0.00019832
0.91959799 0.99997632 0.00019117
0.92462312 0.99998667 0.00018833
0.92964824 0.99999495 0.00019039
0.93467337 0.99998299 0.00018500
0.93969849 0.99997128 0.00017936
0.94472362 0.99994549 0.00016863
0.94974874 0.99992648 0.00016254
0.95477387 0.99992026 0.00015876
0.95979899 0.99992368 0.00015392
0.96482412 0.99992852 0.00014909
0.96984925 0.99993240 0.00014487
0.97487437 0.99993523 0.00014087
0.97989950 0.99993953 0.00013641
0.98492462 0.99993710 0.00013104
0.98994975 0.99993458 0.00012568
0.99497487 0.99994097 0.00013121
1.00000000 0.99999071 0.00018891
