# s/c   M_is_mean    M_is_std
0.00000000 0.01893681 0.00091114
0.00130087 0.02924598 0.00040477
0.00260174 0.03707343 0.00019251
0.00390261 0.04375483 0.00009072
0.00520348 0.04973690 0.00008818
0.00650435 0.05523238 0.00012649
0.00780522 0.06036148 0.00016118
0.00910609 0.06519964 0.00018739
0.01040697 0.06979777 0.00020619
0.01170784 0.07419212 0.00021909
0.01300871 0.07840965 0.00022739
0.01430958 0.08247113 0.00023212
0.01561045 0.08639300 0.00023408
0.01691132 0.09018864 0.00023393
0.01821219 0.09386917 0.00023216
0.01951306 0.09744403 0.00022921
0.02081393 0.10092135 0.00022539
0.02211480 0.10430826 0.00022098
0.02341567 0.10761110 0.00021620
0.02470176 0.11083557 0.00021122
0.02600263 0.11398688 0.00020617
0.02730350 0.11706978 0.00020116
0.02860437 0.12008870 0.00019628
0.02990524 0.12304779 0.00019158
0.03120611 0.12595092 0.00018709
0.03250698 0.12880179 0.00018284
0.03380786 0.13160389 0.00017885
0.03510873 0.13436057 0.00017510
0.03640960 0.13707503 0.00017160
0.03771047 0.13975037 0.00016832
0.03901134 0.14238956 0.00016527
0.04029743 0.14499548 0.00016241
0.04159830 0.14757090 0.00015974
0.04289917 0.15011854 0.00015725
0.04420004 0.15264101 0.00015492
0.04550091 0.15514086 0.00015274
0.04680178 0.15762056 0.00015073
0.04810265 0.16008252 0.00014888
0.04940352 0.16252907 0.00014721
0.05068961 0.16496248 0.00014572
0.05199048 0.16738497 0.00014443
0.05329135 0.16979866 0.00014337
0.05459222 0.17220565 0.00014255
0.05589309 0.17460794 0.00014201
0.05719396 0.17700749 0.00014176
0.05849483 0.17940618 0.00014184
0.05978092 0.18180584 0.00014225
0.06108179 0.18420822 0.00014302
0.06238266 0.18661503 0.00014417
0.06368353 0.18902789 0.00014569
0.06498440 0.19144837 0.00014759
0.06628528 0.19387796 0.00014986
0.06757136 0.19631811 0.00015250
0.06887223 0.19877017 0.00015549
0.07017310 0.20123546 0.00015880
0.07147398 0.20371521 0.00016242
0.07277485 0.20621059 0.00016631
0.07407572 0.20872271 0.00017045
0.07536180 0.21125260 0.00017481
0.07666268 0.21380124 0.00017935
0.07796355 0.21636954 0.00018405
0.07926442 0.21895834 0.00018887
0.08056529 0.22156843 0.00019379
0.08185138 0.22420052 0.00019876
0.08315225 0.22685527 0.00020378
0.08445312 0.22953328 0.00020881
0.08575399 0.23223508 0.00021383
0.08704008 0.23496115 0.00021882
0.08834095 0.23771191 0.00022375
0.08964182 0.24048771 0.00022862
0.09094269 0.24328887 0.00023340
0.09224356 0.24611563 0.00023809
0.09352965 0.24896821 0.00024267
0.09483052 0.25184674 0.00024713
0.09613139 0.25475132 0.00025146
0.09743226 0.25768202 0.00025565
0.09871835 0.26063882 0.00025971
0.10001922 0.26362170 0.00026363
0.10132009 0.26663058 0.00026741
0.10260618 0.26966532 0.00027104
0.10390705 0.27272577 0.00027453
0.10520792 0.27581172 0.00027787
0.10650879 0.27892294 0.00028109
0.10779488 0.28205916 0.00028416
0.10909575 0.28522006 0.00028712
0.11039662 0.28840532 0.00028994
0.11169749 0.29161457 0.00029266
0.11298358 0.29484741 0.00029527
0.11428445 0.29810342 0.00029777
0.11558532 0.30138216 0.00030019
0.11687141 0.30468316 0.00030252
0.11817228 0.30800593 0.00030478
0.11947315 0.31134996 0.00030697
0.12075924 0.31471471 0.00030910
0.12206011 0.31809965 0.00031119
0.12336098 0.32150422 0.00031324
0.12466185 0.32492782 0.00031525
0.12594794 0.32836988 0.00031724
0.12724881 0.33182979 0.00031921
0.12854968 0.33530694 0.00032118
0.12983577 0.34067963 0.00032935
0.13113664 0.34437566 0.00033175
0.13243751 0.34804825 0.00033144
0.13372359 0.35171393 0.00033073
0.13502447 0.35538178 0.00033084
0.13632534 0.35904649 0.00033035
0.13761142 0.36270262 0.00032883
0.13891229 0.36635441 0.00032573
0.14019838 0.37003727 0.00032468
0.14149925 0.37380973 0.00033517
0.14280012 0.37769261 0.00035802
0.14408621 0.38162808 0.00038481
0.14538708 0.38550678 0.00040261
0.14668795 0.38926822 0.00040377
0.14797404 0.39291756 0.00039359
0.14927491 0.39648875 0.00038003
0.15056100 0.40004117 0.00036978
0.15186187 0.40361071 0.00036620
0.15316274 0.40717309 0.00036533
0.15444883 0.41068862 0.00036148
0.15574970 0.41416597 0.00035538
0.15703579 0.41764673 0.00035170
0.15833666 0.42111911 0.00034831
0.15963753 0.42454015 0.00033888
0.16092362 0.42789890 0.00032114
0.16222449 0.43129389 0.00030707
0.16351058 0.43486478 0.00032113
0.16481145 0.43859561 0.00036226
0.16611232 0.44238062 0.00040790
0.16739841 0.44613435 0.00044031
0.16869928 0.44981549 0.00045283
0.16998537 0.45342473 0.00045188
0.17128624 0.45697183 0.00044450
0.17257232 0.46046886 0.00043431
0.17387319 0.46392775 0.00042344
0.17517407 0.46736014 0.00041270
0.17646015 0.47077654 0.00040245
0.17776102 0.47418462 0.00039258
0.17904711 0.47758731 0.00038243
0.18034798 0.48098849 0.00037185
0.18163407 0.48439250 0.00036130
0.18293494 0.48781458 0.00035382
0.18422103 0.49128613 0.00035616
0.18552190 0.49482552 0.00037124
0.18680799 0.49841678 0.00039411
0.18810886 0.50199649 0.00040652
0.18939495 0.50550331 0.00039298
0.19069582 0.50894042 0.00035976
0.19199669 0.51240645 0.00033053
0.19328278 0.51604349 0.00033726
0.19458365 0.51984646 0.00037788
0.19586974 0.52372260 0.00042381
0.19717061 0.52762301 0.00045882
0.19845669 0.53152879 0.00047832
0.19975757 0.53546136 0.00049319
0.20104365 0.53942180 0.00050667
0.20234452 0.54336414 0.00050523
0.20363061 0.54725375 0.00048180
0.20493148 0.55106990 0.00043843
0.20621757 0.55488106 0.00039355
0.20750366 0.55883014 0.00037793
0.20880453 0.56294506 0.00039553
0.21009062 0.56716588 0.00042876
0.21139149 0.57142621 0.00045616
0.21267758 0.57568781 0.00046649
0.21397845 0.57996723 0.00046709
0.21526454 0.58429199 0.00046759
0.21656541 0.58867777 0.00047396
0.21785149 0.59313223 0.00048789
0.21915236 0.59764874 0.00050735
0.22043845 0.60221034 0.00052845
0.22173932 0.60679560 0.00054513
0.22302541 0.61138907 0.00055508
0.22432628 0.61598699 0.00055925
