# y/t    d_mean   d_std
0.00000000 0.57411985 0.00229230
0.00502513 0.57962076 0.00255104
0.01005025 0.58298157 0.00270012
0.01507538 0.58383739 0.00271291
0.02010050 0.58469321 0.00272631
0.02512563 0.58559759 0.00274019
0.03015075 0.58652500 0.00275340
0.03517588 0.58745242 0.00276697
0.04020101 0.58842026 0.00278023
0.04522613 0.58938713 0.00279448
0.05025126 0.59035818 0.00280885
0.05527638 0.59135223 0.00282375
0.06030151 0.59234116 0.00284041
0.06532663 0.59333869 0.00285760
0.07035176 0.59434961 0.00287606
0.07537688 0.59536057 0.00289700
0.08040201 0.59638113 0.00291955
0.08542714 0.59740786 0.00294366
0.09045226 0.59843652 0.00296943
0.09547739 0.59946694 0.00299687
0.10050251 0.60049852 0.00302464
0.10552764 0.60152914 0.00305273
0.11055276 0.60254874 0.00308168
0.11557789 0.60356627 0.00310955
0.12060302 0.60457177 0.00313638
0.12562814 0.60556321 0.00316254
0.13065327 0.60654744 0.00318605
0.13567839 0.60750829 0.00320691
0.14070352 0.60845876 0.00322618
0.14572864 0.60940250 0.00324307
0.15075377 0.61031995 0.00325633
0.15577889 0.61123415 0.00326843
0.16080402 0.61214148 0.00327896
0.16582915 0.61303981 0.00328808
0.17085427 0.61393555 0.00329726
0.17587940 0.61483151 0.00330780
0.18090452 0.61572723 0.00331962
0.18592965 0.61662232 0.00333227
0.19095477 0.61752724 0.00335091
0.19597990 0.61843243 0.00337089
0.20100503 0.61934152 0.00339361
0.20603015 0.62025941 0.00342251
0.21105528 0.62117734 0.00345224
0.21608040 0.62210405 0.00348662
0.22110553 0.62303385 0.00352427
0.22613065 0.62396351 0.00356202
0.23115578 0.62490398 0.00360399
0.23618090 0.62584358 0.00364582
0.24120603 0.62678667 0.00368767
0.24623116 0.62773583 0.00372894
0.25125628 0.62868498 0.00377024
0.25628141 0.62964337 0.00380876
0.26130653 0.63060518 0.00384579
0.26633166 0.63156893 0.00388141
0.27135678 0.63254879 0.00391145
0.27638191 0.63352875 0.00394128
0.28140704 0.63452005 0.00396692
0.28643216 0.63552358 0.00398913
0.29145729 0.63652721 0.00401040
0.29648241 0.63755474 0.00402630
0.30150754 0.63858548 0.00404069
0.30653266 0.63962344 0.00405347
0.31155779 0.64068308 0.00406226
0.31658291 0.64174191 0.00407089
0.32160804 0.64281990 0.00407694
0.32663317 0.64390602 0.00408190
0.33165829 0.64499363 0.00408695
0.33668342 0.64610401 0.00408957
0.34170854 0.64721439 0.00409222
0.34673367 0.64833188 0.00409458
0.35175879 0.64946147 0.00409615
0.35678392 0.65058637 0.00409801
0.36180905 0.65172802 0.00409972
0.36683417 0.65286623 0.00410261
0.37185930 0.65400804 0.00410630
0.37688442 0.65515143 0.00411138
0.38190955 0.65629298 0.00411678
0.38693467 0.65741965 0.00411183
