# s/c   P_w_mean    P_w_std
0.00000000 0.99993642 0.00004926
0.00130087 0.99955281 0.00004361
0.00260174 0.99915990 0.00003875
0.00390261 0.99875856 0.00003466
0.00520348 0.99834961 0.00003131
0.00650435 0.99793383 0.00002870
0.00780522 0.99751191 0.00002678
0.00910609 0.99708449 0.00002554
0.01040697 0.99665218 0.00002489
0.01170784 0.99621550 0.00002479
0.01300871 0.99577494 0.00002512
0.01430958 0.99533093 0.00002582
0.01561045 0.99488387 0.00002680
0.01691132 0.99443410 0.00002800
0.01821219 0.99398190 0.00002935
0.01951306 0.99352754 0.00003083
0.02081393 0.99307122 0.00003239
0.02211480 0.99261311 0.00003402
0.02341567 0.99215335 0.00003569
0.02470176 0.99169202 0.00003738
0.02600263 0.99122920 0.00003909
0.02730350 0.99076491 0.00004079
0.02860437 0.99029913 0.00004248
0.02990524 0.98983184 0.00004415
0.03120611 0.98936296 0.00004579
0.03250698 0.98889240 0.00004739
0.03380786 0.98842005 0.00004895
0.03510873 0.98794574 0.00005046
0.03640960 0.98746932 0.00005191
0.03771047 0.98699059 0.00005329
0.03901134 0.98650933 0.00005461
0.04029743 0.98602531 0.00005587
0.04159830 0.98553827 0.00005705
0.04289917 0.98504796 0.00005815
0.04420004 0.98455406 0.00005918
0.04550091 0.98405630 0.00006013
0.04680178 0.98355434 0.00006100
0.04810265 0.98304786 0.00006179
0.04940352 0.98253651 0.00006251
0.05068961 0.98201996 0.00006315
0.05199048 0.98149782 0.00006373
0.05329135 0.98096975 0.00006423
0.05459222 0.98043534 0.00006466
0.05589309 0.97989423 0.00006503
0.05719396 0.97934603 0.00006535
0.05849483 0.97879033 0.00006561
0.05978092 0.97822675 0.00006582
0.06108179 0.97765487 0.00006600
0.06238266 0.97707431 0.00006613
0.06368353 0.97648464 0.00006624
0.06498440 0.97588549 0.00006632
0.06628528 0.97527642 0.00006639
0.06757136 0.97465706 0.00006646
0.06887223 0.97402700 0.00006652
0.07017310 0.97338583 0.00006660
0.07147398 0.97273318 0.00006669
0.07277485 0.97206864 0.00006681
0.07407572 0.97139185 0.00006696
0.07536180 0.97070242 0.00006716
0.07666268 0.96999997 0.00006741
0.07796355 0.96928415 0.00006772
0.07926442 0.96855460 0.00006810
0.08056529 0.96781097 0.00006856
0.08185138 0.96705293 0.00006910
0.08315225 0.96628013 0.00006974
0.08445312 0.96549226 0.00007047
0.08575399 0.96468901 0.00007132
0.08704008 0.96387008 0.00007227
0.08834095 0.96303517 0.00007334
0.08964182 0.96218402 0.00007453
0.09094269 0.96131635 0.00007584
0.09224356 0.96043192 0.00007729
0.09352965 0.95953047 0.00007886
0.09483052 0.95861178 0.00008057
0.09613139 0.95767564 0.00008241
0.09743226 0.95672184 0.00008439
0.09871835 0.95575019 0.00008651
0.10001922 0.95476051 0.00008876
0.10132009 0.95375266 0.00009115
0.10260618 0.95272647 0.00009367
0.10390705 0.95168182 0.00009633
0.10520792 0.95061859 0.00009913
0.10650879 0.94953666 0.00010206
0.10779488 0.94843597 0.00010512
0.10909575 0.94731641 0.00010831
0.11039662 0.94617795 0.00011163
0.11169749 0.94502053 0.00011507
0.11298358 0.94384412 0.00011864
0.11428445 0.94264871 0.00012233
0.11558532 0.94143428 0.00012614
0.11687141 0.94020086 0.00013006
0.11817228 0.93894848 0.00013410
0.11947315 0.93767716 0.00013825
0.12075924 0.93638697 0.00014250
0.12206011 0.93507798 0.00014686
0.12336098 0.93375026 0.00015132
0.12466185 0.93240392 0.00015587
0.12594794 0.93103906 0.00016052
0.12724881 0.92965581 0.00016525
0.12854968 0.92825429 0.00017006
0.12983577 0.92680347 0.00017495
0.13113664 0.92529155 0.00018396
0.13243751 0.92377148 0.00019173
0.13372359 0.92224140 0.00019830
0.13502447 0.92069743 0.00020385
0.13632534 0.91914164 0.00020897
0.13761142 0.91757604 0.00021355
