# s/c   h_mean    h_std
0.00000000 552.26850195 110.19831912
0.00130087 552.41545604 110.25034272
0.00260174 552.38399109 110.41087731
0.00390261 552.18659984 110.67355325
0.00520348 551.83527526 111.03223567
0.00650435 551.34152178 111.48101701
0.00780522 550.71636657 112.01420962
0.00910609 549.97037048 112.62633857
0.01040697 549.11363909 113.31213466
0.01170784 548.15583346 114.06652760
0.01300871 547.10618087 114.88463958
0.01430958 545.97348541 115.76177905
0.01561045 544.76613842 116.69343483
0.01691132 543.49212888 117.67527049
0.01821219 542.15905361 118.70311901
0.01951306 540.77412740 119.77297773
0.02081393 539.34419304 120.88100350
0.02211480 537.87573113 122.02350813
0.02341567 536.37486990 123.19695397
0.02470176 534.84739485 124.39794974
0.02600263 533.29875824 125.62324649
0.02730350 531.73408853 126.86973372
0.02860437 530.15819966 128.13443565
0.02990524 528.57560024 129.41450754
0.03120611 526.99050256 130.70723222
0.03250698 525.40683159 132.01001660
0.03380786 523.82823375 133.32038834
0.03510873 522.25808561 134.63599251
0.03640960 520.69950252 135.95458835
0.03771047 519.15534703 137.27404615
0.03901134 517.62823725 138.59234399
0.04029743 516.12055508 139.90756477
0.04159830 514.63445433 141.21789305
0.04289917 513.17186870 142.52161207
0.04420004 511.73451967 143.81710075
0.04550091 510.32392425 145.10283076
0.04680178 508.94140260 146.37736353
0.04810265 507.58808560 147.63934742
0.04940352 506.26492219 148.88751484
0.05068961 504.97268674 150.12067939
0.05199048 503.71198611 151.33773310
0.05329135 502.48326681 152.53764362
0.05459222 501.28682186 153.71945152
0.05589309 500.12279762 154.88226756
0.05719396 498.99120051 156.02527004
0.05849483 497.89190354 157.14770216
0.05978092 496.82465284 158.24886941
0.06108179 495.78907394 159.32813703
0.06238266 494.78467802 160.38492745
0.06368353 493.81086803 161.41871784
0.06498440 492.86694464 162.42903764
0.06628528 491.95211215 163.41546617
0.06757136 491.06548424 164.37763024
0.06887223 490.20608956 165.31520183
0.07017310 489.37287732 166.22789583
0.07147398 488.56472262 167.11546776
0.07277485 487.78043178 167.97771161
0.07407572 487.01874746 168.81445767
0.07536180 486.27835376 169.62557040
0.07666268 485.55788111 170.41094641
0.07796355 484.85591106 171.17051241
0.07926442 484.17098104 171.90422325
0.08056529 483.50158887 172.61206000
0.08185138 482.84619723 173.29402804
0.08315225 482.20323804 173.95015530
0.08445312 481.57111661 174.58049038
0.08575399 480.94821580 175.18510090
0.08704008 480.33289997 175.76407178
0.08834095 479.72351889 176.31750359
0.08964182 479.11841142 176.84551096
0.09094269 478.51590920 177.34822107
0.09224356 477.91434013 177.82577214
0.09352965 477.31203179 178.27831195
0.09483052 476.70731470 178.70599652
0.09613139 476.09852546 179.10898869
0.09743226 475.48400983 179.48745686
0.09871835 474.86212565 179.84157373
0.10001922 474.23124559 180.17151510
0.10132009 473.58975991 180.47745874
0.10260618 472.93607900 180.75958321
0.10390705 472.26863579 181.01806691
0.10520792 471.58588816 181.25308696
0.10650879 470.88632110 181.46481833
0.10779488 470.16844883 181.65343285
0.10909575 469.43081676 181.81909838
0.11039662 468.67200338 181.96197796
0.11169749 467.89062199 182.08222907
0.11298358 467.08532230 182.18000282
0.11428445 466.25479201 182.25544333
0.11558532 465.39775810 182.30868706
0.11687141 464.51298819 182.33986216
0.11817228 463.59929166 182.34908797
0.11947315 462.65552065 182.33647446
0.12075924 461.68057106 182.30212176
0.12206011 460.67338326 182.24611972
0.12336098 459.63294286 182.16854750
0.12466185 458.55828120 182.06947322
0.12594794 457.44847583 181.94895360
0.12724881 456.30265086 181.80703375
0.12854968 455.11997712 181.64374682
0.12983577 453.88440042 181.45300851
0.13113664 453.51766225 181.26487262
0.13243751 452.73206107 181.01373027
0.13372359 451.54736719 180.77491149
0.13502447 450.32224102 180.57240572
0.13632534 449.05765552 180.38511897
0.13761142 447.78438916 180.19622977
0.13891229 446.40581168 179.97812362
0.14019838 444.76813393 179.68966767
0.14149925 442.73256104 179.27760743
0.14280012 440.41182930 178.77665566
0.14408621 438.03560772 178.26538005
0.14538708 435.80444406 177.82199341
0.14668795 433.87565194 177.47259611
0.14797404 432.14933903 177.15045375
0.14927491 430.41958839 176.80741811
0.15056100 428.51016053 176.40244826
0.15186187 426.45841632 175.94742111
0.15316274 424.41327433 175.48681802
0.15444883 422.44659069 175.02674950
0.15574970 420.46354767 174.52701331
0.15703579 418.39923253 173.96854092
0.15833666 416.42752552 173.39209573
0.15963753 414.78725810 172.84341507
0.16092362 413.19237366 172.25829790
0.16222449 411.07845596 171.50081171
0.16351058 408.29952088 170.52468183
0.16481145 405.17665918 169.43380405
0.16611232 402.09449632 168.35766913
0.16739841 399.17411971 167.36515368
0.16869928 396.40192237 166.44162233
0.16998537 393.68693239 165.54245419
0.17128624 390.99031999 164.65614359
0.17257232 388.30818645 163.76539590
0.17387319 385.66433371 162.85909521
0.17517407 383.11007155 161.92737115
0.17646015 380.68911691 160.96038856
0.17776102 378.43538761 159.95536233
0.17904711 376.31030368 158.90518568
0.18034798 374.26582435 157.81630719
0.18163407 372.18835678 156.68027426
0.18293494 369.92986997 155.48215550
0.18422103 367.34692287 154.19258550
0.18552190 364.44757942 152.81326724
0.18680799 361.43357543 151.40535054
0.18810886 358.66324918 150.08397664
0.18939495 356.41346502 148.87766738
0.19069582 354.24266077 147.64012730
0.19199669 351.51949123 146.21678021
0.19328278 348.08708891 144.55405003
0.19458365 344.24756825 142.76579370
0.19586974 340.35996299 140.99353908
0.19717061 336.50038922 139.26954922
0.19845669 332.64083239 137.55377801
0.19975757 328.73184329 135.80123473
0.20104365 324.79581948 134.03059368
0.20234452 320.99519577 132.31989573
0.20363061 317.54294422 130.73212784
0.20493148 314.23786039 129.14763153
0.20621757 310.54239755 127.42313953
0.20750366 306.11530849 125.48426154
0.20880453 301.06994214 123.36504601
0.21009062 295.72109222 121.20751244
0.21139149 290.34292559 119.10757581
0.21267758 285.12252062 117.06719649
0.21397845 280.05144364 115.00520254
0.21526454 274.93205483 112.85318314
0.21656541 269.53963799 110.58763464
0.21785149 263.85259701 108.24626972
0.21915236 257.93686030 105.85266482
0.22043845 251.88590655 103.43593294
0.22173932 245.78252305 101.02313620
0.22302541 239.68880294 98.63105152
0.22432628 233.54146943 96.22624424
0.22561237 227.18665830 93.75304072
0.22689846 220.55291824 91.18125818
0.22819933 213.58032529 88.49367628
0.22948542 206.30540949 85.73827291
0.23078629 198.97384643 83.00156489
0.23207238 191.79240563 80.31165716
0.23337325 184.84332730 77.67279611
0.23465933 178.06086360 75.08541755
0.23594542 171.27121245 72.54697547
0.23724629 164.37329317 70.06256790
0.23853238 157.45613142 67.63003111
0.23983325 150.66906488 65.21658350
0.24111934 144.01460697 62.77268276
0.24240543 137.48619240 60.29495682
0.24370630 130.98707245 57.78082502
0.24499239 124.33143158 55.24440746
0.24629326 117.58089229 52.74725735
0.24757935 110.93559120 50.32775289
0.24886543 104.49223252 47.98335911
0.25016630 98.32927186 45.71449539
0.25145239 92.39714483 43.48527251
0.25275326 86.44544307 41.24608512
0.25403935 80.34312375 38.99872500
0.25532544 74.17148890 36.75890059
0.25662631 68.03790350 34.53443824
0.25791240 62.06678760 32.35511936
0.25919849 56.37934316 30.26403755
0.26049936 51.05302589 28.28349649
0.26178545 46.13540103 26.41321333
0.26307153 41.56009032 24.62029256
0.26437240 37.03294779 22.82787254
0.26565849 32.31579800 20.96786014
0.26695936 27.37425498 18.99770943
0.26824545 22.44602260 16.96117270
0.26953154 17.79495463 14.94557540
0.27083241 13.43874498 13.04574275
0.27211850 9.47382743 11.37031008
0.27340459 5.93544316 9.91078602
0.27470546 2.53729890 8.52176152
0.27599154 -0.98860257 7.07613903
0.27727763 -4.67662124 5.53804980
0.27857850 -8.39702299 3.94586907
0.27986459 -11.89262200 2.39994342
0.28115068 -14.84733787 1.02121605
0.28243677 -17.21404721 0.28482645
0.28373764 -19.51840445 1.39303894
0.28502373 -22.04837776 2.43261421
0.28630981 -24.71846260 3.42815383
0.28761068 -27.25261041 4.47757129
0.28889677 -29.30423082 5.54755901
0.29018286 -31.02987584 6.55437371
0.29148373 -32.56499238 7.39357043
0.29276982 -33.76317727 8.00494936
0.29405591 -34.61318361 8.46721231
0.29534200 -35.29833167 8.91102389
0.29664287 -35.96621513 9.40322066
0.29792895 -36.64296610 9.94398889
0.29921504 -37.25945723 10.46781653
0.30051591 -37.69255385 10.88554230
0.30180200 -37.84013435 11.14768597
0.30308809 -37.72660189 11.27369968
0.30437418 -37.45727467 11.33880098
0.30567505 -37.06213938 11.40244836
0.30696114 -36.62009403 11.51383811
0.30824722 -36.19499895 11.67687920
0.30953331 -35.72288214 11.84876446
0.31083418 -35.17599906 11.99430978
0.31212027 -34.53350148 12.06311694
0.31340636 -33.69677181 12.00207703
0.31469245 -32.45923549 11.77833251
0.31599332 -30.78131838 11.42154774
0.31727941 -28.86150396 10.98304565
0.31856549 -26.79843379 10.49394175
0.31985158 -24.62230212 9.98352716
0.32115245 -22.52485000 9.53389825
0.32243854 -20.71165548 9.20015530
0.32372463 -19.28379668 9.00507129
0.32501072 -18.21002919 8.93850477
0.32629681 -17.32515834 8.92959422
0.32759768 -16.46250776 8.91313119
0.32888376 -15.50863397 8.84500540
0.33016985 -14.39247134 8.70212003
0.33145594 -13.09346219 8.48129747
0.33275681 -11.70624946 8.23164190
0.33404290 -10.38815239 8.01566471
0.33532899 -9.23417996 7.86676171
0.33661508 -8.21699968 7.76539692
0.33790116 -7.25416959 7.68323878
0.33918725 -6.23484559 7.58355853
0.34048812 -5.13219754 7.44790887
0.34177421 -4.00714635 7.29036505
0.34306030 -2.95598621 7.12248241
0.34434639 -2.10014816 6.97838225
0.34563247 -1.55948509 6.88103849
0.34693335 -1.33074251 6.85022436
0.34821943 -1.36684236 6.89374683
0.34950552 -1.54109163 6.98242974
0.35079161 -1.62004520 7.06103117
0.35207770 -1.44839991 7.07084050
0.35336379 -1.00163514 7.00029969
0.35466466 -0.40874258 6.87776533
0.35595074 0.09852807 6.75056487
0.35723683 0.35765742 6.65633919
0.35852292 0.32441356 6.61045647
0.35980901 0.02526092 6.61783155
0.36109510 -0.43220919 6.67187236
0.36238118 -0.96989664 6.74478088
0.36368206 -1.52382909 6.82318163
0.36496814 -1.98180445 6.88208647
0.36625423 -2.26532321 6.90132881
0.36754032 -2.37065091 6.88657329
0.36882641 -2.49531445 6.89001450
0.37011250 -2.83359045 6.96797068
0.37139858 -3.45435211 7.14925753
0.37269945 -4.28439326 7.41574298
0.37398554 -5.12713789 7.71182712
0.37527163 -5.86556913 7.99326503
0.37655772 -6.45351971 8.22787959
0.37784381 -6.93645951 8.40519542
0.37912989 -7.43342942 8.53823808
0.38041598 -7.99781626 8.64944031
0.38170207 -8.55841491 8.74828307
0.38298816 -9.04690562 8.85749589
0.38428903 -9.48945664 9.00858614
0.38557512 -9.97135985 9.22417906
0.38686121 -10.53015697 9.50224894
0.38814729 -11.19346772 9.84073140
0.38943338 -11.99279950 10.23884952
0.39071947 -12.93530106 10.68971721
0.39200556 -14.00085656 11.18510333
0.39329165 -15.14723553 11.71053242
0.39457773 -16.36156684 12.26247699
0.39586382 -17.66220009 12.84138413
0.39714991 -19.11452726 13.46594595
0.39843600 -20.65721891 14.11810828
0.39973687 -22.09200941 14.74653705
0.40102296 -23.13941965 15.26567574
0.40230905 -23.76157412 15.65815984
0.40359513 -24.12917360 15.98334363
0.40488122 -24.49044827 16.34784074
0.40616731 -25.09970066 16.82620756
0.40745340 -25.92192038 17.36166659
0.40873949 -26.76178680 17.87311354
0.41002557 -27.40004534 18.29725381
0.41131166 -27.83488994 18.64602377
0.41259775 -28.23877125 18.98691008
0.41388384 -28.78207708 19.37300573
0.41516993 -29.52462218 19.83571964
0.41645601 -30.56792465 20.43002063
0.41774210 -32.19701192 21.25350197
0.41902819 -34.71913793 22.37140659
0.42031428 -37.88020956 23.69076715
0.42160037 -40.99601416 25.00142526
0.42288645 -43.62929926 26.15232876
0.42417254 -45.81544247 27.15111248
0.42545863 -47.80585781 28.07808403
0.42674472 -49.70136945 28.99244974
0.42803081 -51.54523391 29.90574487
0.42931690 -53.42420432 30.84668665
0.43060298 -55.48466874 31.87911508
0.43188907 -57.78096922 33.01643114
0.43317516 -60.27266391 34.23661782
0.43446125 -62.91631991 35.52333661
0.43574734 -65.65548651 36.85107253
0.43703342 -68.46063486 38.20808618
0.43831951 -71.29793022 39.57917727
0.43960560 -74.15603079 40.95957194
0.44089169 -76.99996979 42.33705422
0.44217778 -79.80261293 43.70775304
0.44346386 -82.53920596 45.06404193
0.44474995 -85.19980152 46.39283697
0.44603604 -87.89883266 47.74078683
0.44732213 -90.88567260 49.24064221
0.44860822 -94.52336281 51.01893441
0.44989430 -98.66608890 52.99133013
0.45118039 -102.70166276 54.91402669
0.45246648 -106.20475821 56.60907078
0.45375257 -109.17880951 58.07818277
0.45503866 -111.81709238 59.41185000
0.45632474 -114.09973372 60.61428719
0.45761083 -115.92977750 61.62991433
0.45889692 -117.29883199 62.45290386
0.46018301 -118.37966338 63.17438823
0.46146910 -119.53798296 63.97168504
0.46275519 -121.23449828 65.02472376
0.46404127 -123.53448617 66.28820741
0.46532736 -126.02815982 67.60391585
0.46661345 -128.26240871 68.81930744
0.46789954 -130.17898629 69.89282065
0.46917084 -132.03033292 70.94477030
0.47045693 -134.03102400 72.09186565
0.47174302 -136.28861713 73.37903251
0.47302911 -138.66609822 74.71496146
0.47431520 -140.94842664 76.00088376
0.47560128 -143.00148314 77.17845522
0.47688737 -144.78810486 78.23965462
0.47817346 -146.35275011 79.21226027
0.47945955 -147.81369851 80.15153363
0.48074564 -149.31038538 81.11833927
0.48203172 -150.99192593 82.17409999
0.48331781 -152.87981148 83.32016466
0.48460390 -154.87067159 84.51048515
0.48587521 -156.80476440 85.67334405
0.48716129 -158.57200646 86.75075895
0.48844738 -160.18781492 87.74448192
0.48973347 -161.69472507 88.68158089
0.49101956 -163.14775213 89.59651382
0.49230565 -164.59071637 90.51243788
0.49359173 -166.06132316 91.44834130
0.49487782 -167.58753138 92.41461319
0.49616391 -169.18182283 93.41443024
0.49743522 -170.83404308 94.44086732
0.49872130 -172.50641348 95.47483723
0.50000739 -174.15167305 96.49529769
0.50129348 -175.71930396 97.48025391
0.50257957 -177.15992311 98.40442895
0.50386566 -178.44034349 99.25407725
0.50515174 -179.56623699 100.03260417
0.50643783 -180.58216786 100.76766602
0.50770914 -181.55871512 101.49734387
0.50899523 -182.55522756 102.24800123
0.51028131 -183.55148494 103.00274856
0.51156740 -184.47459913 103.72258034
0.51285349 -185.25753548 104.37389472
0.51413958 -185.88500690 104.94347655
0.51542567 -186.36129244 105.43185491
0.51669697 -186.73429275 105.86209278
0.51798306 -187.08523350 106.28472642
0.51926915 -187.51601785 106.75282961
0.52055524 -188.13910568 107.30911669
0.52184132 -188.99314882 107.95829225
0.52312741 -189.94507168 108.64298870
0.52439872 -190.75059506 109.25351342
0.52568480 -191.18876852 109.67629884
0.52697089 -191.16877976 109.86893977
0.52825698 -190.79669790 109.88989642
0.52954307 -190.28388275 109.86671765
0.53082916 -189.92542629 109.94353596
0.53210046 -189.93218814 110.18799915
0.53338655 -190.14837179 110.51449058
0.53467264 -190.29949061 110.79410008
0.53595873 -190.20065631 110.93724197
0.53724481 -189.85245134 110.94359694
0.53853090 -189.44197439 110.90399074
0.53980221 -189.20912376 110.95199239
0.54108830 -189.36014344 111.17327262
0.54237438 -189.82475762 111.50368939
0.54366047 -190.41859048 111.86812464
0.54494656 -190.94881616 112.18027794
0.54621787 -191.25391223 112.36219116
