# s/c   cf_mean    cf_std
0.00000000 0.00229204 0.00030172
0.00130087 0.00377734 0.00030340
0.00260174 0.00515753 0.00031591
0.00390261 0.00643858 0.00033803
0.00520348 0.00762627 0.00036855
0.00650435 0.00872618 0.00040641
0.00780522 0.00974366 0.00045073
0.00910609 0.01068391 0.00050080
0.01040697 0.01155188 0.00055604
0.01170784 0.01235238 0.00061596
0.01300871 0.01309002 0.00068015
0.01430958 0.01376921 0.00074820
0.01561045 0.01439422 0.00081976
0.01691132 0.01496911 0.00089450
0.01821219 0.01549780 0.00097211
0.01951306 0.01598404 0.00105229
0.02081393 0.01643140 0.00113476
0.02211480 0.01684333 0.00121926
0.02341567 0.01722309 0.00130556
0.02470176 0.01757382 0.00139342
0.02600263 0.01789849 0.00148264
0.02730350 0.01819996 0.00157302
0.02860437 0.01848092 0.00166439
0.02990524 0.01874395 0.00175658
0.03120611 0.01899148 0.00184946
0.03250698 0.01922583 0.00194288
0.03380786 0.01944919 0.00203674
0.03510873 0.01966362 0.00213093
0.03640960 0.01987108 0.00222537
0.03771047 0.02007342 0.00231997
0.03901134 0.02027236 0.00241468
0.04029743 0.02046952 0.00250944
0.04159830 0.02066642 0.00260422
0.04289917 0.02086450 0.00269898
0.04420004 0.02106506 0.00279371
0.04550091 0.02126934 0.00288839
0.04680178 0.02147848 0.00298303
0.04810265 0.02169353 0.00307763
0.04940352 0.02191546 0.00317221
0.05068961 0.02214514 0.00326680
0.05199048 0.02238340 0.00336143
0.05329135 0.02263095 0.00345613
0.05459222 0.02288846 0.00355095
0.05589309 0.02315651 0.00364594
0.05719396 0.02343562 0.00374115
0.05849483 0.02372625 0.00383665
0.05978092 0.02402878 0.00393249
0.06108179 0.02434356 0.00402876
0.06238266 0.02467084 0.00412551
0.06368353 0.02501087 0.00422282
0.06498440 0.02536380 0.00432078
0.06628528 0.02572975 0.00441946
0.06757136 0.02610880 0.00451893
0.06887223 0.02650097 0.00461930
0.07017310 0.02690625 0.00472063
0.07147398 0.02732458 0.00482302
0.07277485 0.02775587 0.00492654
0.07407572 0.02819999 0.00503130
0.07536180 0.02865678 0.00513737
0.07666268 0.02912603 0.00524484
0.07796355 0.02960754 0.00535379
0.07926442 0.03010105 0.00546431
0.08056529 0.03060627 0.00557648
0.08185138 0.03112291 0.00569039
0.08315225 0.03165066 0.00580611
0.08445312 0.03218915 0.00592372
0.08575399 0.03273805 0.00604330
0.08704008 0.03329697 0.00616491
0.08834095 0.03386551 0.00628865
0.08964182 0.03444329 0.00641456
0.09094269 0.03502988 0.00654272
0.09224356 0.03562487 0.00667318
0.09352965 0.03622781 0.00680601
0.09483052 0.03683827 0.00694127
0.09613139 0.03745582 0.00707900
0.09743226 0.03808000 0.00721925
0.09871835 0.03871037 0.00736206
0.10001922 0.03934647 0.00750749
0.10132009 0.03998786 0.00765555
0.10260618 0.04063410 0.00780629
0.10390705 0.04128473 0.00795972
0.10520792 0.04193933 0.00811588
0.10650879 0.04259745 0.00827478
0.10779488 0.04325868 0.00843643
0.10909575 0.04392258 0.00860084
0.11039662 0.04458876 0.00876801
0.11169749 0.04525680 0.00893795
0.11298358 0.04592633 0.00911064
0.11428445 0.04659696 0.00928608
0.11558532 0.04726831 0.00946424
0.11687141 0.04794005 0.00964511
0.11817228 0.04861183 0.00982866
0.11947315 0.04928332 0.01001486
0.12075924 0.04995422 0.01020367
0.12206011 0.05062422 0.01039504
0.12336098 0.05129306 0.01058894
0.12466185 0.05196047 0.01078531
0.12594794 0.05262621 0.01098409
0.12724881 0.05329005 0.01118523
0.12854968 0.05395179 0.01138865
0.12983577 0.05460940 0.01159390
0.13113664 0.05533031 0.01181283
0.13243751 0.05601071 0.01204115
0.13372359 0.05669429 0.01227197
0.13502447 0.05738178 0.01250164
0.13632534 0.05805105 0.01273217
0.13761142 0.05870231 0.01296353
0.13891229 0.05936784 0.01319047
0.14019838 0.06012407 0.01340949
0.14149925 0.06104956 0.01362597
0.14280012 0.06204677 0.01383656
0.14408621 0.06290501 0.01404238
0.14538708 0.06350529 0.01425967
0.14668795 0.06390937 0.01450259
0.14797404 0.06424057 0.01476160
0.14927491 0.06460646 0.01501954
0.15056100 0.06509805 0.01527182
0.15186187 0.06567257 0.01551440
0.15316274 0.06617574 0.01574264
0.15444883 0.06657688 0.01596864
0.15574970 0.06702842 0.01620289
0.15703579 0.06756123 0.01643380
0.15833666 0.06807059 0.01665953
0.15963753 0.06843357 0.01687791
0.16092362 0.06881564 0.01708910
0.16222449 0.06953274 0.01729917
0.16351058 0.07060213 0.01748952
0.16481145 0.07170284 0.01764516
0.16611232 0.07255142 0.01779882
0.16739841 0.07316744 0.01797311
0.16869928 0.07363900 0.01817357
0.16998537 0.07403587 0.01839483
0.17128624 0.07440203 0.01862223
0.17257232 0.07476019 0.01885109
0.17387319 0.07512747 0.01907641
0.17517407 0.07551913 0.01929701
0.17646015 0.07594719 0.01951183
0.17776102 0.07641260 0.01972011
0.17904711 0.07691269 0.01992255
0.18034798 0.07744374 0.02011940
0.18163407 0.07801844 0.02031003
0.18293494 0.07865885 0.02049350
0.18422103 0.07940013 0.02067228
0.18552190 0.08023184 0.02085277
0.18680799 0.08103451 0.02102923
0.18810886 0.08165878 0.02119435
0.18939495 0.08207660 0.02136363
0.19069582 0.08253822 0.02154339
0.19199669 0.08333333 0.02173462
0.19328278 0.08449673 0.02191751
0.19458365 0.08572128 0.02206837
0.19586974 0.08675668 0.02220505
0.19717061 0.08764140 0.02234625
0.19845669 0.08849147 0.02251065
0.19975757 0.08936891 0.02269556
0.20104365 0.09022175 0.02288392
0.20234452 0.09095927 0.02307360
0.20363061 0.09149659 0.02325861
0.20493148 0.09199551 0.02345801
0.20621757 0.09277877 0.02366836
0.20750366 0.09393475 0.02386995
0.20880453 0.09523797 0.02406052
