# s/c   M_is_mean    M_is_std
0.00000000 0.01990298 0.00131740
0.00130087 0.02954158 0.00070259
0.00260174 0.03702890 0.00044233
0.00390261 0.04347787 0.00029388
0.00520348 0.04928119 0.00020020
0.00650435 0.05463032 0.00013919
0.00780522 0.05963485 0.00010014
0.00910609 0.06436416 0.00007700
0.01040697 0.06886536 0.00006541
0.01170784 0.07317218 0.00006150
0.01300871 0.07730977 0.00006212
0.01430958 0.08129757 0.00006539
0.01561045 0.08515104 0.00007045
0.01691132 0.08888278 0.00007699
0.01821219 0.09250329 0.00008484
0.01951306 0.09602150 0.00009384
0.02081393 0.09944513 0.00010379
0.02211480 0.10278095 0.00011449
0.02341567 0.10603501 0.00012570
0.02470176 0.10921275 0.00013723
0.02600263 0.11231914 0.00014888
0.02730350 0.11535876 0.00016050
0.02860437 0.11833585 0.00017194
0.02990524 0.12125440 0.00018310
0.03120611 0.12411815 0.00019387
0.03250698 0.12693065 0.00020418
0.03380786 0.12969529 0.00021397
0.03510873 0.13241530 0.00022319
0.03640960 0.13509379 0.00023179
0.03771047 0.13773376 0.00023976
0.03901134 0.14033810 0.00024706
0.04029743 0.14290959 0.00025370
0.04159830 0.14545096 0.00025967
0.04289917 0.14796482 0.00026497
0.04420004 0.15045373 0.00026961
0.04550091 0.15292018 0.00027360
0.04680178 0.15536657 0.00027695
0.04810265 0.15779526 0.00027970
0.04940352 0.16020853 0.00028185
0.05068961 0.16260860 0.00028344
0.05199048 0.16499762 0.00028450
0.05329135 0.16737770 0.00028506
0.05459222 0.16975087 0.00028515
0.05589309 0.17211911 0.00028481
0.05719396 0.17448432 0.00028407
0.05849483 0.17684836 0.00028297
0.05978092 0.17921303 0.00028154
0.06108179 0.18158004 0.00027983
0.06238266 0.18395107 0.00027787
0.06368353 0.18632772 0.00027571
0.06498440 0.18871152 0.00027338
0.06628528 0.19110396 0.00027092
0.06757136 0.19350645 0.00026837
0.06887223 0.19592034 0.00026576
0.07017310 0.19834692 0.00026314
0.07147398 0.20078740 0.00026053
0.07277485 0.20324293 0.00025797
0.07407572 0.20571463 0.00025550
0.07536180 0.20820350 0.00025314
0.07666268 0.21071053 0.00025092
0.07796355 0.21323660 0.00024887
0.07926442 0.21578256 0.00024703
0.08056529 0.21834918 0.00024539
0.08185138 0.22093718 0.00024401
0.08315225 0.22354721 0.00024288
0.08445312 0.22617987 0.00024202
0.08575399 0.22883570 0.00024146
0.08704008 0.23151516 0.00024121
0.08834095 0.23421868 0.00024127
0.08964182 0.23694662 0.00024165
0.09094269 0.23969930 0.00024237
0.09224356 0.24247697 0.00024343
0.09352965 0.24527983 0.00024483
0.09483052 0.24810805 0.00024658
0.09613139 0.25096172 0.00024868
0.09743226 0.25384091 0.00025113
0.09871835 0.25674563 0.00025393
0.10001922 0.25967585 0.00025708
0.10132009 0.26263149 0.00026058
0.10260618 0.26561245 0.00026442
0.10390705 0.26861856 0.00026861
0.10520792 0.27164965 0.00027314
0.10650879 0.27470547 0.00027800
0.10779488 0.27778577 0.00028320
0.10909575 0.28089025 0.00028872
0.11039662 0.28401859 0.00029457
0.11169749 0.28717044 0.00030073
0.11298358 0.29034541 0.00030720
0.11428445 0.29354308 0.00031396
0.11558532 0.29676304 0.00032102
0.11687141 0.30000482 0.00032835
0.11817228 0.30326794 0.00033596
0.11947315 0.30655190 0.00034382
0.12075924 0.30985618 0.00035193
0.12206011 0.31318026 0.00036028
0.12336098 0.31652357 0.00036885
0.12466185 0.31988556 0.00037763
0.12594794 0.32326564 0.00038660
0.12724881 0.32666322 0.00039574
0.12854968 0.33007771 0.00040505
0.12983577 0.33533654 0.00042849
0.13113664 0.33896176 0.00044557
0.13243751 0.34257087 0.00046042
0.13372359 0.34617497 0.00047233
0.13502447 0.34978075 0.00048222
0.13632534 0.35338511 0.00049095
0.13761142 0.35698348 0.00049844
0.13891229 0.36058030 0.00050539
0.14019838 0.36420259 0.00051312
