# y/t    TKE_mean   TKE_std
0.00000000 0.00134717 0.00138193
0.00502513 0.00121218 0.00119223
0.01005025 0.00113477 0.00108333
0.01507538 0.00112618 0.00107066
0.02010050 0.00111759 0.00105800
0.02512563 0.00110896 0.00104529
0.03015075 0.00110141 0.00103371
0.03517588 0.00109387 0.00102213
0.04020101 0.00108627 0.00101048
0.04522613 0.00107952 0.00099994
0.05025126 0.00107275 0.00098939
0.05527638 0.00106596 0.00097881
0.06030151 0.00105963 0.00096942
0.06532663 0.00105329 0.00095996
0.07035176 0.00104695 0.00095063
0.07537688 0.00104075 0.00094244
0.08040201 0.00103454 0.00093417
0.08542714 0.00102834 0.00092620
0.09045226 0.00102221 0.00091917
0.09547739 0.00101604 0.00091202
0.10050251 0.00101000 0.00090532
0.10552764 0.00100410 0.00089916
0.11055276 0.00099814 0.00089293
0.11557789 0.00099254 0.00088717
0.12060302 0.00098709 0.00088162
0.12562814 0.00098158 0.00087603
0.13065327 0.00097667 0.00087093
0.13567839 0.00097174 0.00086582
0.14070352 0.00096693 0.00086080
0.14572864 0.00096258 0.00085613
0.15075377 0.00095816 0.00085141
0.15577889 0.00095403 0.00084695
0.16080402 0.00095011 0.00084267
0.16582915 0.00094614 0.00083834
0.17085427 0.00094261 0.00083449
0.17587940 0.00093906 0.00083061
0.18090452 0.00093565 0.00082692
0.18592965 0.00093249 0.00082354
0.19095477 0.00092928 0.00082010
0.19597990 0.00092642 0.00081714
0.20100503 0.00092360 0.00081423
0.20603015 0.00092089 0.00081149
0.21105528 0.00091843 0.00080912
0.21608040 0.00091594 0.00080670
0.22110553 0.00091382 0.00080481
0.22613065 0.00091174 0.00080296
0.23115578 0.00090981 0.00080135
0.23618090 0.00090810 0.00080005
0.24120603 0.00090642 0.00079880
0.24623116 0.00090510 0.00079806
0.25125628 0.00090378 0.00079732
0.25628141 0.00090278 0.00079706
0.26130653 0.00090187 0.00079693
0.26633166 0.00090118 0.00079712
0.27135678 0.00090069 0.00079762
0.27638191 0.00090030 0.00079825
0.28140704 0.00090030 0.00079948
0.28643216 0.00090027 0.00080066
0.29145729 0.00090078 0.00080262
0.29648241 0.00090128 0.00080458
0.30150754 0.00090220 0.00080717
0.30653266 0.00090333 0.00081005
0.31155779 0.00090473 0.00081333
0.31658291 0.00090650 0.00081717
0.32160804 0.00090843 0.00082125
0.32663317 0.00091088 0.00082609
0.33165829 0.00091343 0.00083107
0.33668342 0.00091664 0.00083690
0.34170854 0.00091986 0.00084273
0.34673367 0.00092406 0.00084935
0.35175879 0.00092817 0.00085598
0.35678392 0.00093441 0.00086235
