# y/t    d_mean   d_std
0.00000000 0.65052926 0.00086665
0.00502513 0.64828272 0.00093872
0.01005025 0.64696854 0.00097824
0.01507538 0.64675742 0.00097829
0.02010050 0.64654630 0.00097843
0.02512563 0.64634398 0.00097679
0.03015075 0.64615012 0.00097535
0.03517588 0.64595627 0.00097402
0.04020101 0.64577349 0.00097064
0.04522613 0.64559435 0.00096641
0.05025126 0.64541670 0.00096192
0.05527638 0.64524768 0.00095558
0.06030151 0.64508155 0.00094907
0.06532663 0.64491965 0.00094215
0.07035176 0.64476498 0.00093452
0.07537688 0.64461365 0.00092673
0.08040201 0.64447039 0.00091841
0.08542714 0.64433258 0.00090987
0.09045226 0.64419705 0.00090155
0.09547739 0.64407358 0.00089208
0.10050251 0.64395296 0.00088295
0.10552764 0.64383650 0.00087418
0.11055276 0.64373237 0.00086438
0.11557789 0.64363054 0.00085527
0.12060302 0.64353713 0.00084599
0.12562814 0.64345301 0.00083607
0.13065327 0.64337181 0.00082675
0.13567839 0.64330367 0.00081709
0.14070352 0.64324107 0.00080733
0.14572864 0.64318124 0.00079760
0.15075377 0.64313981 0.00078718
0.15577889 0.64310043 0.00077712
0.16080402 0.64306892 0.00076700
0.16582915 0.64305031 0.00075627
0.17085427 0.64303547 0.00074586
0.17587940 0.64303475 0.00073485
0.18090452 0.64304316 0.00072363
0.18592965 0.64305390 0.00071262
0.19095477 0.64308704 0.00070092
0.19597990 0.64312411 0.00068933
0.20100503 0.64316926 0.00067759
0.20603015 0.64323262 0.00066528
0.21105528 0.64329799 0.00065307
0.21608040 0.64338056 0.00064029
0.22110553 0.64347467 0.00062722
0.22613065 0.64356898 0.00061432
0.23115578 0.64369225 0.00060001
0.23618090 0.64381625 0.00058608
0.24120603 0.64395050 0.00057191
0.24623116 0.64410488 0.00055708
0.25125628 0.64425927 0.00054248
0.25628141 0.64443566 0.00052693
0.26130653 0.64462056 0.00051135
0.26633166 0.64480873 0.00049579
0.27135678 0.64502439 0.00047884
0.27638191 0.64524029 0.00046231
0.28140704 0.64547139 0.00044565
0.28643216 0.64571814 0.00042826
0.29145729 0.64596550 0.00041132
