# y/t    Temp_mean   Temp_std
0.00000000 0.86563016 0.00042654
0.00502513 0.86445871 0.00047706
0.01005025 0.86377118 0.00050910
0.01507538 0.86365527 0.00050848
0.02010050 0.86353935 0.00050788
0.02512563 0.86342791 0.00050542
0.03015075 0.86331963 0.00050315
0.03517588 0.86321135 0.00050090
0.04020101 0.86310979 0.00049738
0.04522613 0.86301136 0.00049559
0.05025126 0.86291377 0.00049377
0.05527638 0.86282109 0.00049153
0.06030151 0.86273004 0.00048941
0.06532663 0.86264130 0.00048736
0.07035176 0.86255642 0.00048540
0.07537688 0.86247297 0.00048359
0.08040201 0.86239347 0.00048120
0.08542714 0.86231669 0.00047855
0.09045226 0.86224119 0.00047604
0.09547739 0.86217229 0.00047235
0.10050251 0.86210518 0.00046866
0.10552764 0.86204061 0.00046495
0.11055276 0.86198286 0.00046059
0.11557789 0.86192734 0.00045640
0.12060302 0.86187614 0.00045185
0.12562814 0.86182901 0.00044682
0.13065327 0.86178562 0.00044192
0.13567839 0.86174961 0.00043677
0.14070352 0.86171635 0.00043158
0.14572864 0.86168362 0.00042642
0.15075377 0.86166172 0.00042061
0.15577889 0.86164104 0.00041491
0.16080402 0.86162491 0.00040921
0.16582915 0.86161620 0.00040341
0.17085427 0.86160891 0.00039747
0.17587940 0.86160922 0.00039147
0.18090452 0.86161388 0.00038573
0.18592965 0.86161891 0.00038044
0.19095477 0.86163786 0.00037476
0.19597990 0.86165811 0.00036833
0.20100503 0.86168269 0.00036184
0.20603015 0.86171689 0.00035566
0.21105528 0.86175141 0.00034996
0.21608040 0.86179535 0.00034281
0.22110553 0.86184640 0.00033623
0.22613065 0.86189763 0.00032986
0.23115578 0.86196351 0.00032166
0.23618090 0.86202969 0.00031482
0.24120603 0.86210208 0.00030783
0.24623116 0.86218481 0.00030015
0.25125628 0.86226754 0.00029258
0.25628141 0.86236157 0.00028398
0.26130653 0.86246014 0.00027603
0.26633166 0.86256067 0.00026838
0.27135678 0.86267613 0.00025946
0.27638191 0.86279171 0.00025072
0.28140704 0.86291503 0.00024241
0.28643216 0.86304642 0.00023445
0.29145729 0.86317943 0.00022450
0.29648241 0.86332485 0.00021511
0.30150754 0.86347274 0.00020663
0.30653266 0.86362502 0.00019809
0.31155779 0.86378903 0.00018832
0.31658291 0.86395226 0.00017950
0.32160804 0.86412615 0.00017063
0.32663317 0.86430456 0.00016246
0.33165829 0.86448453 0.00015510
0.33668342 0.86467757 0.00014835
0.34170854 0.86487062 0.00014266
0.34673367 0.86506970 0.00013784
0.35175879 0.86527545 0.00013431
0.35678392 0.86547934 0.00013304
0.36180905 0.86569618 0.00013226
0.36683417 0.86591324 0.00013563
0.37185930 0.86613424 0.00014102
0.37688442 0.86637930 0.00015857
0.38190955 0.86663049 0.00018516
0.38693467 0.86697297 0.00026710
0.39195980 0.86735216 0.00039177
0.39698492 0.86797911 0.00065544
0.40201005 0.86868428 0.00098864
0.40703518 0.86980963 0.00145959
0.41206030 0.87106296 0.00202592
0.41708543 0.87268392 0.00257584
0.42211055 0.87445538 0.00318194
0.42713568 0.87634829 0.00352008
0.43216080 0.87829436 0.00378584
0.43718593 0.88019309 0.00357937
0.44221106 0.88207900 0.00326572
0.44723618 0.88380950 0.00263105
0.45226131 0.88554060 0.00204417
0.45728643 0.88697204 0.00160787
0.46231156 0.88842317 0.00152265
0.46733668 0.88952685 0.00175387
0.47236181 0.89060136 0.00214721
0.47738693 0.89144122 0.00251605
0.48241206 0.89221334 0.00287625
0.48743719 0.89284882 0.00317620
0.49246231 0.89341812 0.00343947
0.49748744 0.89391680 0.00366718
0.50251256 0.89435620 0.00385123
0.50753769 0.89476023 0.00401191
0.51256281 0.89511493 0.00412891
0.51758794 0.89545666 0.00423490
0.52261307 0.89575778 0.00430852
0.52763819 0.89605669 0.00437652
0.53266332 0.89633587 0.00442964
0.53768844 0.89661243 0.00447457
0.54271357 0.89688170 0.00451033
0.54773869 0.89714294 0.00453871
0.55276382 0.89740252 0.00456346
0.55778894 0.89764420 0.00459001
0.56281407 0.89788292 0.00462110
0.56783920 0.89809632 0.00466451
0.57286432 0.89829558 0.00472676
0.57788945 0.89846927 0.00480545
0.58291457 0.89860027 0.00493003
0.58793970 0.89870694 0.00507027
0.59296482 0.89873147 0.00528626
0.59798995 0.89869897 0.00555241
0.60301508 0.89858248 0.00588377
0.60804020 0.89832995 0.00632922
0.61306533 0.89801765 0.00681295
0.61809045 0.89749266 0.00746225
0.62311558 0.89686266 0.00817204
0.62814070 0.89607034 0.00899936
0.63316583 0.89508776 0.00988937
0.63819095 0.89405091 0.01074089
0.64321608 0.89296848 0.01140799
0.64824121 0.89195355 0.01177338
0.65326633 0.89096228 0.01198622
0.65829146 0.88997936 0.01176125
0.66331658 0.88890293 0.01150570
0.66834171 0.88768106 0.01118572
0.67336683 0.88621620 0.01091957
0.67839196 0.88470576 0.01076589
0.68341709 0.88316240 0.01068470
0.68844221 0.88186940 0.01045871
0.69346734 0.88066509 0.01016443
0.69849246 0.87975558 0.00952308
0.70351759 0.87888796 0.00870083
0.70854271 0.87804621 0.00774806
0.71356784 0.87713308 0.00664823
0.71859296 0.87615058 0.00547383
0.72361809 0.87513098 0.00426024
0.72864322 0.87409555 0.00303604
0.73366834 0.87317111 0.00196769
0.73869347 0.87229360 0.00097631
0.74371859 0.87174216 0.00045293
0.74874372 0.87129833 0.00017312
0.75376884 0.87099790 0.00022232
0.75879397 0.87080656 0.00023377
0.76381910 0.87062098 0.00024123
0.76884422 0.87043932 0.00024762
0.77386935 0.87025957 0.00025361
0.77889447 0.87008249 0.00025745
0.78391960 0.86991233 0.00025359
0.78894472 0.86974479 0.00024739
0.79396985 0.86958005 0.00024034
0.79899497 0.86941729 0.00023299
0.80402010 0.86925810 0.00022462
0.80904523 0.86910115 0.00021614
0.81407035 0.86894635 0.00020794
0.81909548 0.86879355 0.00020209
0.82412060 0.86864019 0.00019822
0.82914573 0.86848863 0.00019783
0.83417085 0.86833485 0.00020004
0.83919598 0.86818198 0.00020569
0.84422111 0.86803039 0.00021407
0.84924623 0.86787905 0.00022415
0.85427136 0.86773152 0.00023444
0.85929648 0.86758650 0.00024623
0.86432161 0.86744429 0.00025831
0.86934673 0.86730630 0.00026979
0.87437186 0.86716933 0.00028238
0.87939698 0.86703433 0.00029571
0.88442211 0.86689976 0.00030939
0.88944724 0.86676169 0.00032397
0.89447236 0.86662419 0.00033908
0.89949749 0.86647859 0.00035217
0.90452261 0.86633185 0.00036603
0.90954774 0.86618004 0.00037910
0.91457286 0.86602747 0.00039205
0.91959799 0.86588609 0.00040362
0.92462312 0.86574831 0.00041535
0.92964824 0.86563800 0.00042484
0.93467337 0.86555899 0.00043503
0.93969849 0.86546634 0.00044613
0.94472362 0.86535388 0.00045743
