# y/t    WL_mean   WL_std
0.00000000 0.99997062 0.00015980
0.00502513 0.99991928 0.00008719
0.01005025 0.99989439 0.00004691
0.01507538 0.99990097 0.00005222
0.02010050 0.99990755 0.00005753
0.02512563 0.99991224 0.00006280
0.03015075 0.99991965 0.00007110
0.03517588 0.99992707 0.00007940
0.04020101 0.99993463 0.00008956
0.04522613 0.99993820 0.00008743
0.05025126 0.99994156 0.00008566
0.05527638 0.99994416 0.00008408
0.06030151 0.99995218 0.00007614
0.06532663 0.99995994 0.00006823
0.07035176 0.99996825 0.00006033
0.07537688 0.99998162 0.00005250
0.08040201 0.99999390 0.00004463
0.08542714 1.00000503 0.00003729
0.09045226 1.00001480 0.00003199
0.09547739 1.00002563 0.00002296
0.10050251 1.00003401 0.00001600
0.10552764 1.00003940 0.00001192
0.11055276 1.00004543 0.00000692
0.11557789 1.00004868 0.00000413
0.12060302 1.00005037 0.00000285
0.12562814 1.00005186 0.00000312
0.13065327 1.00005023 0.00000290
0.13567839 1.00005081 0.00000277
0.14070352 1.00005113 0.00000354
0.14572864 1.00004746 0.00000554
0.15075377 1.00004746 0.00000554
0.15577889 1.00004537 0.00000432
0.16080402 1.00004239 0.00000364
0.16582915 1.00004074 0.00000546
0.17085427 1.00003902 0.00000601
0.17587940 1.00003842 0.00000639
0.18090452 1.00003779 0.00000551
0.18592965 1.00003620 0.00000326
0.19095477 1.00003616 0.00000320
0.19597990 1.00003616 0.00000320
0.20100503 1.00003541 0.00000214
0.20603015 1.00003390 0.00000000
0.21105528 1.00003390 0.00000000
0.21608040 1.00003390 0.00000000
0.22110553 1.00003390 0.00000265
0.22613065 1.00003390 0.00000554
0.23115578 1.00003390 0.00000554
0.23618090 1.00003390 0.00000554
0.24120603 1.00003378 0.00000568
0.24623116 1.00003282 0.00000690
0.25125628 1.00003186 0.00000816
0.25628141 1.00003236 0.00000870
0.26130653 1.00003335 0.00000923
0.26633166 1.00003401 0.00000967
0.27135678 1.00003518 0.00001061
0.27638191 1.00003616 0.00001152
0.28140704 1.00003548 0.00001246
0.28643216 1.00003404 0.00001445
0.29145729 1.00003390 0.00001465
0.29648241 1.00003390 0.00001465
0.30150754 1.00003390 0.00001465
0.30653266 1.00003390 0.00001465
0.31155779 1.00003332 0.00001545
0.31658291 1.00003207 0.00001720
0.32160804 1.00003134 0.00001753
0.32663317 1.00003029 0.00001666
0.33165829 1.00002930 0.00001610
0.33668342 1.00002821 0.00001764
0.34170854 1.00002712 0.00001918
0.34673367 1.00002712 0.00002069
0.35175879 1.00002712 0.00002379
0.35678392 1.00002925 0.00003104
0.36180905 1.00003313 0.00003545
0.36683417 1.00004685 0.00005227
0.37185930 1.00006064 0.00007087
0.37688442 1.00006686 0.00007863
0.38190955 1.00007167 0.00008805
0.38693467 0.99997683 0.00009849
0.39195980 0.99983823 0.00022498
0.39698492 0.99933396 0.00061838
0.40201005 0.99872887 0.00111832
0.40703518 0.99731275 0.00203695
0.41206030 0.99569087 0.00312463
0.41708543 0.99306014 0.00453163
0.42211055 0.99004713 0.00613060
0.42713568 0.98626495 0.00758984
0.43216080 0.98216007 0.00905056
0.43718593 0.97756817 0.00977449
0.44221106 0.97283305 0.01031484
0.44723618 0.96774168 0.00981401
0.45226131 0.96259586 0.00923662
0.45728643 0.95734671 0.00795180
0.46231156 0.95206455 0.00671326
0.46733668 0.94703895 0.00536028
0.47236181 0.94205409 0.00418201
0.47738693 0.93742774 0.00337945
0.48241206 0.93295751 0.00319798
0.48743719 0.92878315 0.00371801
0.49246231 0.92486632 0.00467806
0.49748744 0.92116974 0.00585224
0.50251256 0.91783529 0.00710167
0.50753769 0.91468057 0.00838605
0.51256281 0.91201627 0.00963159
0.51758794 0.90948171 0.01087106
0.52261307 0.90758502 0.01201201
0.52763819 0.90585718 0.01313030
0.53266332 0.90461285 0.01418128
0.53768844 0.90365513 0.01520911
0.54271357 0.90303073 0.01620580
0.54773869 0.90279285 0.01720516
0.55276382 0.90273301 0.01820449
0.55778894 0.90317148 0.01924576
0.56281407 0.90376001 0.02030444
0.56783920 0.90471137 0.02141068
0.57286432 0.90591722 0.02255110
0.57788945 0.90733718 0.02372060
0.58291457 0.90915494 0.02492131
0.58793970 0.91109826 0.02613033
0.59296482 0.91351621 0.02735408
0.59798995 0.91615258 0.02857563
0.60301508 0.91908288 0.02979527
0.60804020 0.92242524 0.03100063
0.61306533 0.92589021 0.03220526
0.61809045 0.92984866 0.03334643
0.62311558 0.93389695 0.03441731
0.62814070 0.93817511 0.03536409
0.63316583 0.94249102 0.03588616
0.63819095 0.94676479 0.03611052
0.64321608 0.95085140 0.03564220
0.64824121 0.95476148 0.03464788
0.65326633 0.95856773 0.03338230
0.65829146 0.96227601 0.03155993
0.66331658 0.96602320 0.02977537
0.66834171 0.96983609 0.02800281
0.67336683 0.97365109 0.02635689
0.67839196 0.97732496 0.02481598
0.68341709 0.98071640 0.02323727
0.68844221 0.98349770 0.02137002
0.69346734 0.98604716 0.01937537
0.69849246 0.98800656 0.01700603
0.70351759 0.98979576 0.01456022
0.70854271 0.99146545 0.01207363
0.71356784 0.99307348 0.00967999
0.71859296 0.99463438 0.00743590
0.72361809 0.99613288 0.00532306
0.72864322 0.99742265 0.00351232
0.73366834 0.99845271 0.00205369
0.73869347 0.99934889 0.00078179
0.74371859 0.99976966 0.00018358
0.74874372 1.00005769 0.00023022
0.75376884 1.00017288 0.00039311
0.75879397 1.00016165 0.00038374
0.76381910 1.00015489 0.00037855
0.76884422 1.00015781 0.00038578
0.77386935 1.00016934 0.00040484
0.77889447 1.00017728 0.00042116
0.78391960 1.00017627 0.00042187
0.78894472 1.00017448 0.00041934
0.79396985 1.00017007 0.00041381
0.79899497 1.00016188 0.00040571
0.80402010 1.00015174 0.00039393
0.80904523 1.00014174 0.00038261
0.81407035 1.00013174 0.00036847
0.81909548 1.00012018 0.00035551
0.82412060 1.00010743 0.00034317
0.82914573 1.00009920 0.00033204
0.83417085 1.00009359 0.00032412
0.83919598 1.00008935 0.00031812
0.84422111 1.00008814 0.00031640
0.84924623 1.00008856 0.00031700
0.85427136 1.00009040 0.00031960
0.85929648 1.00008727 0.00031960
0.86432161 1.00008362 0.00031960
0.86934673 1.00007616 0.00030906
0.87437186 1.00006576 0.00029575
0.87939698 1.00004779 0.00027619
0.88442211 1.00003139 0.00025532
0.88944724 1.00001413 0.00023091
0.89447236 0.99999770 0.00021727
0.89949749 0.99998460 0.00020092
0.90452261 0.99997218 0.00018994
0.90954774 0.99996544 0.00018123
0.91457286 0.99996038 0.00017536
0.91959799 0.99996115 0.00016843
0.92462312 0.99996974 0.00016355
0.92964824 0.99997082 0.00016007
0.93467337 0.99994811 0.00013705
0.93969849 0.99991790 0.00010827
0.94472362 0.99987511 0.00007905
0.94974874 0.99984466 0.00005878
0.95477387 0.99983226 0.00004504
0.95979899 0.99983115 0.00003178
0.96482412 0.99983745 0.00002804
0.96984925 0.99985197 0.00003622
0.97487437 0.99986574 0.00004398
0.97989950 0.99987789 0.00005270
0.98492462 0.99988364 0.00005739
0.98994975 0.99988937 0.00006201
0.99497487 0.99990481 0.00007908
1.00000000 0.99997062 0.00015980
