# s/c   P_w_mean    P_w_std
0.00000000 0.99992178 0.00002333
0.00130087 0.99953276 0.00001795
0.00260174 0.99913283 0.00001341
0.00390261 0.99872296 0.00000975
0.00520348 0.99830412 0.00000714
0.00650435 0.99787715 0.00000586
0.00780522 0.99744286 0.00000598
0.00910609 0.99700201 0.00000697
0.01040697 0.99655526 0.00000825
0.01170784 0.99610323 0.00000955
0.01300871 0.99564650 0.00001079
0.01430958 0.99518557 0.00001197
0.01561045 0.99472091 0.00001309
0.01691132 0.99425290 0.00001418
0.01821219 0.99378192 0.00001527
0.01951306 0.99330827 0.00001639
0.02081393 0.99283221 0.00001754
0.02211480 0.99235396 0.00001874
0.02341567 0.99187370 0.00001999
0.02470176 0.99139156 0.00002129
0.02600263 0.99090764 0.00002264
0.02730350 0.99042200 0.00002403
0.02860437 0.98993465 0.00002544
0.02990524 0.98944560 0.00002686
0.03120611 0.98895480 0.00002829
0.03250698 0.98846216 0.00002970
0.03380786 0.98796760 0.00003109
0.03510873 0.98747096 0.00003245
0.03640960 0.98697211 0.00003377
0.03771047 0.98647084 0.00003504
0.03901134 0.98596696 0.00003624
0.04029743 0.98546023 0.00003738
0.04159830 0.98495041 0.00003845
0.04289917 0.98443721 0.00003945
0.04420004 0.98392036 0.00004036
0.04550091 0.98339954 0.00004119
0.04680178 0.98287443 0.00004194
0.04810265 0.98234470 0.00004260
0.04940352 0.98180999 0.00004318
0.05068961 0.98126995 0.00004368
0.05199048 0.98072420 0.00004410
0.05329135 0.98017236 0.00004444
0.05459222 0.97961403 0.00004471
0.05589309 0.97904881 0.00004491
0.05719396 0.97847631 0.00004504
0.05849483 0.97789611 0.00004511
0.05978092 0.97730778 0.00004513
0.06108179 0.97671092 0.00004511
0.06238266 0.97610510 0.00004505
0.06368353 0.97548990 0.00004495
0.06498440 0.97486489 0.00004483
0.06628528 0.97422965 0.00004469
0.06757136 0.97358375 0.00004455
0.06887223 0.97292677 0.00004441
0.07017310 0.97225830 0.00004427
0.07147398 0.97157792 0.00004416
0.07277485 0.97088522 0.00004407
0.07407572 0.97017979 0.00004402
0.07536180 0.96946123 0.00004401
0.07666268 0.96872915 0.00004406
0.07796355 0.96798317 0.00004416
0.07926442 0.96722289 0.00004433
0.08056529 0.96644796 0.00004458
0.08185138 0.96565801 0.00004490
0.08315225 0.96485269 0.00004530
0.08445312 0.96403165 0.00004580
0.08575399 0.96319457 0.00004638
0.08704008 0.96234112 0.00004707
0.08834095 0.96147099 0.00004784
0.08964182 0.96058389 0.00004872
0.09094269 0.95967954 0.00004970
0.09224356 0.95875765 0.00005078
0.09352965 0.95781797 0.00005197
0.09483052 0.95686026 0.00005325
0.09613139 0.95588428 0.00005464
0.09743226 0.95488982 0.00005614
0.09871835 0.95387666 0.00005774
0.10001922 0.95284463 0.00005944
0.10132009 0.95179354 0.00006125
0.10260618 0.95072325 0.00006317
0.10390705 0.94963359 0.00006519
0.10520792 0.94852445 0.00006732
0.10650879 0.94739571 0.00006955
0.10779488 0.94624727 0.00007189
0.10909575 0.94507906 0.00007434
0.11039662 0.94389099 0.00007690
0.11169749 0.94268302 0.00007956
0.11298358 0.94145512 0.00008233
0.11428445 0.94020726 0.00008521
0.11558532 0.93893943 0.00008820
0.11687141 0.93765166 0.00009129
0.11817228 0.93634396 0.00009448
0.11947315 0.93501637 0.00009778
0.12075924 0.93366895 0.00010118
0.12206011 0.93230176 0.00010468
0.12336098 0.93091491 0.00010827
0.12466185 0.92950847 0.00011196
0.12594794 0.92808257 0.00011574
0.12724881 0.92663733 0.00011960
0.12854968 0.92517290 0.00012355
0.12983577 0.92365834 0.00012756
0.13113664 0.92207864 0.00013567
0.13243751 0.92048954 0.00014251
0.13372359 0.91888974 0.00014819
0.13502447 0.91727558 0.00015293
0.13632534 0.91564880 0.00015718
0.13761142 0.91401142 0.00016086
0.13891229 0.91236152 0.00016426
0.14019838 0.91068593 0.00016809
0.14149925 0.90896442 0.00017289
0.14280012 0.90718650 0.00017814
0.14408621 0.90537158 0.00018487
0.14538708 0.90356126 0.00019535
0.14668795 0.90178082 0.00020564
0.14797404 0.90003312 0.00021241
0.14927491 0.89830814 0.00021647
0.15056100 0.89658371 0.00021823
0.15186187 0.89484500 0.00021860
0.15316274 0.89309960 0.00021903
0.15444883 0.89136319 0.00022019
0.15574970 0.88963425 0.00022071
0.15703579 0.88789643 0.00021976
0.15833666 0.88615341 0.00021789
